molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL4159390,IC50,460.0,nM,
CHEMBL4170023,IC50,7300.0,nM,
CHEMBL4172584,IC50,6500.0,nM,
CHEMBL4164691,IC50,1500.0,nM,
CHEMBL4172179,IC50,15000.0,nM,
CHEMBL4161567,IC50,100.0,nM,
CHEMBL4168827,IC50,120.0,nM,
CHEMBL4176684,IC50,130.0,nM,
CHEMBL4160507,IC50,2500.0,nM,
CHEMBL4168403,IC50,290.0,nM,
CHEMBL4175607,IC50,380.0,nM,
CHEMBL4164986,IC50,390.0,nM,
CHEMBL4159390,Ki,690.0,nM,
CHEMBL4170023,Ki,25000.0,nM,
CHEMBL4172584,Ki,14000.0,nM,
CHEMBL4164691,Ki,2000.0,nM,
CHEMBL4172179,Ki,10000.0,nM,
CHEMBL4161567,Ki,82.0,nM,
CHEMBL4168827,Ki,530.0,nM,
CHEMBL4176684,Ki,440.0,nM,
CHEMBL4160507,Ki,2300.0,nM,
CHEMBL4168403,Ki,250.0,nM,
CHEMBL4175607,Ki,750.0,nM,
CHEMBL4164986,Ki,1300.0,nM,
CHEMBL1060,EC50,32000.0,nM,
CHEMBL1200925,EC50,39000.0,nM,
