molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL4159390,IC50,150.0,nM,
CHEMBL4170023,IC50,3300.0,nM,
CHEMBL4172584,IC50,19000.0,nM,
CHEMBL4164691,IC50,25000.0,nM,
CHEMBL4172179,IC50,25000.0,nM,
CHEMBL4161567,IC50,25000.0,nM,
CHEMBL4168827,IC50,60000.0,nM,
CHEMBL4176684,IC50,25000.0,nM,
CHEMBL4160507,IC50,25000.0,nM,
CHEMBL4168403,IC50,25000.0,nM,
CHEMBL4175607,IC50,25000.0,nM,
CHEMBL4164986,IC50,24000.0,nM,
CHEMBL3301627,IC50,31622.78,nM,
CHEMBL5174202,IC50,120.0,nM,
CHEMBL5182987,IC50,15.0,nM,
CHEMBL5171732,IC50,64.0,nM,
CHEMBL5169559,IC50,2881.0,nM,
CHEMBL5180542,IC50,1404.0,nM,
CHEMBL5180294,IC50,1140.0,nM,
CHEMBL5206927,IC50,100.0,nM,
CHEMBL5202364,IC50,100.0,nM,
CHEMBL5196753,IC50,100.0,nM,
CHEMBL5193730,IC50,100.0,nM,
CHEMBL5187558,IC50,100.0,nM,
CHEMBL5206581,IC50,71.0,nM,
CHEMBL5188788,IC50,288.0,nM,
CHEMBL5188991,IC50,43.0,nM,
CHEMBL5172080,IC50,103.0,nM,
CHEMBL5175794,IC50,24.0,nM,
CHEMBL5173115,IC50,61.0,nM,
CHEMBL5170356,IC50,14.0,nM,
CHEMBL5188295,IC50,257.0,nM,
CHEMBL5192917,IC50,71.0,nM,
CHEMBL5205024,IC50,538.0,nM,
CHEMBL5182681,IC50,448.0,nM,
CHEMBL5192454,IC50,369.0,nM,
CHEMBL5174538,IC50,356.0,nM,
CHEMBL5175718,IC50,78.0,nM,
CHEMBL5197471,IC50,1015.0,nM,
CHEMBL5197826,IC50,2582.0,nM,
CHEMBL5203825,IC50,166.0,nM,
CHEMBL5184710,IC50,535.0,nM,
CHEMBL5169500,IC50,401.0,nM,
CHEMBL5206879,IC50,401.0,nM,
CHEMBL5194589,IC50,267.0,nM,
CHEMBL5174544,IC50,1000.0,nM,
CHEMBL5185371,IC50,118.0,nM,
CHEMBL5204866,IC50,437.0,nM,
CHEMBL5206181,IC50,713.0,nM,
CHEMBL5206083,IC50,1000.0,nM,
CHEMBL5178362,IC50,2486.0,nM,
CHEMBL5180710,IC50,80.0,nM,
CHEMBL5204879,IC50,36.0,nM,
CHEMBL5192822,IC50,38.0,nM,
CHEMBL5185161,IC50,46.0,nM,
CHEMBL5186565,IC50,1000.0,nM,
CHEMBL5183548,IC50,1000.0,nM,
CHEMBL5203134,IC50,179.0,nM,
CHEMBL5205755,IC50,1000.0,nM,
CHEMBL5182639,IC50,1000.0,nM,
CHEMBL5179362,IC50,1000.0,nM,
CHEMBL5188308,IC50,42.0,nM,
CHEMBL5177313,IC50,39.0,nM,
CHEMBL5192916,IC50,170.0,nM,
CHEMBL5182987,IC50,15.0,nM,
CHEMBL5195035,IC50,48.0,nM,
CHEMBL5197268,IC50,87.0,nM,
CHEMBL5188526,IC50,271.0,nM,
CHEMBL5171218,IC50,107.0,nM,
CHEMBL5208718,IC50,201.0,nM,
CHEMBL5176827,IC50,161.0,nM,
CHEMBL5177122,IC50,36.0,nM,
CHEMBL5178155,IC50,205.0,nM,
CHEMBL5205940,IC50,1342.0,nM,
CHEMBL5197607,IC50,162.0,nM,
CHEMBL5196171,IC50,715.0,nM,
CHEMBL5208091,IC50,744.0,nM,
CHEMBL5199046,IC50,237.0,nM,
CHEMBL5182774,IC50,192.0,nM,
CHEMBL5177872,IC50,21.0,nM,
CHEMBL5195729,IC50,77.0,nM,
CHEMBL5169660,IC50,147.0,nM,
CHEMBL5171861,IC50,141.0,nM,
CHEMBL5174202,IC50,838.0,nM,
CHEMBL5209124,IC50,87.0,nM,
CHEMBL5198191,IC50,455.0,nM,
CHEMBL5205017,IC50,404.0,nM,
CHEMBL5203083,IC50,249.0,nM,
CHEMBL5194891,IC50,354.0,nM,
CHEMBL5188634,IC50,997.0,nM,
CHEMBL5192802,IC50,100.0,nM,
CHEMBL5174328,IC50,100.0,nM,
CHEMBL5189512,IC50,40.0,nM,
CHEMBL5208550,IC50,315.0,nM,
CHEMBL5194399,IC50,33.0,nM,
CHEMBL5172873,IC50,83.0,nM,
CHEMBL5171732,IC50,64.0,nM,
CHEMBL5174202,IC50,120.0,nM,
