molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3318569,IC50,870.0,nM,
CHEMBL3318568,IC50,1020.0,nM,
CHEMBL3318567,IC50,270.0,nM,
CHEMBL3318566,IC50,1950.0,nM,
CHEMBL3318565,IC50,2700.0,nM,
CHEMBL3318564,IC50,61.0,nM,
CHEMBL3318563,IC50,34.0,nM,
CHEMBL3318562,IC50,150.0,nM,
CHEMBL3318561,IC50,10000.0,nM,
CHEMBL3318560,IC50,2230.0,nM,
CHEMBL3318559,IC50,7080.0,nM,
CHEMBL3318558,IC50,7010.0,nM,
CHEMBL3318557,IC50,260.0,nM,
CHEMBL3318556,IC50,230.0,nM,
CHEMBL3318555,IC50,190.0,nM,
CHEMBL3318554,IC50,76.0,nM,
CHEMBL3317462,IC50,52.0,nM,
CHEMBL3318553,IC50,77.0,nM,
CHEMBL3318552,IC50,34.0,nM,
CHEMBL3318551,IC50,190.0,nM,
CHEMBL3318550,IC50,73.0,nM,
CHEMBL3318549,IC50,71.0,nM,
CHEMBL3318548,IC50,36.0,nM,
CHEMBL3318547,IC50,1260.0,nM,
CHEMBL3318546,IC50,6010.0,nM,
CHEMBL3318545,IC50,1880.0,nM,
CHEMBL3318544,IC50,2180.0,nM,
CHEMBL3318543,IC50,270.0,nM,
CHEMBL1594803,IC50,280.0,nM,
CHEMBL3318542,IC50,5000.0,nM,
CHEMBL3318541,IC50,1300.0,nM,
CHEMBL3318540,IC50,146.0,nM,
CHEMBL3318539,IC50,10000.0,nM,
CHEMBL1531102,IC50,3440.0,nM,
CHEMBL1508710,IC50,1480.0,nM,
CHEMBL1543754,IC50,160.0,nM,
CHEMBL3318570,IC50,10000.0,nM,
CHEMBL3318571,IC50,10000.0,nM,
CHEMBL3318572,IC50,700.0,nM,
CHEMBL3318573,IC50,53.0,nM,
CHEMBL3318574,IC50,24.0,nM,
CHEMBL3318575,IC50,477.0,nM,
CHEMBL3318576,IC50,76.0,nM,
CHEMBL3318577,IC50,128.0,nM,
CHEMBL3318578,IC50,392.0,nM,
CHEMBL3318579,IC50,21.0,nM,
CHEMBL3318580,IC50,57.0,nM,
CHEMBL3318581,IC50,89.0,nM,
CHEMBL3318582,IC50,586.0,nM,
CHEMBL3318583,IC50,1340.0,nM,
CHEMBL3318584,IC50,36.0,nM,
CHEMBL3318585,IC50,27.0,nM,
CHEMBL3318586,IC50,18.0,nM,
CHEMBL3318587,IC50,653.0,nM,
