molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3350447,Vmax,4.6,nM hr-1 (10e6*cells)-1,
CHEMBL3350447,Vmax,4.0,nM hr-1 (10e6*cells)-1,
CHEMBL3350451,Vmax,4.2,nM hr-1 (10e6*cells)-1,
CHEMBL3350451,Vmax,4.1,nM hr-1 (10e6*cells)-1,
CHEMBL3350450,Vmax,4.5,nM hr-1 (10e6*cells)-1,
CHEMBL3350450,Vmax,4.1,nM hr-1 (10e6*cells)-1,
CHEMBL3350450,Vmax,4.4,nM hr-1 (10e6*cells)-1,
CHEMBL3350448,Vmax,4.1,nM hr-1 (10e6*cells)-1,
CHEMBL3350449,Vmax,3.1,nM hr-1 (10e6*cells)-1,
CHEMBL3350449,Vmax,2.0,nM hr-1 (10e6*cells)-1,
CHEMBL3350449,Vmax,1.4,nM hr-1 (10e6*cells)-1,
CHEMBL3350449,Vmax,0.49,nM hr-1 (10e6*cells)-1,
CHEMBL3350449,Vmax,0.26,nM hr-1 (10e6*cells)-1,
CHEMBL3350399,Vmax,4.3,nM hr-1 (10e6*cells)-1,
