molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3769514,IC50,800.0,nM,
CHEMBL3770439,IC50,17000.0,nM,
CHEMBL3769911,IC50,1650.0,nM,
CHEMBL3770370,IC50,650.0,nM,
CHEMBL3771118,IC50,510.0,nM,
CHEMBL3769920,IC50,18000.0,nM,
CHEMBL3769766,IC50,3370.0,nM,
CHEMBL3770497,IC50,190.0,nM,
CHEMBL3771175,IC50,110.0,nM,
CHEMBL3770609,IC50,110.0,nM,
CHEMBL3771155,IC50,25000.0,nM,
CHEMBL3770675,IC50,330.0,nM,
CHEMBL3769514,IC50,,,
CHEMBL3769578,IC50,16200.0,nM,
CHEMBL3770439,IC50,,,
CHEMBL3769911,IC50,,,
CHEMBL3770370,IC50,,,
CHEMBL3771118,IC50,740.0,nM,
CHEMBL3769920,IC50,,,
CHEMBL3769766,IC50,,,
CHEMBL3770497,IC50,,,
CHEMBL3771175,IC50,,,
CHEMBL3770609,IC50,330.0,nM,
CHEMBL3771155,IC50,30000.0,nM,
CHEMBL3770675,IC50,,,
CHEMBL3769514,IC50,794.33,nM,
CHEMBL3769578,IC50,501.19,nM,
CHEMBL3769911,IC50,1584.89,nM,
CHEMBL3770370,IC50,316.23,nM,
CHEMBL3771118,IC50,501.19,nM,
CHEMBL3769766,IC50,3162.28,nM,
CHEMBL3770497,IC50,199.53,nM,
CHEMBL3771175,IC50,125.89,nM,
CHEMBL3770609,IC50,125.89,nM,
CHEMBL3770675,IC50,316.23,nM,
CHEMBL3769578,IC50,15848.93,nM,
CHEMBL3771118,IC50,794.33,nM,
CHEMBL3770609,IC50,316.23,nM,
CHEMBL3769578,IC50,410.0,nM,
CHEMBL4757114,IC50,24.0,nM,
CHEMBL4757114,IC50,56.0,nM,
