molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL568641,Ki,916000.0,nM,
CHEMBL568641,Ki,6210000.0,nM,
CHEMBL3780459,IC50,1120.0,nM,
CHEMBL3781149,IC50,60.0,nM,
CHEMBL3781157,IC50,10000.0,nM,
CHEMBL3780403,IC50,10000.0,nM,
CHEMBL3781094,IC50,5990.0,nM,
CHEMBL3781573,IC50,10000.0,nM,
CHEMBL3781994,IC50,1210.0,nM,
CHEMBL3781827,IC50,1480.0,nM,
CHEMBL3780717,IC50,220.0,nM,
CHEMBL3780534,IC50,8700.0,nM,
CHEMBL3781161,IC50,10000.0,nM,
CHEMBL3781447,IC50,10000.0,nM,
CHEMBL3780972,IC50,10000.0,nM,
CHEMBL3781183,IC50,1700.0,nM,
CHEMBL3780239,IC50,10000.0,nM,
CHEMBL3780144,IC50,10000.0,nM,
CHEMBL3781331,IC50,100.0,nM,
CHEMBL3781654,IC50,1200.0,nM,
CHEMBL3780764,IC50,1360.0,nM,
CHEMBL3781847,IC50,,,
CHEMBL3780372,IC50,510.0,nM,
CHEMBL3781835,IC50,950.0,nM,
CHEMBL3781086,IC50,10000.0,nM,
CHEMBL3781668,IC50,10000.0,nM,
CHEMBL3781290,IC50,,,
CHEMBL3781308,IC50,1400.0,nM,
CHEMBL3781633,IC50,2500.0,nM,
CHEMBL3780730,IC50,10000.0,nM,
CHEMBL3780119,IC50,10000.0,nM,
CHEMBL3780153,IC50,,,
CHEMBL3781913,IC50,21.0,nM,
CHEMBL3780756,IC50,600.0,nM,
CHEMBL3781757,IC50,5000.0,nM,
CHEMBL3781893,IC50,10000.0,nM,
CHEMBL3781384,IC50,3300.0,nM,
CHEMBL3780785,IC50,3500.0,nM,
CHEMBL3780054,IC50,10000.0,nM,
CHEMBL3781548,IC50,1100.0,nM,
CHEMBL3780235,IC50,1200.0,nM,
CHEMBL3781347,IC50,1000.0,nM,
CHEMBL3781741,IC50,10000.0,nM,
CHEMBL3780765,IC50,,,
CHEMBL3780772,IC50,900.0,nM,
CHEMBL3780043,IC50,10000.0,nM,
CHEMBL3781151,IC50,10000.0,nM,
CHEMBL3781194,IC50,10000.0,nM,
CHEMBL3781625,IC50,2600.0,nM,
CHEMBL1551510,IC50,10000.0,nM,
CHEMBL3780460,IC50,10000.0,nM,
CHEMBL3780470,IC50,880.0,nM,
CHEMBL3780729,IC50,2100.0,nM,
CHEMBL3780349,IC50,8000.0,nM,
CHEMBL3781797,IC50,6000.0,nM,
CHEMBL3780845,IC50,4400.0,nM,
CHEMBL3781535,IC50,7000.0,nM,
CHEMBL3780595,IC50,,,
CHEMBL3780527,IC50,2000.0,nM,
CHEMBL50,IC50,12000.0,nM,
CHEMBL164,IC50,12000.0,nM,
CHEMBL50,IC50,12000.0,nM,
