molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL252036,Km,259000.0,nM,
CHEMBL5314375,Km,58000.0,nM,
CHEMBL484,Km,23800.0,nM,
CHEMBL483,Km,33800.0,nM,
CHEMBL252036,Vmax,7.8,pmol/min,
CHEMBL5314375,Vmax,103.0,pmol/min,
CHEMBL484,Vmax,46.0,pmol/min,
CHEMBL483,Vmax,110.0,pmol/min,
CHEMBL589366,Km,420.0,nM,
CHEMBL815,Km,575.0,nM,
CHEMBL548,Km,970.0,nM,
CHEMBL1162495,Km,10700.0,nM,
CHEMBL1231562,Km,141000.0,nM,
CHEMBL2074590,Km,14000.0,nM,
CHEMBL463,Km,15400.0,nM,
CHEMBL1233636,Km,21000.0,nM,
CHEMBL463,Km,22000.0,nM,
CHEMBL484,Km,23800.0,nM,
CHEMBL461,Km,24000.0,nM,
CHEMBL318164,Km,3950.0,nM,
CHEMBL463,Km,3900.0,nM,
CHEMBL392630,Km,309000.0,nM,
CHEMBL484,Km,30000.0,nM,
CHEMBL184,Km,342300.0,nM,
CHEMBL129,Km,45900.0,nM,
CHEMBL5314375,Km,46000.0,nM,
CHEMBL463,Km,4000.0,nM,
CHEMBL34259,Km,553800.0,nM,
CHEMBL5314375,Km,58000.0,nM,
CHEMBL463,Km,5000.0,nM,
CHEMBL182,Km,895500.0,nM,
CHEMBL463,Km,9300.0,nM,
CHEMBL792,Km,947000.0,nM,
CHEMBL2074845,Km,44000.0,nM,
CHEMBL2074845,Km,44000.0,nM,
CHEMBL463,Km,8500.0,nM,
CHEMBL463,Km,8900.0,nM,
CHEMBL184,Km,839000.0,nM,
CHEMBL463,Km,20000.0,nM,
