molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3138109,Km,14100.0,nM,
CHEMBL272427,Km,19000.0,nM,
CHEMBL294616,Km,202000.0,nM,
CHEMBL453904,Km,20000.0,nM,
CHEMBL444092,Km,20000.0,nM,
CHEMBL3138108,Km,23800.0,nM,
CHEMBL3527524,Km,25600.0,nM,
CHEMBL20226,Km,330000.0,nM,
CHEMBL2074787,Km,5100.0,nM,
CHEMBL222863,Km,5500000.0,nM,
CHEMBL494753,Km,59000.0,nM,
CHEMBL914,Km,6400.0,nM,
CHEMBL1544,Km,6500.0,nM,
CHEMBL259898,Km,6600.0,nM,
CHEMBL224867,Km,60000.0,nM,
CHEMBL224867,Km,64000.0,nM,
CHEMBL1624,Km,8000.0,nM,
CHEMBL224867,Km,93000.0,nM,
CHEMBL1201407,Km,93000.0,nM,
CHEMBL494753,Km,9600.0,nM,
CHEMBL224867,Vmax,24.1,pmol/mg/min,
CHEMBL494753,Vmax,39.4,pmol/mg/min,
CHEMBL224867,Km,15900.0,nM,
CHEMBL494753,Km,16100.0,nM,
