molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL441687,Ki,12500.0,nM,
CHEMBL437765,Ki,3000.0,nM,
CHEMBL374478,Ki,5000.0,nM,
CHEMBL90555,Ki,9800.0,nM,
CHEMBL90555,IC50,11000.0,nM,
CHEMBL421,Ki,11000.0,nM,
CHEMBL421,IC50,12000.0,nM,
CHEMBL163,Ki,4000.0,nM,
CHEMBL163,IC50,4400.0,nM,
CHEMBL374478,Ki,1400.0,nM,
CHEMBL374478,IC50,1500.0,nM,
CHEMBL1144,Ki,57000.0,nM,
CHEMBL1144,IC50,62000.0,nM,
CHEMBL15177,Ki,5900.0,nM,
CHEMBL15177,IC50,6400.0,nM,
CHEMBL6,IC50,41000.0,nM,
CHEMBL6,Ki,38000.0,nM,
CHEMBL343002,Ki,16000.0,nM,
CHEMBL343002,IC50,18000.0,nM,
CHEMBL553,IC50,44000.0,nM,
CHEMBL553,Ki,41000.0,nM,
CHEMBL53463,Ki,38000.0,nM,
CHEMBL53463,IC50,41000.0,nM,
CHEMBL160,IC50,1300.0,nM,
CHEMBL160,Ki,1200.0,nM,
CHEMBL1163,Ki,370.0,nM,
CHEMBL1163,IC50,400.0,nM,
CHEMBL601891,IC50,11481.54,nM,
CHEMBL1171146,IC50,104.71,nM,
CHEMBL464958,IC50,3235.94,nM,
CHEMBL1456870,IC50,2238.72,nM,
CHEMBL1017,IC50,1258.93,nM,
CHEMBL393220,IC50,3388.44,nM,
CHEMBL1078052,IC50,3715.35,nM,
CHEMBL3138652,IC50,5011.87,nM,
CHEMBL3138658,IC50,5248.07,nM,
CHEMBL3138660,IC50,4466.84,nM,
CHEMBL169,IC50,11481.54,nM,
CHEMBL3085392,IC50,3388.44,nM,
CHEMBL1410,IC50,3715.35,nM,
CHEMBL228281,IC50,549.54,nM,
CHEMBL230006,IC50,549.54,nM,
CHEMBL3138664,IC50,3311.31,nM,
CHEMBL2269376,IC50,3801.89,nM,
CHEMBL1293,IC50,2951.21,nM,
CHEMBL1751,IC50,13182.57,nM,
CHEMBL504794,IC50,3388.44,nM,
CHEMBL506247,IC50,4168.69,nM,
CHEMBL51483,IC50,4570.88,nM,
CHEMBL486400,IC50,891.25,nM,
CHEMBL9509,IC50,4265.8,nM,
CHEMBL3138676,IC50,7762.47,nM,
CHEMBL1200467,IC50,1230.27,nM,
CHEMBL3138678,IC50,3981.07,nM,
CHEMBL434864,IC50,4466.84,nM,
CHEMBL3138689,IC50,1412.54,nM,
CHEMBL3137741,IC50,2818.38,nM,
CHEMBL3138694,IC50,2951.21,nM,
CHEMBL3039293,IC50,724.44,nM,
CHEMBL3039300,IC50,776.25,nM,
CHEMBL3138701,IC50,3715.35,nM,
CHEMBL44,IC50,3890.45,nM,
CHEMBL1697717,IC50,1905.46,nM,
CHEMBL1200701,IC50,1995.26,nM,
