molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL501680,Km,39.1,nM,
CHEMBL453904,Km,400.0,nM,
CHEMBL2074720,Km,500.0,nM,
CHEMBL1121,Km,11100.0,nM,
CHEMBL444092,Km,12400.0,nM,
CHEMBL374478,Km,2300.0,nM,
CHEMBL34259,Km,24700.0,nM,
CHEMBL453904,Km,3300.0,nM,
CHEMBL453904,Km,3300.0,nM,
CHEMBL2369946,Km,7500.0,nM,
CHEMBL1697724,Km,5400.0,nM,
CHEMBL1697724,Km,5400.0,nM,
CHEMBL224867,Km,5800.0,nM,
CHEMBL1544,Km,6400.0,nM,
CHEMBL1516,Km,71800.0,nM,
CHEMBL259898,Km,30000.0,nM,
CHEMBL1487,Km,730.0,nM,
CHEMBL1487,Vmax,2.29,pmol/min,
CHEMBL1697724,Vmax,10.12,pmol/min,
CHEMBL1697724,Km,11690.0,nM,
CHEMBL704,Km,77400.0,nM,
CHEMBL704,Vmax,85.1,pmol/min,
CHEMBL507001,Km,2080.0,nM,
CHEMBL507001,Vmax,730.0,pmol/min/mg,
