molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL340330,EC50,3981.07,nM,
CHEMBL128767,EC50,100000.0,nM,
CHEMBL130849,EC50,10000.0,nM,
CHEMBL131352,EC50,5011.87,nM,
CHEMBL128831,EC50,10000.0,nM,
CHEMBL128096,EC50,1000.0,nM,
CHEMBL128862,EC50,2511.89,nM,
CHEMBL127612,EC50,100000.0,nM,
CHEMBL131453,EC50,31622.78,nM,
CHEMBL128062,EC50,5011.87,nM,
CHEMBL335172,EC50,1995.26,nM,
CHEMBL1788243,EC50,10000.0,nM,
CHEMBL132277,EC50,19952.62,nM,
CHEMBL339992,EC50,3981.07,nM,
CHEMBL131993,EC50,100000.0,nM,
CHEMBL421903,EC50,794.33,nM,
CHEMBL129080,EC50,3162.28,nM,
CHEMBL127164,EC50,6309.57,nM,
CHEMBL131347,EC50,2511.89,nM,
CHEMBL130622,EC50,100000.0,nM,
CHEMBL239512,EC50,316.23,nM,
CHEMBL12531,IC50,4300.0,nM,
CHEMBL47088,Kd,5200.0,nM,
CHEMBL47088,Kd,8500.0,nM,
CHEMBL472,IC50,220.0,nM,
CHEMBL93196,Ki,160.0,nM,
CHEMBL1159,Ki,320.0,nM,
CHEMBL328082,Ki,480.0,nM,
CHEMBL93834,Ki,350.0,nM,
CHEMBL328308,Ki,74.0,nM,
CHEMBL472,Ki,130.0,nM,
CHEMBL96267,Ki,30000.0,nM,
CHEMBL93835,Ki,680.0,nM,
CHEMBL11684,Ki,72000.0,nM,
CHEMBL11684,Ki,1100.0,nM,
CHEMBL11458,Ki,27.0,nM,
CHEMBL19169,Ki,99.0,nM,
CHEMBL93344,Ki,57.0,nM,
CHEMBL90665,Ki,7300.0,nM,
CHEMBL90631,Ki,30000.0,nM,
CHEMBL327884,Ki,30000.0,nM,
CHEMBL18861,EC50,398.11,nM,
CHEMBL217511,EC50,45.71,nM,
CHEMBL218515,EC50,933.25,nM,
CHEMBL216284,EC50,18.2,nM,
CHEMBL217696,EC50,120.23,nM,
CHEMBL385908,EC50,102.33,nM,
CHEMBL413532,EC50,1.82,nM,
CHEMBL384537,EC50,1023.29,nM,
CHEMBL215681,EC50,1380.38,nM,
CHEMBL215681,EC50,776.25,nM,
CHEMBL215681,EC50,10000.0,nM,
CHEMBL386582,EC50,2818.38,nM,
CHEMBL386582,EC50,26.92,nM,
CHEMBL386582,EC50,23.99,nM,
CHEMBL386126,EC50,295.12,nM,
CHEMBL386126,EC50,72.44,nM,
CHEMBL386126,EC50,457.09,nM,
CHEMBL425087,EC50,512.86,nM,
CHEMBL425087,EC50,173.78,nM,
CHEMBL425087,EC50,501.19,nM,
CHEMBL217511,EC50,37.15,nM,
CHEMBL2112487,EC50,63.1,nM,
CHEMBL384576,EC50,27.54,nM,
CHEMBL386843,EC50,851.14,nM,
CHEMBL386843,EC50,5128.61,nM,
CHEMBL386843,EC50,2187.76,nM,
CHEMBL386323,EC50,29.51,nM,
CHEMBL384797,EC50,10000.0,nM,
CHEMBL214616,EC50,10000.0,nM,
CHEMBL216546,EC50,22.91,nM,
CHEMBL216546,EC50,478.63,nM,
CHEMBL216546,EC50,22.91,nM,
CHEMBL386363,EC50,9.772,nM,
CHEMBL214841,EC50,27.54,nM,
CHEMBL214841,EC50,3235.94,nM,
CHEMBL214841,EC50,154.88,nM,
CHEMBL218564,EC50,3.715,nM,
CHEMBL218564,EC50,1.0,nM,
CHEMBL218564,EC50,5.129,nM,
CHEMBL215375,EC50,169.82,nM,
CHEMBL215375,EC50,7244.36,nM,
CHEMBL215375,EC50,95.5,nM,
CHEMBL384564,EC50,144.54,nM,
CHEMBL384564,EC50,3.89,nM,
CHEMBL384564,EC50,35.48,nM,
CHEMBL261996,EC50,26.92,nM,
CHEMBL215996,EC50,257.04,nM,
CHEMBL215996,EC50,64.57,nM,
CHEMBL215996,EC50,1000.0,nM,
CHEMBL426334,EC50,51.29,nM,
CHEMBL426334,EC50,0.912,nM,
CHEMBL426334,EC50,5.495,nM,
CHEMBL386228,EC50,10000.0,nM,
CHEMBL214325,EC50,10000.0,nM,
CHEMBL215995,EC50,10000.0,nM,
CHEMBL217033,EC50,218.78,nM,
CHEMBL217033,EC50,3467.37,nM,
CHEMBL217033,EC50,398.11,nM,
CHEMBL215026,EC50,125.89,nM,
CHEMBL215026,EC50,1148.15,nM,
CHEMBL215026,EC50,331.13,nM,
CHEMBL383900,EC50,436.52,nM,
CHEMBL383900,EC50,1047.13,nM,
CHEMBL383900,EC50,426.58,nM,
CHEMBL215124,EC50,151.36,nM,
CHEMBL215124,EC50,812.83,nM,
CHEMBL215124,EC50,173.78,nM,
CHEMBL214892,EC50,1995.26,nM,
CHEMBL214892,EC50,1318.26,nM,
CHEMBL214892,EC50,602.56,nM,
CHEMBL426160,EC50,26.92,nM,
CHEMBL426160,EC50,1949.84,nM,
CHEMBL426160,EC50,75.86,nM,
CHEMBL214566,EC50,91.2,nM,
CHEMBL214566,EC50,3388.44,nM,
CHEMBL214566,EC50,67.61,nM,
