molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1159,EC50,3540.0,nM,
CHEMBL11458,EC50,230.0,nM,
CHEMBL49035,EC50,1250.0,nM,
CHEMBL454369,EC50,310.0,nM,
CHEMBL455407,EC50,120.0,nM,
CHEMBL509950,EC50,2070.0,nM,
CHEMBL455408,EC50,70.0,nM,
CHEMBL508050,EC50,780.0,nM,
CHEMBL453377,EC50,21100.0,nM,
CHEMBL454166,EC50,810.0,nM,
CHEMBL508490,EC50,7060.0,nM,
CHEMBL454168,EC50,560.0,nM,
CHEMBL454169,EC50,1540.0,nM,
CHEMBL508720,EC50,18600.0,nM,
CHEMBL462143,EC50,1500.0,nM,
CHEMBL449849,EC50,2750.0,nM,
CHEMBL461799,EC50,7450.0,nM,
CHEMBL461800,EC50,30000.0,nM,
CHEMBL517128,EC50,13000.0,nM,
CHEMBL516976,EC50,30000.0,nM,
CHEMBL460738,EC50,12900.0,nM,
CHEMBL460739,EC50,4330.0,nM,
CHEMBL517878,EC50,1640.0,nM,
CHEMBL460911,EC50,13800.0,nM,
CHEMBL516977,EC50,3710.0,nM,
CHEMBL490683,EC50,2290.0,nM,
CHEMBL510637,EC50,16500.0,nM,
CHEMBL524131,EC50,2600.0,nM,
CHEMBL490883,EC50,8440.0,nM,
CHEMBL454398,EC50,3090.0,nM,
CHEMBL517594,EC50,14700.0,nM,
CHEMBL462140,EC50,7850.0,nM,
CHEMBL460740,EC50,16100.0,nM,
CHEMBL517879,EC50,6180.0,nM,
CHEMBL452140,EC50,6850.0,nM,
CHEMBL514782,EC50,1370.0,nM,
CHEMBL473749,EC50,7770.0,nM,
CHEMBL473750,EC50,30000.0,nM,
CHEMBL473132,EC50,24800.0,nM,
CHEMBL473133,EC50,20400.0,nM,
CHEMBL513987,EC50,6940.0,nM,
CHEMBL473744,EC50,670.0,nM,
CHEMBL516207,EC50,2440.0,nM,
CHEMBL515715,EC50,14100.0,nM,
CHEMBL473540,EC50,4100.0,nM,
CHEMBL473941,EC50,750.0,nM,
CHEMBL514789,EC50,1560.0,nM,
CHEMBL523312,EC50,1080.0,nM,
CHEMBL491479,EC50,820.0,nM,
CHEMBL491674,EC50,10300.0,nM,
CHEMBL492076,EC50,6450.0,nM,
CHEMBL491281,EC50,7330.0,nM,
CHEMBL523142,EC50,7990.0,nM,
CHEMBL491471,EC50,1710.0,nM,
CHEMBL491472,EC50,3160.0,nM,
CHEMBL521608,EC50,6040.0,nM,
