molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL53492,IC50,3600.0,nM,
CHEMBL301166,IC50,2520.0,nM,
CHEMBL11684,IC50,1500.0,nM,
CHEMBL131352,EC50,5011.87,nM,
CHEMBL128096,EC50,1995.26,nM,
CHEMBL131453,EC50,7943.28,nM,
CHEMBL335172,EC50,2511.89,nM,
CHEMBL1788243,EC50,19952.62,nM,
CHEMBL339992,EC50,5011.87,nM,
CHEMBL421903,EC50,1995.26,nM,
CHEMBL129080,EC50,1584.89,nM,
CHEMBL127164,EC50,19952.62,nM,
CHEMBL131347,EC50,7943.28,nM,
CHEMBL239512,EC50,5011.87,nM,
CHEMBL36665,EC50,30.0,nM,
CHEMBL36665,EC50,338.84,nM,
CHEMBL285407,EC50,187.0,nM,
CHEMBL35250,EC50,9700.0,nM,
CHEMBL285533,EC50,1100.0,nM,
CHEMBL33973,EC50,3200.0,nM,
CHEMBL34523,EC50,30.0,nM,
CHEMBL287995,EC50,7800.0,nM,
CHEMBL37959,EC50,394.0,nM,
CHEMBL35554,EC50,155.0,nM,
CHEMBL35554,EC50,457.09,nM,
CHEMBL35104,EC50,310.0,nM,
CHEMBL35304,EC50,12000.0,nM,
CHEMBL35128,EC50,262.0,nM,
CHEMBL35128,EC50,213.8,nM,
CHEMBL37616,EC50,2860.0,nM,
CHEMBL38327,EC50,130.0,nM,
CHEMBL49035,EC50,425.0,nM,
CHEMBL49035,EC50,457.09,nM,
CHEMBL37648,EC50,13000.0,nM,
CHEMBL38015,EC50,550.0,nM,
CHEMBL37534,EC50,35.0,nM,
CHEMBL37534,EC50,1000.0,nM,
CHEMBL32221,EC50,10000.0,nM,
CHEMBL37598,EC50,256.0,nM,
CHEMBL287533,EC50,10000.0,nM,
CHEMBL37535,EC50,910.0,nM,
CHEMBL290338,EC50,10000.0,nM,
CHEMBL2052025,EC50,3800.0,nM,
CHEMBL37591,EC50,1700.0,nM,
CHEMBL35356,EC50,40.0,nM,
CHEMBL284159,EC50,12000.0,nM,
CHEMBL290461,EC50,10000.0,nM,
CHEMBL284747,EC50,290.0,nM,
CHEMBL3138561,EC50,38.02,nM,
CHEMBL3138561,EC50,363.08,nM,
CHEMBL11458,EC50,44.67,nM,
CHEMBL11458,EC50,85.11,nM,
CHEMBL11458,EC50,21.88,nM,
CHEMBL3138548,EC50,181.97,nM,
CHEMBL3138548,EC50,109.65,nM,
CHEMBL3138601,EC50,3311.31,nM,
CHEMBL3138612,EC50,17782.79,nM,
CHEMBL3138567,EC50,2041.74,nM,
CHEMBL3138559,EC50,10000.0,nM,
CHEMBL3138589,EC50,1513.56,nM,
CHEMBL3138603,EC50,575.44,nM,
CHEMBL3138603,EC50,338.84,nM,
CHEMBL3138577,EC50,83.18,nM,
CHEMBL3138577,EC50,5623.41,nM,
CHEMBL324190,EC50,213.8,nM,
CHEMBL324190,EC50,794.33,nM,
CHEMBL3138596,EC50,54.95,nM,
CHEMBL3138596,EC50,537.03,nM,
CHEMBL3138557,EC50,5888.44,nM,
CHEMBL3138557,EC50,12882.5,nM,
CHEMBL3138585,EC50,10000.0,nM,
CHEMBL321982,EC50,446.68,nM,
CHEMBL321982,EC50,2238.72,nM,
CHEMBL3138592,EC50,154.88,nM,
CHEMBL3138592,EC50,977.24,nM,
CHEMBL3138555,EC50,213.8,nM,
CHEMBL3138555,EC50,1698.24,nM,
CHEMBL3138593,EC50,151.36,nM,
CHEMBL3138593,EC50,478.63,nM,
CHEMBL3138594,EC50,501.19,nM,
CHEMBL3138611,EC50,107.15,nM,
CHEMBL3138611,EC50,977.24,nM,
CHEMBL3138561,EC50,1202.26,nM,
CHEMBL3138561,EC50,6760.83,nM,
CHEMBL2062142,EC50,251.19,nM,
CHEMBL2062142,EC50,676.08,nM,
CHEMBL2062142,EC50,102.33,nM,
CHEMBL3138560,EC50,52.48,nM,
CHEMBL3138560,EC50,281.84,nM,
CHEMBL420483,EC50,338.84,nM,
CHEMBL420483,EC50,269.15,nM,
CHEMBL3138605,EC50,1318.26,nM,
CHEMBL3138550,EC50,10000.0,nM,
CHEMBL3138607,EC50,123.03,nM,
CHEMBL3138607,EC50,234.42,nM,
CHEMBL3138607,EC50,22.91,nM,
CHEMBL3138581,EC50,138.04,nM,
CHEMBL3138581,EC50,213.8,nM,
CHEMBL3138556,EC50,2398.83,nM,
CHEMBL3138554,EC50,281.84,nM,
CHEMBL3138554,EC50,537.03,nM,
CHEMBL2052025,EC50,3801.89,nM,
CHEMBL2052025,EC50,9772.37,nM,
CHEMBL18861,EC50,389.05,nM,
CHEMBL18861,EC50,2754.23,nM,
CHEMBL18861,EC50,295.12,nM,
CHEMBL3138590,EC50,12022.64,nM,
CHEMBL3138602,EC50,10000.0,nM,
CHEMBL2112479,EC50,630.96,nM,
CHEMBL2112479,EC50,2691.53,nM,
CHEMBL3138604,EC50,467.74,nM,
CHEMBL3138569,EC50,10000.0,nM,
CHEMBL3138546,EC50,61659.5,nM,
CHEMBL3138576,EC50,7079.46,nM,
CHEMBL2111691,EC50,10000.0,nM,
CHEMBL3138582,EC50,213.8,nM,
CHEMBL3138582,EC50,2344.23,nM,
CHEMBL3138563,EC50,10000.0,nM,
CHEMBL11684,EC50,426.58,nM,
CHEMBL11684,EC50,257.04,nM,
CHEMBL11684,EC50,34.67,nM,
CHEMBL3138584,EC50,2290.87,nM,
CHEMBL3138571,EC50,10000.0,nM,
CHEMBL108586,EC50,27.54,nM,
CHEMBL110710,EC50,10000.0,nM,
CHEMBL109159,EC50,1819.7,nM,
CHEMBL109159,EC50,8709.64,nM,
CHEMBL3138583,EC50,2570.4,nM,
CHEMBL3138586,EC50,33.11,nM,
CHEMBL3138586,EC50,30.9,nM,
CHEMBL3138597,EC50,2238.72,nM,
CHEMBL3138597,EC50,11748.98,nM,
CHEMBL3138568,EC50,218.78,nM,
CHEMBL3138568,EC50,9549.93,nM,
CHEMBL3138547,EC50,2818.38,nM,
CHEMBL3138566,EC50,14791.08,nM,
CHEMBL3138566,EC50,26302.68,nM,
CHEMBL3138545,EC50,28.18,nM,
CHEMBL3138545,EC50,446.68,nM,
CHEMBL3138549,EC50,25.7,nM,
CHEMBL3138549,EC50,724.44,nM,
CHEMBL3138565,EC50,269.15,nM,
CHEMBL3138565,EC50,331.13,nM,
CHEMBL3138552,EC50,3162.28,nM,
CHEMBL3138572,EC50,741.31,nM,
CHEMBL3138580,EC50,1047.13,nM,
CHEMBL3138570,EC50,1348.96,nM,
CHEMBL3138570,EC50,2454.71,nM,
CHEMBL325805,EC50,3162.28,nM,
CHEMBL325805,EC50,11748.98,nM,
CHEMBL3138588,EC50,208.93,nM,
CHEMBL3138588,EC50,676.08,nM,
CHEMBL3138591,EC50,575.44,nM,
CHEMBL3138591,EC50,20417.38,nM,
CHEMBL3138553,EC50,43.65,nM,
CHEMBL3138553,EC50,69.18,nM,
CHEMBL3138553,EC50,12.59,nM,
CHEMBL3138606,EC50,53.7,nM,
CHEMBL3138564,EC50,239.88,nM,
CHEMBL3138564,EC50,660.69,nM,
CHEMBL3138598,EC50,1862.09,nM,
CHEMBL3138587,EC50,21.88,nM,
CHEMBL3138587,EC50,309.03,nM,
CHEMBL49035,EC50,457.09,nM,
CHEMBL358854,IC50,2600.0,nM,
CHEMBL143144,IC50,30000.0,nM,
CHEMBL348203,IC50,430.0,nM,
CHEMBL140453,IC50,30000.0,nM,
CHEMBL358107,IC50,26000.0,nM,
CHEMBL141902,IC50,30000.0,nM,
CHEMBL142181,IC50,3090.0,nM,
CHEMBL335370,IC50,30000.0,nM,
CHEMBL143583,IC50,30000.0,nM,
CHEMBL142328,IC50,14000.0,nM,
CHEMBL336923,IC50,8600.0,nM,
CHEMBL342749,IC50,5900.0,nM,
CHEMBL48797,EC50,302.0,nM,
CHEMBL143190,IC50,30000.0,nM,
CHEMBL296931,EC50,389.05,nM,
CHEMBL143441,IC50,2700.0,nM,
CHEMBL140271,IC50,16000.0,nM,
CHEMBL141880,IC50,7700.0,nM,
CHEMBL140609,IC50,8300.0,nM,
CHEMBL140852,IC50,30000.0,nM,
CHEMBL140051,IC50,30000.0,nM,
CHEMBL48848,EC50,181.97,nM,
CHEMBL142247,IC50,30000.0,nM,
CHEMBL424478,IC50,10000.0,nM,
CHEMBL140684,IC50,2000.0,nM,
CHEMBL299167,EC50,95.5,nM,
CHEMBL142761,IC50,30000.0,nM,
CHEMBL342212,IC50,30000.0,nM,
CHEMBL295458,EC50,426.58,nM,
CHEMBL140790,IC50,4200.0,nM,
CHEMBL142245,IC50,30000.0,nM,
CHEMBL143281,IC50,1100.0,nM,
CHEMBL139557,IC50,3500.0,nM,
CHEMBL139557,IC50,130.0,nM,
CHEMBL47170,EC50,81.28,nM,
CHEMBL356671,IC50,30000.0,nM,
CHEMBL141798,IC50,30000.0,nM,
CHEMBL139842,IC50,30000.0,nM,
CHEMBL300969,EC50,549.54,nM,
CHEMBL143097,IC50,2300.0,nM,
CHEMBL343080,IC50,2200.0,nM,
CHEMBL141045,IC50,30000.0,nM,
CHEMBL49153,EC50,48.98,nM,
CHEMBL301296,EC50,851.14,nM,
CHEMBL143548,IC50,1600.0,nM,
CHEMBL357137,IC50,1300.0,nM,
CHEMBL139897,IC50,30000.0,nM,
CHEMBL75001,IC50,30000.0,nM,
CHEMBL141285,IC50,12000.0,nM,
CHEMBL70996,IC50,3800.0,nM,
CHEMBL70996,IC50,82.0,nM,
CHEMBL143382,IC50,30000.0,nM,
CHEMBL358851,IC50,30000.0,nM,
CHEMBL143180,IC50,2600.0,nM,
CHEMBL341597,IC50,30000.0,nM,
CHEMBL142183,IC50,30000.0,nM,
CHEMBL300958,EC50,52.48,nM,
CHEMBL18861,IC50,1600.0,nM,
CHEMBL141615,IC50,6100.0,nM,
CHEMBL355915,IC50,3800.0,nM,
CHEMBL140642,IC50,24000.0,nM,
CHEMBL139827,IC50,30000.0,nM,
CHEMBL140946,IC50,15000.0,nM,
CHEMBL143123,IC50,30000.0,nM,
CHEMBL140694,IC50,5000.0,nM,
CHEMBL143181,IC50,470.0,nM,
CHEMBL143181,IC50,44.0,nM,
CHEMBL422649,IC50,30000.0,nM,
CHEMBL359079,IC50,5100.0,nM,
CHEMBL341978,IC50,16000.0,nM,
CHEMBL343195,IC50,1600.0,nM,
CHEMBL50760,EC50,8.913,nM,
CHEMBL91709,IC50,30000.0,nM,
CHEMBL143408,IC50,2600.0,nM,
CHEMBL49806,EC50,371.54,nM,
CHEMBL49076,EC50,616.6,nM,
CHEMBL336880,IC50,7900.0,nM,
CHEMBL341965,IC50,6200.0,nM,
CHEMBL143099,IC50,30000.0,nM,
CHEMBL141022,IC50,1300.0,nM,
CHEMBL143751,IC50,600.0,nM,
CHEMBL344259,IC50,3800.0,nM,
CHEMBL140470,IC50,1800.0,nM,
CHEMBL49035,IC50,570.0,nM,
CHEMBL49035,IC50,20.0,nM,
CHEMBL45749,EC50,204.17,nM,
CHEMBL49797,EC50,707.95,nM,
CHEMBL296840,EC50,125.89,nM,
CHEMBL139825,IC50,11000.0,nM,
CHEMBL143495,IC50,3400.0,nM,
CHEMBL344802,IC50,30000.0,nM,
CHEMBL92840,IC50,2700.0,nM,
CHEMBL92840,IC50,540.0,nM,
CHEMBL139724,IC50,1400.0,nM,
CHEMBL143691,IC50,1600.0,nM,
CHEMBL143122,IC50,30000.0,nM,
CHEMBL141414,IC50,18000.0,nM,
CHEMBL143752,IC50,2200.0,nM,
CHEMBL344492,IC50,2300.0,nM,
CHEMBL108969,EC50,81.28,nM,
CHEMBL108969,EC50,177.83,nM,
CHEMBL110987,EC50,1000.0,nM,
CHEMBL110987,EC50,2041.74,nM,
CHEMBL108251,EC50,14.13,nM,
CHEMBL110511,EC50,64.57,nM,
CHEMBL110511,EC50,1174.9,nM,
CHEMBL323460,EC50,1096.48,nM,
CHEMBL323460,EC50,6918.31,nM,
CHEMBL109994,EC50,10000.0,nM,
CHEMBL323159,EC50,6.31,nM,
CHEMBL323159,EC50,134.9,nM,
CHEMBL326901,EC50,79.43,nM,
CHEMBL326901,EC50,93.33,nM,
CHEMBL325339,EC50,10000.0,nM,
CHEMBL108547,EC50,114.82,nM,
CHEMBL108547,EC50,204.17,nM,
CHEMBL322931,EC50,436.52,nM,
CHEMBL11684,EC50,426.58,nM,
CHEMBL11684,EC50,257.04,nM,
CHEMBL321455,EC50,0.537,nM,
CHEMBL321455,EC50,851.14,nM,
CHEMBL108723,EC50,12.88,nM,
CHEMBL323787,EC50,67.61,nM,
CHEMBL3138607,EC50,22.91,nM,
CHEMBL3138607,EC50,234.42,nM,
CHEMBL108440,EC50,35.48,nM,
CHEMBL109693,EC50,1023.29,nM,
CHEMBL109693,EC50,4466.84,nM,
CHEMBL109196,EC50,5754.4,nM,
CHEMBL107888,EC50,22.39,nM,
CHEMBL107888,EC50,269.15,nM,
CHEMBL3392139,EC50,8.71,nM,
CHEMBL3392139,EC50,245.47,nM,
CHEMBL3138573,EC50,5.012,nM,
CHEMBL3138573,EC50,67.61,nM,
CHEMBL3138562,EC50,1380.38,nM,
CHEMBL3138562,EC50,50118.72,nM,
CHEMBL2111694,EC50,11.22,nM,
CHEMBL2111694,EC50,263.03,nM,
CHEMBL2111694,EC50,5.012,nM,
CHEMBL106033,EC50,562.34,nM,
CHEMBL106033,EC50,977.24,nM,
CHEMBL106755,EC50,177.83,nM,
CHEMBL106755,EC50,16595.87,nM,
CHEMBL109693,EC50,186.21,nM,
CHEMBL109693,EC50,446.68,nM,
CHEMBL3392139,EC50,10000.0,nM,
CHEMBL3138551,EC50,2570.4,nM,
CHEMBL3138551,EC50,131825.67,nM,
CHEMBL108658,EC50,2630.27,nM,
CHEMBL323397,EC50,141.25,nM,
CHEMBL323397,EC50,1148.15,nM,
CHEMBL3392140,EC50,72.44,nM,
CHEMBL3392140,EC50,549.54,nM,
CHEMBL109412,EC50,63.1,nM,
CHEMBL108029,EC50,208.93,nM,
CHEMBL108029,EC50,1412.54,nM,
CHEMBL110399,EC50,63.1,nM,
CHEMBL110399,EC50,501.19,nM,
CHEMBL110399,EC50,23.44,nM,
CHEMBL107933,EC50,234.42,nM,
CHEMBL322507,EC50,1230.27,nM,
CHEMBL108816,EC50,691.83,nM,
CHEMBL108816,EC50,2344.23,nM,
CHEMBL106984,EC50,281.84,nM,
CHEMBL106984,EC50,4786.3,nM,
CHEMBL321210,EC50,31.62,nM,
CHEMBL432204,EC50,2818.38,nM,
CHEMBL432204,EC50,37153.52,nM,
CHEMBL326016,EC50,316.23,nM,
CHEMBL326016,EC50,512.86,nM,
CHEMBL320518,EC50,398.11,nM,
CHEMBL320518,EC50,1096.48,nM,
CHEMBL320518,EC50,32.36,nM,
CHEMBL325571,EC50,575.44,nM,
CHEMBL325571,EC50,3890.45,nM,
CHEMBL3138579,EC50,53.7,nM,
CHEMBL2112487,EC50,25.7,nM,
CHEMBL2112487,EC50,588.84,nM,
CHEMBL320337,EC50,537.03,nM,
CHEMBL111204,EC50,537.03,nM,
CHEMBL111204,EC50,954.99,nM,
CHEMBL325571,EC50,5011.87,nM,
CHEMBL325571,EC50,6918.31,nM,
CHEMBL322303,EC50,114.82,nM,
CHEMBL322303,EC50,213.8,nM,
CHEMBL324618,EC50,691.83,nM,
CHEMBL108400,EC50,977.24,nM,
CHEMBL111297,EC50,117.49,nM,
CHEMBL3138558,EC50,416.87,nM,
CHEMBL3138558,EC50,1122.02,nM,
CHEMBL320931,EC50,107.15,nM,
CHEMBL320931,EC50,660.69,nM,
CHEMBL320983,EC50,26.92,nM,
CHEMBL320983,EC50,125.89,nM,
CHEMBL70795,IC50,9250.0,nM,
CHEMBL166352,IC50,30000.0,nM,
CHEMBL424173,IC50,30000.0,nM,
CHEMBL164668,IC50,30000.0,nM,
CHEMBL353135,IC50,30900.0,nM,
CHEMBL435068,IC50,30000.0,nM,
CHEMBL262273,IC50,880.0,nM,
CHEMBL165328,IC50,4580.0,nM,
