molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL199824,Ki,10000.0,nM,
CHEMBL579217,Ki,0.1,nM,
CHEMBL2103769,Ki,2760.0,nM,
CHEMBL190691,Ki,630.0,nM,
CHEMBL425617,Ki,5160.0,nM,
CHEMBL124219,Ki,6060.0,nM,
CHEMBL333465,Ki,970.0,nM,
CHEMBL51,Ki,353.0,nM,
CHEMBL4206824,Ki,152.0,nM,
CHEMBL508,Ki,6400.0,nM,
CHEMBL772,Ki,5.26,nM,
CHEMBL213814,Ki,83.0,nM,
CHEMBL39,Ki,7690.0,nM,
CHEMBL122270,Ki,1840.0,nM,
CHEMBL4214975,Ki,176.0,nM,
CHEMBL4207658,Ki,70.0,nM,
CHEMBL4202787,Ki,74.0,nM,
CHEMBL4205254,Ki,62.0,nM,
CHEMBL4205254,Ki,179.0,nM,
CHEMBL4203894,Ki,10000.0,nM,
CHEMBL4208779,Ki,990.0,nM,
CHEMBL4216117,Ki,10000.0,nM,
CHEMBL4204449,Ki,10000.0,nM,
CHEMBL4212633,Ki,10000.0,nM,
CHEMBL4217581,Ki,10000.0,nM,
CHEMBL4208250,Ki,450.0,nM,
CHEMBL4213176,Ki,652.0,nM,
CHEMBL51,Ki,77.0,nM,
CHEMBL4206824,Ki,70.0,nM,
CHEMBL508,Ki,346000.0,nM,
CHEMBL772,Ki,630.0,nM,
CHEMBL213814,Ki,64.0,nM,
CHEMBL39,Ki,640000.0,nM,
CHEMBL122270,Ki,10000.0,nM,
CHEMBL4214975,Ki,750.0,nM,
CHEMBL4207658,Ki,7700.0,nM,
CHEMBL4202787,Ki,7400.0,nM,
CHEMBL4205254,Ki,7800.0,nM,
CHEMBL4205254,Ki,10000.0,nM,
CHEMBL4203894,Ki,10000.0,nM,
CHEMBL4208779,Ki,10000.0,nM,
CHEMBL4216117,Ki,9100.0,nM,
CHEMBL4204449,Ki,10000.0,nM,
CHEMBL4212633,Ki,10000.0,nM,
CHEMBL4217581,Ki,10000.0,nM,
CHEMBL4208250,Ki,6160.0,nM,
CHEMBL4213176,Ki,7900.0,nM,
CHEMBL4206824,Kd,71.0,nM,
CHEMBL772,Kd,8.0,nM,
CHEMBL4207838,Kd,93.0,nM,
CHEMBL51,Ki,1190.0,nM,
CHEMBL4206824,Ki,10000.0,nM,
CHEMBL508,Ki,24500.0,nM,
CHEMBL772,Ki,410.0,nM,
CHEMBL213814,Ki,1932.0,nM,
CHEMBL39,Ki,2290.0,nM,
CHEMBL122270,Ki,1950.0,nM,
CHEMBL4214975,Ki,1150.0,nM,
CHEMBL4207658,Ki,287.0,nM,
CHEMBL4202787,Ki,161.0,nM,
CHEMBL4205254,Kd,93.0,nM,
CHEMBL4205254,Ki,290.0,nM,
CHEMBL4203894,Ki,720.0,nM,
CHEMBL4208779,Ki,350.0,nM,
CHEMBL4216117,Ki,452.0,nM,
CHEMBL4204449,Ki,1960.0,nM,
CHEMBL4212633,Ki,3770.0,nM,
CHEMBL4217581,Ki,1660.0,nM,
CHEMBL4208250,Ki,900.0,nM,
CHEMBL4213176,Ki,700.0,nM,
CHEMBL51,IC50,180.0,nM,
CHEMBL4206824,IC50,28.1,nM,
CHEMBL508,IC50,3620.0,nM,
CHEMBL772,IC50,13.2,nM,
CHEMBL213814,IC50,154.0,nM,
CHEMBL39,IC50,1430.0,nM,
CHEMBL122270,IC50,4200.0,nM,
CHEMBL4214975,IC50,85.5,nM,
CHEMBL4207658,IC50,19.7,nM,
CHEMBL4202787,IC50,39.4,nM,
CHEMBL4205254,IC50,16.0,nM,
CHEMBL4205254,IC50,51.1,nM,
CHEMBL4203894,IC50,2900.0,nM,
CHEMBL4208779,IC50,125.0,nM,
CHEMBL4216117,IC50,2700.0,nM,
CHEMBL4204449,IC50,5800.0,nM,
CHEMBL4212633,IC50,10000.0,nM,
CHEMBL4217581,IC50,10000.0,nM,
CHEMBL4208250,IC50,101.0,nM,
CHEMBL4213176,IC50,142.0,nM,
CHEMBL4643449,IC50,5200.0,nM,
CHEMBL1800685,IC50,3720.0,nM,
CHEMBL1800685,Ki,3090.0,nM,
CHEMBL4755618,IC50,1800.0,nM,
CHEMBL5209629,EC50,3560.0,nM,
CHEMBL117785,IC50,19.8,nM,
CHEMBL772,IC50,15.5,nM,
CHEMBL372199,IC50,213.0,nM,
CHEMBL204232,Ki,648.0,nM,
