molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2385995,IC50,22000.0,nM,
CHEMBL2386188,IC50,17700.0,nM,
CHEMBL2386187,IC50,12500.0,nM,
CHEMBL2386186,IC50,5200.0,nM,
CHEMBL2386185,IC50,9800.0,nM,
CHEMBL2386184,IC50,12000.0,nM,
CHEMBL2386183,IC50,10000.0,nM,
CHEMBL2386181,IC50,51300.0,nM,
CHEMBL2386180,IC50,12100.0,nM,
CHEMBL2386179,IC50,12900.0,nM,
CHEMBL2386178,IC50,67900.0,nM,
CHEMBL2386177,IC50,33600.0,nM,
CHEMBL2386176,IC50,500000.0,nM,
CHEMBL2386175,IC50,89800.0,nM,
CHEMBL2386174,IC50,14200.0,nM,
CHEMBL2386173,IC50,61600.0,nM,
CHEMBL2386172,IC50,13700.0,nM,
CHEMBL2386171,IC50,11200.0,nM,
CHEMBL2386011,IC50,412300.0,nM,
CHEMBL2386010,IC50,500000.0,nM,
CHEMBL2386009,IC50,17100.0,nM,
CHEMBL2386008,IC50,29000.0,nM,
CHEMBL2386007,IC50,500000.0,nM,
CHEMBL81556,IC50,31500.0,nM,
CHEMBL2386006,IC50,93500.0,nM,
CHEMBL2386004,IC50,20200.0,nM,
CHEMBL2386003,IC50,30600.0,nM,
CHEMBL2386001,IC50,41500.0,nM,
CHEMBL2386000,IC50,24300.0,nM,
CHEMBL2385999,IC50,28100.0,nM,
CHEMBL2385998,IC50,30600.0,nM,
CHEMBL2385997,IC50,28000.0,nM,
CHEMBL2385996,IC50,19800.0,nM,
CHEMBL2385995,IC50,24500.0,nM,
CHEMBL2386188,IC50,19200.0,nM,
CHEMBL2386187,IC50,11300.0,nM,
CHEMBL2386186,IC50,5400.0,nM,
CHEMBL2386185,IC50,13200.0,nM,
CHEMBL2386184,IC50,9700.0,nM,
CHEMBL2386183,IC50,12300.0,nM,
CHEMBL2386181,IC50,72300.0,nM,
CHEMBL2386180,IC50,14300.0,nM,
CHEMBL2386179,IC50,18900.0,nM,
CHEMBL2386178,IC50,31100.0,nM,
CHEMBL2386177,IC50,18800.0,nM,
CHEMBL2386176,IC50,500000.0,nM,
CHEMBL2386175,IC50,100000.0,nM,
CHEMBL2386174,IC50,17000.0,nM,
CHEMBL2386173,IC50,37100.0,nM,
CHEMBL2386172,IC50,16300.0,nM,
CHEMBL2386171,IC50,10800.0,nM,
CHEMBL2386011,IC50,500000.0,nM,
CHEMBL2386010,IC50,500000.0,nM,
CHEMBL2386009,IC50,14400.0,nM,
CHEMBL2386008,IC50,18600.0,nM,
CHEMBL2386007,IC50,159100.0,nM,
CHEMBL81556,IC50,19100.0,nM,
CHEMBL2386006,IC50,127100.0,nM,
CHEMBL2386004,IC50,36600.0,nM,
CHEMBL2386003,IC50,12900.0,nM,
CHEMBL2386001,IC50,34900.0,nM,
CHEMBL2386000,IC50,15000.0,nM,
CHEMBL2385999,IC50,16200.0,nM,
CHEMBL2385998,IC50,18500.0,nM,
CHEMBL2385997,IC50,18800.0,nM,
CHEMBL2385996,IC50,63600.0,nM,
CHEMBL2385995,IC50,20700.0,nM,
CHEMBL4228250,IC50,14.0,nM,
CHEMBL4470714,IC50,600.0,nM,
CHEMBL4579017,IC50,1700.0,nM,
CHEMBL4580679,IC50,10000.0,nM,
CHEMBL4435596,IC50,320.0,nM,
CHEMBL4448267,IC50,600.0,nM,
CHEMBL4475503,IC50,1700.0,nM,
CHEMBL4789936,IC50,130.0,nM,
CHEMBL4777551,IC50,82.0,nM,
CHEMBL4742895,IC50,690.0,nM,
CHEMBL4796516,IC50,64.0,nM,
CHEMBL4740003,IC50,150.0,nM,
CHEMBL4760109,IC50,170.0,nM,
CHEMBL4746237,IC50,550.0,nM,
CHEMBL4475503,IC50,550.0,nM,
CHEMBL4789446,IC50,600.0,nM,
CHEMBL4762249,IC50,370.0,nM,
CHEMBL4790237,IC50,2400.0,nM,
CHEMBL4761058,IC50,430.0,nM,
CHEMBL4792477,IC50,2100.0,nM,
CHEMBL4789968,IC50,1600.0,nM,
CHEMBL4749205,IC50,2400.0,nM,
CHEMBL4435596,IC50,50.0,nM,
CHEMBL2387541,IC50,9400.0,nM,
