molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1087626,IC50,8300.0,nM,
CHEMBL1076555,IC50,70.0,nM,
CHEMBL1080890,IC50,80.0,nM,
CHEMBL1080392,IC50,10000.0,nM,
CHEMBL1076549,IC50,20000.0,nM,
CHEMBL562493,IC50,190.0,nM,
CHEMBL1081262,IC50,110.0,nM,
CHEMBL579212,IC50,230.0,nM,
CHEMBL373909,IC50,300.0,nM,
CHEMBL565257,IC50,290.0,nM,
CHEMBL1076559,IC50,1300.0,nM,
CHEMBL1081276,IC50,360.0,nM,
CHEMBL1081115,IC50,670.0,nM,
CHEMBL1081116,IC50,2700.0,nM,
CHEMBL1081463,IC50,760.0,nM,
CHEMBL1081626,IC50,120.0,nM,
CHEMBL1081627,IC50,180.0,nM,
CHEMBL1081480,IC50,2000.0,nM,
CHEMBL1081482,IC50,430.0,nM,
CHEMBL1076570,IC50,91.0,nM,
CHEMBL1081994,IC50,120.0,nM,
CHEMBL1082173,IC50,140.0,nM,
CHEMBL1082174,IC50,170.0,nM,
CHEMBL1082175,IC50,190.0,nM,
CHEMBL1076585,IC50,330.0,nM,
CHEMBL1082184,IC50,130.0,nM,
CHEMBL1082029,IC50,230.0,nM,
CHEMBL1076555,EC50,1200.0,nM,
CHEMBL562493,EC50,520.0,nM,
CHEMBL1081262,EC50,90.0,nM,
CHEMBL579212,EC50,1200.0,nM,
CHEMBL1081626,EC50,200.0,nM,
CHEMBL1318338,IC50,50000.0,nM,
CHEMBL1446122,IC50,50000.0,nM,
CHEMBL1355382,IC50,50000.0,nM,
CHEMBL1593304,IC50,50000.0,nM,
CHEMBL1434737,IC50,50000.0,nM,
CHEMBL1484797,IC50,50000.0,nM,
CHEMBL1373154,IC50,50000.0,nM,
CHEMBL1364907,IC50,50000.0,nM,
CHEMBL1593230,IC50,4713.0,nM,
CHEMBL1362311,IC50,50000.0,nM,
CHEMBL1515723,IC50,50000.0,nM,
CHEMBL1476178,IC50,50000.0,nM,
CHEMBL1314351,IC50,50000.0,nM,
CHEMBL1356663,IC50,50000.0,nM,
CHEMBL1434053,IC50,50000.0,nM,
CHEMBL1490267,IC50,13490.0,nM,
CHEMBL1516388,IC50,5386.0,nM,
CHEMBL1418796,IC50,50000.0,nM,
CHEMBL239103,IC50,24160.0,nM,
CHEMBL1399109,IC50,50000.0,nM,
CHEMBL1458321,IC50,50000.0,nM,
CHEMBL1329974,IC50,50000.0,nM,
