molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL126019,Ki,600.0,nM,
CHEMBL87594,Ki,0.36,nM,
CHEMBL339281,Ki,144.0,nM,
CHEMBL315146,Ki,7.6,nM,
CHEMBL340185,Ki,86.0,nM,
CHEMBL127790,Ki,325.0,nM,
CHEMBL87414,Ki,0.36,nM,
CHEMBL127365,Ki,298.0,nM,
CHEMBL129530,Ki,0.44,nM,
CHEMBL126488,Ki,33.0,nM,
CHEMBL405524,Ki,570.0,nM,
CHEMBL339491,Ki,77.0,nM,
CHEMBL337929,Ki,130.0,nM,
CHEMBL126762,Ki,14.5,nM,
CHEMBL314170,Ki,0.67,nM,
CHEMBL339863,Ki,10.3,nM,
CHEMBL126257,Ki,182.0,nM,
CHEMBL129363,Ki,380.11,nM,
CHEMBL127013,Ki,60.0,nM,
CHEMBL339712,Ki,3400.0,nM,
CHEMBL127180,Ki,74.0,nM,
CHEMBL50880,Ki,0.13,nM,
CHEMBL338411,Ki,8.5,nM,
CHEMBL340816,Ki,594.0,nM,
CHEMBL126479,Ki,30.0,nM,
CHEMBL87379,Ki,0.055,nM,
CHEMBL125795,Ki,8.5,nM,
CHEMBL338469,Ki,411.0,nM,
CHEMBL341139,Ki,85.0,nM,
CHEMBL20730,Ki,2.0,nM,
CHEMBL89812,Ki,170.0,nM,
CHEMBL340815,Ki,17.0,nM,
CHEMBL126742,Ki,474.0,nM,
CHEMBL338140,Ki,420.0,nM,
CHEMBL94733,Ki,2900.0,nM,
CHEMBL97524,Ki,0.3,nM,
CHEMBL330386,Ki,5.2,nM,
CHEMBL330635,Ki,0.26,nM,
CHEMBL316520,Ki,0.44,nM,
CHEMBL95857,Ki,0.99,nM,
CHEMBL50880,Ki,0.13,nM,
CHEMBL95701,Ki,0.4,nM,
CHEMBL330635,Ki,7.7,nM,
CHEMBL97524,Ki,13.1,nM,
CHEMBL20730,Ki,2.0,nM,
CHEMBL318675,Ki,10.0,nM,
CHEMBL316520,Ki,21.0,nM,
CHEMBL316520,Ki,96.0,nM,
CHEMBL278137,IC50,40000.0,nM,
CHEMBL278303,IC50,100.0,nM,
CHEMBL20526,IC50,3000.0,nM,
CHEMBL21152,IC50,300.0,nM,
CHEMBL282727,IC50,100000.0,nM,
CHEMBL283986,IC50,40000.0,nM,
CHEMBL20462,IC50,40000.0,nM,
CHEMBL21227,IC50,10000.0,nM,
CHEMBL21722,IC50,90.0,nM,
CHEMBL20464,IC50,2000.0,nM,
CHEMBL20646,IC50,2000.0,nM,
CHEMBL20881,IC50,100.0,nM,
CHEMBL277449,IC50,4000.0,nM,
CHEMBL21165,IC50,100.0,nM,
CHEMBL20730,IC50,20.0,nM,
CHEMBL20943,IC50,40.0,nM,
CHEMBL21244,IC50,6000.0,nM,
CHEMBL20720,IC50,200.0,nM,
CHEMBL282894,IC50,100.0,nM,
CHEMBL20647,IC50,20000.0,nM,
CHEMBL20928,IC50,300.0,nM,
CHEMBL21243,IC50,70.0,nM,
CHEMBL278758,IC50,1000.0,nM,
CHEMBL21271,IC50,50.0,nM,
CHEMBL282895,IC50,2000.0,nM,
CHEMBL20943,IC50,3000.0,nM,
CHEMBL280673,IC50,20000.0,nM,
CHEMBL20439,IC50,3000.0,nM,
CHEMBL20664,IC50,300.0,nM,
CHEMBL21598,IC50,4000.0,nM,
CHEMBL20479,IC50,100.0,nM,
CHEMBL22117,IC50,4000.0,nM,
CHEMBL20656,IC50,1000.0,nM,
CHEMBL20463,IC50,20.0,nM,
CHEMBL20593,IC50,600.0,nM,
CHEMBL21152,IC50,200.0,nM,
CHEMBL21151,IC50,50.0,nM,
CHEMBL20969,IC50,90000.0,nM,
CHEMBL282241,IC50,20000.0,nM,
CHEMBL2079665,IC50,2000.0,nM,
CHEMBL20689,IC50,300.0,nM,
CHEMBL418373,IC50,5000.0,nM,
CHEMBL21309,IC50,40.0,nM,
CHEMBL20431,IC50,200.0,nM,
CHEMBL416916,IC50,300.0,nM,
CHEMBL417277,IC50,500.0,nM,
CHEMBL20744,IC50,500.0,nM,
CHEMBL20657,IC50,500.0,nM,
CHEMBL277449,IC50,6000.0,nM,
CHEMBL278634,IC50,2000.0,nM,
CHEMBL22052,IC50,300.0,nM,
CHEMBL21270,IC50,10000.0,nM,
CHEMBL277033,IC50,200.0,nM,
CHEMBL279485,IC50,300.0,nM,
CHEMBL281595,IC50,100.0,nM,
CHEMBL20615,IC50,3000.0,nM,
CHEMBL20499,IC50,50.0,nM,
CHEMBL20429,IC50,200.0,nM,
CHEMBL280364,IC50,1000.0,nM,
CHEMBL20721,IC50,10.0,nM,
CHEMBL283141,IC50,1000.0,nM,
CHEMBL21139,IC50,10000.0,nM,
CHEMBL20571,IC50,80000.0,nM,
CHEMBL21093,IC50,2000.0,nM,
CHEMBL2079585,IC50,1000.0,nM,
CHEMBL21375,IC50,800.0,nM,
CHEMBL20382,IC50,50.0,nM,
CHEMBL20399,IC50,10000.0,nM,
CHEMBL21234,IC50,8000.0,nM,
CHEMBL266183,IC50,200.0,nM,
CHEMBL20719,IC50,300.0,nM,
CHEMBL21707,IC50,2000.0,nM,
CHEMBL278774,IC50,2000.0,nM,
CHEMBL20502,IC50,800.0,nM,
CHEMBL20772,IC50,1000.0,nM,
CHEMBL20491,IC50,400.0,nM,
CHEMBL20856,IC50,9000.0,nM,
CHEMBL20601,IC50,1000.0,nM,
CHEMBL20481,IC50,100.0,nM,
CHEMBL20721,IC50,60.0,nM,
CHEMBL277861,IC50,500.0,nM,
CHEMBL283140,IC50,300.0,nM,
CHEMBL278834,IC50,200.0,nM,
CHEMBL21148,IC50,300.0,nM,
CHEMBL20709,IC50,5000.0,nM,
CHEMBL277630,IC50,100.0,nM,
CHEMBL278382,IC50,300.0,nM,
CHEMBL197027,IC50,12.0,nM,
CHEMBL377459,IC50,100.0,nM,
CHEMBL207239,IC50,100.0,nM,
CHEMBL206204,IC50,100.0,nM,
CHEMBL206203,IC50,100.0,nM,
CHEMBL437316,IC50,100.0,nM,
CHEMBL207007,IC50,100.0,nM,
CHEMBL207251,IC50,1000.0,nM,
CHEMBL207724,IC50,100.0,nM,
CHEMBL207342,IC50,46.0,nM,
CHEMBL207191,IC50,47.0,nM,
CHEMBL209296,IC50,100.0,nM,
CHEMBL207918,IC50,100.0,nM,
CHEMBL207653,IC50,100.0,nM,
CHEMBL207652,IC50,1000.0,nM,
CHEMBL207710,IC50,100.0,nM,
CHEMBL206612,IC50,100.0,nM,
CHEMBL206611,IC50,100.0,nM,
CHEMBL382223,IC50,1000.0,nM,
CHEMBL378548,IC50,100.0,nM,
CHEMBL207402,IC50,66.0,nM,
CHEMBL207303,IC50,11.0,nM,
CHEMBL207868,IC50,57.0,nM,
CHEMBL129530,Ki,0.22,nM,
CHEMBL473751,Ki,0.48,nM,
CHEMBL473548,Ki,1.68,nM,
CHEMBL473547,Ki,0.25,nM,
CHEMBL473546,Ki,4.3,nM,
CHEMBL87379,Ki,0.055,nM,
CHEMBL20730,Ki,2.0,nM,
CHEMBL461783,Kd,3.0,nM,
CHEMBL461956,Ki,10.7,nM,
CHEMBL516814,Ki,330.0,nM,
CHEMBL510679,Ki,0.45,nM,
