molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL196015,IC50,,nM,
CHEMBL194096,IC50,,nM,
CHEMBL371050,IC50,,nM,
CHEMBL371074,IC50,200000.0,nM,
CHEMBL196782,IC50,200000.0,nM,
CHEMBL425022,IC50,200000.0,nM,
CHEMBL383820,IC50,200000.0,nM,
CHEMBL197151,IC50,200000.0,nM,
CHEMBL372623,IC50,200000.0,nM,
CHEMBL341324,IC50,200000.0,nM,
CHEMBL383146,IC50,200000.0,nM,
CHEMBL200513,IC50,183.0,nM,
CHEMBL372768,IC50,228.0,nM,
CHEMBL200351,IC50,4000.0,nM,
CHEMBL200876,IC50,4000.0,nM,
CHEMBL206908,IC50,30000.0,nM,
CHEMBL425772,IC50,60.0,nM,
CHEMBL207413,IC50,201.0,nM,
CHEMBL380677,IC50,2350.0,nM,
CHEMBL382614,IC50,280.0,nM,
CHEMBL211039,IC50,3950.0,nM,
CHEMBL382614,IC50,48000.0,nM,
CHEMBL425772,IC50,6040.0,nM,
CHEMBL207413,IC50,6430.0,nM,
CHEMBL218246,IC50,30000.0,nM,
CHEMBL384426,IC50,30000.0,nM,
CHEMBL219403,IC50,30000.0,nM,
CHEMBL216783,IC50,30000.0,nM,
CHEMBL375743,IC50,30000.0,nM,
CHEMBL384692,IC50,,,
CHEMBL374409,IC50,100000.0,nM,
CHEMBL219606,IC50,100000.0,nM,
CHEMBL376272,IC50,100000.0,nM,
CHEMBL219448,IC50,100000.0,nM,
CHEMBL219295,IC50,100000.0,nM,
CHEMBL387010,IC50,100000.0,nM,
CHEMBL219403,IC50,100000.0,nM,
CHEMBL218247,IC50,90000.0,nM,
CHEMBL386947,IC50,,,
CHEMBL387424,IC50,,,
CHEMBL386315,IC50,16000.0,nM,
CHEMBL3085038,IC50,70000.0,nM,
CHEMBL219575,IC50,100000.0,nM,
CHEMBL424931,IC50,100000.0,nM,
CHEMBL219081,IC50,100000.0,nM,
CHEMBL375979,IC50,100000.0,nM,
CHEMBL219349,IC50,100000.0,nM,
CHEMBL219348,IC50,100000.0,nM,
CHEMBL216977,IC50,100000.0,nM,
CHEMBL216976,IC50,100000.0,nM,
CHEMBL385176,IC50,100000.0,nM,
CHEMBL219136,IC50,55000.0,nM,
CHEMBL219028,IC50,100000.0,nM,
CHEMBL220414,IC50,52000.0,nM,
CHEMBL436335,IC50,35000.0,nM,
