molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2114122,IC50,20.0,nM,
CHEMBL406736,IC50,3000.0,nM,
CHEMBL307387,IC50,2.0,nM,
CHEMBL74336,IC50,6.0,nM,
CHEMBL76284,IC50,40.0,nM,
CHEMBL2369773,IC50,1000.0,nM,
CHEMBL73602,IC50,95.0,nM,
CHEMBL27225,IC50,18.0,nM,
CHEMBL27951,IC50,190.0,nM,
CHEMBL279444,IC50,100.0,nM,
CHEMBL281862,IC50,1600.0,nM,
CHEMBL27103,IC50,200.0,nM,
CHEMBL27069,IC50,20000.0,nM,
CHEMBL25752,IC50,20000.0,nM,
CHEMBL27214,IC50,50.0,nM,
CHEMBL26986,IC50,1600.0,nM,
CHEMBL25589,IC50,900.0,nM,
CHEMBL28156,IC50,20000.0,nM,
CHEMBL26634,IC50,1500.0,nM,
CHEMBL287549,IC50,600.0,nM,
CHEMBL28320,IC50,29.0,nM,
CHEMBL280759,IC50,20000.0,nM,
CHEMBL432281,IC50,7.0,nM,
CHEMBL26866,IC50,160.0,nM,
CHEMBL26702,IC50,150.0,nM,
CHEMBL283263,IC50,100.0,nM,
CHEMBL368042,IC50,140.0,nM,
CHEMBL368042,IC50,68000.0,nM,
CHEMBL368042,IC50,5000.0,nM,
CHEMBL361383,IC50,330.0,nM,
CHEMBL361383,IC50,17000.0,nM,
CHEMBL361383,IC50,3000.0,nM,
CHEMBL181235,IC50,27.0,nM,
CHEMBL181235,IC50,16000.0,nM,
CHEMBL181235,IC50,2000.0,nM,
CHEMBL181025,IC50,14.0,nM,
CHEMBL181025,IC50,4700.0,nM,
CHEMBL181025,IC50,700.0,nM,
CHEMBL181131,IC50,7.0,nM,
CHEMBL181131,IC50,4900.0,nM,
CHEMBL181131,IC50,1200.0,nM,
CHEMBL178839,IC50,37.0,nM,
CHEMBL178839,IC50,20000.0,nM,
CHEMBL178839,IC50,2000.0,nM,
CHEMBL180032,IC50,190.0,nM,
CHEMBL180032,IC50,21000.0,nM,
CHEMBL180032,IC50,21000.0,nM,
CHEMBL362470,IC50,120.0,nM,
CHEMBL362470,IC50,56000.0,nM,
CHEMBL362470,IC50,37000.0,nM,
CHEMBL360654,IC50,18.0,nM,
CHEMBL360654,IC50,38000.0,nM,
CHEMBL360654,IC50,6000.0,nM,
CHEMBL362804,IC50,20.0,nM,
CHEMBL362804,IC50,31000.0,nM,
CHEMBL362804,IC50,6000.0,nM,
