molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL223360,Kd,10000.0,nM,
CHEMBL572881,Kd,10000.0,nM,
CHEMBL574738,Kd,10000.0,nM,
CHEMBL215152,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL296468,Kd,10000.0,nM,
CHEMBL522892,Kd,10000.0,nM,
CHEMBL558752,Kd,10000.0,nM,
CHEMBL31965,Kd,1700.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL483321,Kd,10000.0,nM,
CHEMBL1421,Kd,620.0,nM,
CHEMBL607707,Kd,10000.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL428690,Kd,1900.0,nM,
CHEMBL939,Kd,10000.0,nM,
CHEMBL261849,Kd,10000.0,nM,
CHEMBL477772,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL191003,Kd,5900.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL91829,Kd,10000.0,nM,
CHEMBL124660,Kd,2500.0,nM,
CHEMBL259084,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL14762,Kd,10000.0,nM,
CHEMBL278041,Kd,10000.0,nM,
CHEMBL10,Kd,10000.0,nM,
CHEMBL440084,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL388978,Kd,470.0,nM,
CHEMBL1721885,Kd,10000.0,nM,
CHEMBL535,Kd,10000.0,nM,
CHEMBL572878,Kd,1900.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL24828,Kd,150.0,nM,
CHEMBL603469,Kd,75.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL124660,Kd,2500.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL535,Kd,10000.0,nM,
CHEMBL1240703,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL491473,Kd,3400.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL450786,Kd,10000.0,nM,
CHEMBL1614701,Kd,10000.0,nM,
CHEMBL601719,Kd,440.0,nM,
CHEMBL1789941,Kd,10000.0,nM,
CHEMBL535,Kd,10000.0,nM,
CHEMBL513909,Kd,10000.0,nM,
CHEMBL1421,Kd,620.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL509032,Kd,29.0,nM,
CHEMBL502835,Kd,600.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL1908395,Kd,390.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL230011,Kd,10000.0,nM,
CHEMBL1173655,Kd,10000.0,nM,
CHEMBL1908396,Kd,10000.0,nM,
CHEMBL1230020,Kd,10000.0,nM,
CHEMBL1287853,Kd,150.0,nM,
CHEMBL1230609,Kd,10000.0,nM,
CHEMBL1908397,Kd,140.0,nM,
CHEMBL1241674,Kd,4.0,nM,
CHEMBL24828,Kd,150.0,nM,
CHEMBL379218,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL428690,Kd,1900.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL572878,Kd,1900.0,nM,
CHEMBL1908391,Kd,10000.0,nM,
CHEMBL249697,Kd,10000.0,nM,
CHEMBL525191,Kd,10000.0,nM,
CHEMBL300138,Kd,10000.0,nM,
CHEMBL475251,Kd,4800.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL223360,Kd,10000.0,nM,
CHEMBL296468,Kd,10000.0,nM,
CHEMBL521851,Kd,10000.0,nM,
CHEMBL91829,Kd,10000.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL377300,Kd,10000.0,nM,
