molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL412661,Ki,2000.0,nM,
CHEMBL62531,Ki,2000.0,nM,
CHEMBL418468,Ki,610.0,nM,
CHEMBL62704,Ki,2000.0,nM,
CHEMBL66087,Ki,14.0,nM,
CHEMBL62738,Ki,2000.0,nM,
CHEMBL64955,Ki,1000.0,nM,
CHEMBL64290,Ki,2000.0,nM,
CHEMBL62863,Ki,2000.0,nM,
CHEMBL62892,Ki,300.0,nM,
CHEMBL305151,Ki,29.0,nM,
CHEMBL305151,Ki,69.0,nM,
CHEMBL293907,Ki,20.0,nM,
CHEMBL62123,Ki,33.0,nM,
CHEMBL418135,Ki,17.0,nM,
CHEMBL62432,Ki,2000.0,nM,
CHEMBL64475,Ki,144.0,nM,
CHEMBL62444,Ki,254.0,nM,
CHEMBL63923,Ki,2000.0,nM,
CHEMBL65705,Ki,2000.0,nM,
CHEMBL62412,Ki,110.0,nM,
CHEMBL64646,Ki,317.0,nM,
CHEMBL2372272,Ki,4400000.0,nM,
CHEMBL57873,EC50,5200.0,nM,
CHEMBL24077,EC50,71.0,nM,
CHEMBL146629,EC50,10000.0,nM,
CHEMBL3142312,Ki,0.88,nM,
CHEMBL3142329,Ki,1.9,nM,
CHEMBL3142318,Ki,1.7,nM,
CHEMBL3142332,Ki,1.7,nM,
CHEMBL2369777,Ki,2.6,nM,
CHEMBL2369525,Ki,3.9,nM,
CHEMBL3142313,Ki,7.8,nM,
CHEMBL3142331,Ki,2.5,nM,
CHEMBL2369778,Ki,4.2,nM,
