molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL467987,IC50,3000.0,nM,
CHEMBL387152,IC50,1100.0,nM,
CHEMBL1162355,IC50,700.0,nM,
CHEMBL401844,IC50,11000.0,nM,
CHEMBL4876469,IC50,1500.0,nM,
CHEMBL4849033,IC50,141.0,nM,
CHEMBL4874288,IC50,392.0,nM,
CHEMBL4864843,IC50,342.0,nM,
CHEMBL4867202,IC50,351.0,nM,
CHEMBL4857305,IC50,132.0,nM,
CHEMBL4874934,IC50,989.0,nM,
CHEMBL4866035,IC50,576.0,nM,
CHEMBL4862670,IC50,1000.0,nM,
CHEMBL4847756,IC50,1000.0,nM,
CHEMBL4848035,IC50,74.0,nM,
CHEMBL4854762,IC50,195.0,nM,
CHEMBL4868801,IC50,107.0,nM,
CHEMBL4864668,IC50,126.0,nM,
CHEMBL4866319,IC50,325.0,nM,
CHEMBL4851867,IC50,10000.0,nM,
CHEMBL4874074,IC50,10000.0,nM,
CHEMBL4878379,IC50,28.0,nM,
CHEMBL4878049,IC50,700.0,nM,
CHEMBL4868259,IC50,10000.0,nM,
CHEMBL4870637,IC50,1640.0,nM,
CHEMBL4854260,IC50,10000.0,nM,
CHEMBL4849033,IC50,196.0,nM,
CHEMBL4874288,IC50,225.0,nM,
CHEMBL4848035,IC50,102.0,nM,
CHEMBL4854762,IC50,92.0,nM,
CHEMBL4854762,IC50,160.0,nM,
CHEMBL5218555,IC50,829.0,nM,
CHEMBL4874934,IC50,1024.0,nM,
CHEMBL4854762,IC50,159.0,nM,
CHEMBL5221008,IC50,64.0,nM,
CHEMBL5220308,IC50,469.0,nM,
CHEMBL5219193,IC50,112.0,nM,
CHEMBL5219011,IC50,716.0,nM,
CHEMBL5219159,IC50,389.0,nM,
CHEMBL5220138,IC50,2577.0,nM,
CHEMBL5220075,IC50,67.0,nM,
CHEMBL5219530,IC50,21.0,nM,
CHEMBL5218712,IC50,1245.0,nM,
CHEMBL4867202,IC50,351.0,nM,
CHEMBL5219933,IC50,436.0,nM,
CHEMBL5219751,IC50,1876.0,nM,
CHEMBL5221093,IC50,87.1,nM,
CHEMBL5220723,IC50,12.3,nM,
CHEMBL5220895,IC50,6.7,nM,
CHEMBL5220347,IC50,7.8,nM,
CHEMBL5219922,IC50,16.9,nM,
CHEMBL5218698,IC50,3.9,nM,
CHEMBL5220632,IC50,24.2,nM,
CHEMBL5218878,IC50,2.1,nM,
CHEMBL5218615,IC50,2.4,nM,
CHEMBL5218702,IC50,4.0,nM,
CHEMBL5218552,IC50,2.2,nM,
CHEMBL5220685,IC50,1.0,nM,
CHEMBL5219579,IC50,3.3,nM,
CHEMBL5219443,IC50,5.5,nM,
CHEMBL5220647,IC50,4.6,nM,
CHEMBL5219830,IC50,3.33,nM,
CHEMBL5218698,Kd,3.3,nM,
CHEMBL5220632,Kd,4.7,nM,
CHEMBL5218878,Kd,5.5,nM,
CHEMBL5218615,Kd,2.1,nM,
CHEMBL5218702,Kd,3.6,nM,
CHEMBL5218552,Kd,2.5,nM,
CHEMBL5220685,Kd,1.7,nM,
CHEMBL5219579,Kd,1.1,nM,
CHEMBL5219443,Kd,3.7,nM,
CHEMBL5220647,Kd,2.3,nM,
CHEMBL5219830,Kd,1.4,nM,
CHEMBL4854762,Kd,175.6,nM,
