molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL4784488,EC50,520.0,nM,
CHEMBL4740707,EC50,210.0,nM,
CHEMBL4786932,EC50,770.0,nM,
CHEMBL4761430,EC50,5960.0,nM,
CHEMBL4789237,EC50,670.0,nM,
CHEMBL4760850,EC50,1300.0,nM,
CHEMBL4759872,EC50,39290.0,nM,
CHEMBL4764988,EC50,430.0,nM,
CHEMBL4742351,EC50,3530.0,nM,
CHEMBL4779970,EC50,530.0,nM,
CHEMBL4744648,EC50,310.0,nM,
CHEMBL4798759,EC50,5050.0,nM,
CHEMBL4787822,EC50,24810.0,nM,
CHEMBL4760156,EC50,1600.0,nM,
CHEMBL4751807,EC50,4289.0,nM,
CHEMBL4745662,EC50,3078.0,nM,
CHEMBL4747654,EC50,7342.0,nM,
CHEMBL4761233,EC50,3367.0,nM,
CHEMBL4795137,EC50,3440.0,nM,
CHEMBL4754971,EC50,1288.0,nM,
CHEMBL4761309,EC50,300.0,nM,
CHEMBL4751732,EC50,90.0,nM,
CHEMBL4777571,EC50,236.0,nM,
CHEMBL4744718,EC50,692.0,nM,
CHEMBL4760543,EC50,1081.0,nM,
CHEMBL4781262,EC50,11600.0,nM,
CHEMBL4762531,EC50,301.0,nM,
CHEMBL4758446,EC50,345.0,nM,
CHEMBL4800693,EC50,2060.0,nM,
CHEMBL4799136,EC50,3120.0,nM,
CHEMBL4794886,EC50,8100.0,nM,
CHEMBL4754188,EC50,1200.0,nM,
CHEMBL4745564,EC50,32290.0,nM,
CHEMBL4750740,EC50,170.0,nM,
CHEMBL4763027,EC50,6810.0,nM,
CHEMBL4751176,EC50,1640.0,nM,
CHEMBL4745593,EC50,750.0,nM,
CHEMBL4800461,EC50,17110.0,nM,
CHEMBL4743444,EC50,10780.0,nM,
CHEMBL4763908,EC50,960.0,nM,
CHEMBL4782169,EC50,14560.0,nM,
