molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL4455809,IC50,,,
CHEMBL2098388,IC50,,,
CHEMBL4562061,IC50,,,
CHEMBL4442741,IC50,,,
CHEMBL1574132,IC50,11000.0,nM,
CHEMBL4459317,IC50,,,
CHEMBL4541956,IC50,11000.0,nM,
CHEMBL4452051,IC50,5600.0,nM,
CHEMBL4466295,IC50,,,
CHEMBL4467466,IC50,7900.0,nM,
CHEMBL4438010,IC50,19000.0,nM,
CHEMBL4547217,IC50,11000.0,nM,
CHEMBL4464808,IC50,9400.0,nM,
CHEMBL2093209,IC50,5300.0,nM,
CHEMBL4437081,IC50,7900.0,nM,
CHEMBL2098245,IC50,118000.0,nM,
CHEMBL591858,IC50,22000.0,nM,
CHEMBL4464131,IC50,4200.0,nM,
CHEMBL4537053,IC50,3600.0,nM,
CHEMBL4467742,IC50,2000.0,nM,
CHEMBL4466942,IC50,,,
CHEMBL4454003,IC50,,,
CHEMBL4453190,IC50,32000.0,nM,
CHEMBL4519742,IC50,,,
CHEMBL4449710,IC50,23000.0,nM,
CHEMBL4458696,IC50,,,
CHEMBL4574893,IC50,,,
CHEMBL4518661,IC50,14000.0,nM,
CHEMBL4165666,IC50,,,
CHEMBL4471605,IC50,,,
CHEMBL4468517,IC50,,,
CHEMBL4446465,IC50,,,
CHEMBL4547708,IC50,,,
CHEMBL4576094,IC50,,,
CHEMBL1630682,IC50,29000.0,nM,
CHEMBL4448799,IC50,,,
CHEMBL4466567,IC50,,,
CHEMBL1378785,IC50,,,
CHEMBL4436491,IC50,,,
CHEMBL3183661,IC50,,,
CHEMBL4438944,IC50,,,
CHEMBL4528857,IC50,,,
CHEMBL4560371,IC50,,,
CHEMBL4442687,IC50,,,
CHEMBL2098190,IC50,,,
CHEMBL4549401,IC50,7500.0,nM,
CHEMBL4575792,IC50,7000.0,nM,
CHEMBL4471580,IC50,,,
CHEMBL4566535,IC50,25000.0,nM,
CHEMBL4463572,IC50,33000.0,nM,
CHEMBL4519442,IC50,44000.0,nM,
CHEMBL4540149,IC50,,,
CHEMBL4455821,IC50,,,
CHEMBL4445387,IC50,,,
CHEMBL4438331,IC50,,,
CHEMBL4547063,IC50,,,
CHEMBL4516640,IC50,,,
CHEMBL4515913,IC50,,,
CHEMBL4456548,IC50,1400.0,nM,
CHEMBL4585588,IC50,2400.0,nM,
CHEMBL4582554,IC50,13000.0,nM,
CHEMBL4438060,IC50,10000.0,nM,
CHEMBL4457916,IC50,4100.0,nM,
CHEMBL4466580,IC50,9000.0,nM,
CHEMBL4574197,IC50,29000.0,nM,
CHEMBL4531260,IC50,15000.0,nM,
CHEMBL4543838,IC50,7000.0,nM,
CHEMBL4449979,IC50,9000.0,nM,
CHEMBL52606,EC50,93.7,nM,
CHEMBL4644318,EC50,105.2,nM,
CHEMBL5187824,IC50,1900.0,nM,
CHEMBL5190265,IC50,35900.0,nM,
CHEMBL5182341,IC50,10600.0,nM,
CHEMBL5193391,IC50,15700.0,nM,
CHEMBL5180340,IC50,2800.0,nM,
CHEMBL5186455,IC50,1600.0,nM,
CHEMBL5178772,IC50,780.0,nM,
CHEMBL5205425,IC50,1000.0,nM,
CHEMBL5203054,IC50,2500.0,nM,
CHEMBL5199983,IC50,2100.0,nM,
CHEMBL5203795,IC50,15700.0,nM,
CHEMBL5188949,IC50,2700.0,nM,
CHEMBL5178255,IC50,60000.0,nM,
CHEMBL5197376,IC50,1300.0,nM,
CHEMBL5186517,IC50,60000.0,nM,
CHEMBL5202029,IC50,3500.0,nM,
CHEMBL5169392,IC50,6600.0,nM,
CHEMBL5174303,IC50,2600.0,nM,
CHEMBL5186344,IC50,1900.0,nM,
CHEMBL5190252,IC50,380.0,nM,
CHEMBL2098167,IC50,1200.0,nM,
CHEMBL5170189,IC50,570.0,nM,
CHEMBL5195432,IC50,700.0,nM,
CHEMBL5176001,IC50,9600.0,nM,
CHEMBL5171368,IC50,60000.0,nM,
CHEMBL5197311,IC50,1300.0,nM,
CHEMBL5176376,IC50,4400.0,nM,
CHEMBL5192342,IC50,30000.0,nM,
CHEMBL5178615,IC50,60000.0,nM,
CHEMBL5187427,IC50,1000.0,nM,
CHEMBL5193541,IC50,3400.0,nM,
CHEMBL5186697,IC50,60000.0,nM,
CHEMBL5201467,IC50,60000.0,nM,
CHEMBL5172009,IC50,3400.0,nM,
CHEMBL5182403,IC50,710.0,nM,
CHEMBL5178349,IC50,1700.0,nM,
