molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL71735,EC50,,nM,
CHEMBL68922,EC50,210.0,nM,
CHEMBL24077,EC50,80.0,nM,
CHEMBL303447,EC50,,nM,
CHEMBL46187,IC50,7.2,nM,
CHEMBL2115191,Kd,141.25,nM,
CHEMBL413666,Kd,251.19,nM,
CHEMBL328942,Kd,707.95,nM,
CHEMBL429362,EC50,8.0,nM,
CHEMBL3037804,Kd,630.96,nM,
CHEMBL328942,EC50,,nM,
CHEMBL328942,Kd,630.96,nM,
CHEMBL2114177,EC50,,nM,
CHEMBL2114177,Kd,630.96,nM,
CHEMBL2114176,EC50,,nM,
CHEMBL2114176,Kd,630.96,nM,
CHEMBL2115192,EC50,,nM,
CHEMBL2115192,Kd,1412.54,nM,
CHEMBL328942,Kd,794.33,nM,
CHEMBL2369127,EC50,,nM,
CHEMBL2369127,Kd,316.23,nM,
CHEMBL107243,IC50,98000.0,nM,
CHEMBL322646,IC50,10800.0,nM,
CHEMBL68614,IC50,7600.0,nM,
CHEMBL320979,IC50,200000.0,nM,
CHEMBL104185,IC50,200000.0,nM,
CHEMBL323341,IC50,200000.0,nM,
CHEMBL322057,IC50,72000.0,nM,
CHEMBL105636,IC50,102000.0,nM,
CHEMBL320979,IC50,110000.0,nM,
CHEMBL106689,IC50,200000.0,nM,
CHEMBL420654,IC50,13600.0,nM,
CHEMBL326449,IC50,200000.0,nM,
CHEMBL68723,IC50,35400.0,nM,
CHEMBL108067,IC50,79000.0,nM,
CHEMBL105178,IC50,94000.0,nM,
CHEMBL105636,IC50,96000.0,nM,
CHEMBL106750,IC50,78000.0,nM,
CHEMBL322646,IC50,109000.0,nM,
CHEMBL302708,IC50,7900.0,nM,
CHEMBL420654,IC50,116000.0,nM,
CHEMBL318742,IC50,200000.0,nM,
CHEMBL104969,IC50,140500.0,nM,
CHEMBL106792,IC50,200000.0,nM,
CHEMBL317455,IC50,200000.0,nM,
CHEMBL105033,IC50,200000.0,nM,
CHEMBL320109,IC50,200000.0,nM,
CHEMBL322025,IC50,200000.0,nM,
CHEMBL101687,IC50,200000.0,nM,
CHEMBL322237,IC50,200000.0,nM,
CHEMBL105760,IC50,200000.0,nM,
CHEMBL104919,IC50,200000.0,nM,
CHEMBL302708,IC50,7900.0,nM,
CHEMBL418993,IC50,200000.0,nM,
CHEMBL107240,IC50,200000.0,nM,
CHEMBL103026,IC50,200000.0,nM,
CHEMBL68723,IC50,35400.0,nM,
CHEMBL102338,IC50,200000.0,nM,
CHEMBL323360,IC50,200000.0,nM,
CHEMBL104142,IC50,200000.0,nM,
CHEMBL104972,IC50,200000.0,nM,
CHEMBL322655,IC50,200000.0,nM,
CHEMBL105492,IC50,15300.0,nM,
CHEMBL319262,IC50,200000.0,nM,
CHEMBL105178,IC50,94000.0,nM,
CHEMBL105062,IC50,200000.0,nM,
CHEMBL105001,IC50,200000.0,nM,
CHEMBL105211,IC50,200000.0,nM,
CHEMBL68614,IC50,7600.0,nM,
CHEMBL105246,IC50,200000.0,nM,
CHEMBL105583,IC50,200000.0,nM,
CHEMBL420363,IC50,25100.0,nM,
CHEMBL447839,IC50,9400.0,nM,
CHEMBL302785,IC50,4600.0,nM,
CHEMBL302708,IC50,7900.0,nM,
CHEMBL68723,IC50,35400.0,nM,
CHEMBL69185,IC50,400.0,nM,
CHEMBL69184,IC50,600.0,nM,
CHEMBL69750,IC50,4900.0,nM,
CHEMBL69754,IC50,200000.0,nM,
CHEMBL308914,IC50,13600.0,nM,
CHEMBL305213,IC50,4300.0,nM,
CHEMBL304759,IC50,16300.0,nM,
CHEMBL432908,IC50,200.0,nM,
CHEMBL304093,IC50,73200.0,nM,
CHEMBL303911,IC50,200000.0,nM,
CHEMBL418883,IC50,100000.0,nM,
CHEMBL444839,IC50,55000.0,nM,
CHEMBL71441,IC50,2600.0,nM,
CHEMBL67869,IC50,28800.0,nM,
CHEMBL302508,IC50,78000.0,nM,
CHEMBL306910,IC50,10800.0,nM,
CHEMBL302927,IC50,100000.0,nM,
CHEMBL68928,IC50,200000.0,nM,
CHEMBL308678,IC50,200000.0,nM,
CHEMBL69809,IC50,8200.0,nM,
CHEMBL68569,IC50,200000.0,nM,
CHEMBL68741,IC50,70000.0,nM,
CHEMBL68924,IC50,188000.0,nM,
CHEMBL68614,IC50,7600.0,nM,
