molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1034,IC50,2600.0,nM,
CHEMBL154,IC50,480.0,nM,
CHEMBL521,IC50,33000.0,nM,
CHEMBL25,IC50,,,
CHEMBL622,IC50,,,
CHEMBL419845,IC50,,,
CHEMBL196755,IC50,11000.0,nM,
CHEMBL196812,IC50,70000.0,nM,
CHEMBL83270,IC50,44000.0,nM,
CHEMBL198745,IC50,39000.0,nM,
CHEMBL198085,IC50,180000.0,nM,
CHEMBL663,IC50,680.0,nM,
CHEMBL521703,IC50,3.2,nM,
CHEMBL490979,IC50,13.0,nM,
CHEMBL490978,IC50,9.5,nM,
CHEMBL521703,Ki,6.9,nM,
CHEMBL515655,IC50,20.0,nM,
CHEMBL478280,IC50,42.0,nM,
CHEMBL478490,IC50,16.0,nM,
CHEMBL515032,IC50,28.0,nM,
CHEMBL478491,IC50,19.0,nM,
CHEMBL478492,IC50,107.0,nM,
CHEMBL478282,IC50,72.0,nM,
CHEMBL477676,IC50,49.0,nM,
CHEMBL477880,IC50,66.0,nM,
CHEMBL514995,IC50,10.0,nM,
CHEMBL514854,IC50,6.1,nM,
CHEMBL477677,IC50,2.9,nM,
CHEMBL447448,Ki,23000.0,nM,
CHEMBL331146,Ki,21000.0,nM,
CHEMBL387536,Ki,4200.0,nM,
CHEMBL449129,Ki,94000.0,nM,
CHEMBL562352,IC50,36700.0,nM,
CHEMBL540746,IC50,17800.0,nM,
CHEMBL538612,IC50,22500.0,nM,
CHEMBL554283,IC50,76600.0,nM,
CHEMBL562352,Ki,33400.0,nM,
CHEMBL540746,Ki,16200.0,nM,
CHEMBL538612,Ki,20500.0,nM,
CHEMBL554283,Ki,69600.0,nM,
CHEMBL23588,IC50,51.0,nM,
CHEMBL23832,IC50,1500.0,nM,
CHEMBL1682198,IC50,940.0,nM,
CHEMBL1682199,IC50,2800.0,nM,
CHEMBL1682200,IC50,36.0,nM,
CHEMBL1682201,IC50,54.0,nM,
CHEMBL1682202,IC50,62.0,nM,
CHEMBL1682203,IC50,130.0,nM,
CHEMBL1682204,IC50,120.0,nM,
CHEMBL1682205,IC50,280.0,nM,
CHEMBL1682206,IC50,490.0,nM,
CHEMBL1682207,IC50,700.0,nM,
CHEMBL412099,IC50,50000.0,nM,
CHEMBL1683214,IC50,17600.0,nM,
CHEMBL1683215,IC50,8600.0,nM,
CHEMBL1683216,IC50,10600.0,nM,
CHEMBL1683217,IC50,10700.0,nM,
CHEMBL2023820,IC50,80.0,nM,
CHEMBL511708,IC50,30000.0,nM,
CHEMBL511708,IC50,110.0,nM,
CHEMBL456309,IC50,1000.0,nM,
CHEMBL464997,IC50,15000.0,nM,
CHEMBL319244,IC50,1700.0,nM,
CHEMBL6,IC50,4100.0,nM,
CHEMBL511708,Ki,56.0,nM,
CHEMBL511708,Ki,56.0,nM,
CHEMBL456309,Ki,680.0,nM,
CHEMBL456309,Ki,680.0,nM,
CHEMBL521703,Ki,6.9,nM,
CHEMBL121626,Ki,8.0,nM,
CHEMBL511708,Ki,56.0,nM,
CHEMBL511708,Ki,850.0,nM,
CHEMBL511708,Ki,550.0,nM,
CHEMBL511708,Ki,105.0,nM,
CHEMBL511708,Ki,300.0,nM,
CHEMBL511708,Ki,148.0,nM,
CHEMBL511708,Ki,46.0,nM,
CHEMBL511708,Ki,1200.0,nM,
CHEMBL23588,IC50,50.0,nM,
CHEMBL23832,IC50,1520.0,nM,
CHEMBL2043299,IC50,2220.0,nM,
CHEMBL2043300,IC50,40.0,nM,
CHEMBL2043301,IC50,140.0,nM,
CHEMBL22815,IC50,150.0,nM,
CHEMBL1328677,IC50,570.0,nM,
CHEMBL23479,IC50,240.0,nM,
CHEMBL348522,IC50,980.0,nM,
CHEMBL1574420,IC50,160.0,nM,
CHEMBL2043302,IC50,130.0,nM,
CHEMBL2043303,IC50,70.0,nM,
CHEMBL1596993,IC50,90.0,nM,
CHEMBL2043304,IC50,360.0,nM,
CHEMBL2043305,IC50,40.0,nM,
CHEMBL2043306,IC50,2740.0,nM,
CHEMBL2043307,IC50,30.0,nM,
CHEMBL2043308,IC50,890.0,nM,
CHEMBL2043309,IC50,1090.0,nM,
CHEMBL2043310,IC50,60.0,nM,
CHEMBL2043311,IC50,1660.0,nM,
CHEMBL2043312,IC50,1730.0,nM,
CHEMBL2043313,IC50,80.0,nM,
CHEMBL2043314,IC50,160.0,nM,
CHEMBL2043315,IC50,570.0,nM,
CHEMBL2043316,IC50,640.0,nM,
CHEMBL2043317,IC50,1450.0,nM,
CHEMBL2043318,IC50,500.0,nM,
CHEMBL2043319,IC50,500.0,nM,
CHEMBL2043320,IC50,220.0,nM,
CHEMBL2043321,IC50,150.0,nM,
CHEMBL2043322,IC50,250.0,nM,
CHEMBL2043323,IC50,800.0,nM,
CHEMBL2040884,IC50,80.0,nM,
CHEMBL2040851,IC50,690.0,nM,
CHEMBL2040885,IC50,2220.0,nM,
CHEMBL2040886,IC50,1730.0,nM,
CHEMBL2040887,IC50,730.0,nM,
CHEMBL2040888,IC50,2530.0,nM,
CHEMBL2040889,IC50,1110.0,nM,
CHEMBL2040890,IC50,4440.0,nM,
CHEMBL2040891,IC50,1350.0,nM,
