molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL461194,IC50,10000.0,nM,
CHEMBL3092294,IC50,400000.0,nM,
CHEMBL3092293,IC50,400000.0,nM,
CHEMBL3092296,IC50,400000.0,nM,
CHEMBL3092295,IC50,400000.0,nM,
CHEMBL1454,IC50,400000.0,nM,
CHEMBL3092294,IC50,400000.0,nM,
CHEMBL3092293,IC50,400000.0,nM,
CHEMBL3092296,IC50,400000.0,nM,
CHEMBL3092295,IC50,400000.0,nM,
CHEMBL1454,IC50,400000.0,nM,
CHEMBL1349252,IC50,100000.0,nM,
CHEMBL3115148,IC50,100000.0,nM,
CHEMBL3115147,IC50,100000.0,nM,
CHEMBL3115146,IC50,100000.0,nM,
CHEMBL3115145,IC50,100000.0,nM,
CHEMBL3115144,IC50,100000.0,nM,
CHEMBL3115143,IC50,100000.0,nM,
CHEMBL3115142,IC50,100000.0,nM,
CHEMBL3115141,IC50,100000.0,nM,
CHEMBL3115140,IC50,100000.0,nM,
CHEMBL3115139,IC50,100000.0,nM,
CHEMBL3115138,IC50,100000.0,nM,
CHEMBL3115137,IC50,100000.0,nM,
CHEMBL3115136,IC50,100000.0,nM,
CHEMBL3115135,IC50,100000.0,nM,
CHEMBL3115134,IC50,100000.0,nM,
CHEMBL3115133,IC50,100000.0,nM,
CHEMBL3115132,IC50,100000.0,nM,
CHEMBL3115131,IC50,100000.0,nM,
CHEMBL1470091,IC50,100000.0,nM,
CHEMBL1727453,IC50,100000.0,nM,
CHEMBL3115130,IC50,100000.0,nM,
CHEMBL1711225,IC50,100000.0,nM,
CHEMBL3115129,IC50,100000.0,nM,
CHEMBL3115128,IC50,100000.0,nM,
CHEMBL1347946,IC50,100000.0,nM,
CHEMBL1363800,IC50,100000.0,nM,
CHEMBL3115127,IC50,100000.0,nM,
CHEMBL3115126,IC50,100000.0,nM,
CHEMBL3115125,IC50,100000.0,nM,
CHEMBL3112615,IC50,100000.0,nM,
CHEMBL3115124,IC50,100000.0,nM,
CHEMBL3115123,IC50,100000.0,nM,
CHEMBL3115122,IC50,100000.0,nM,
CHEMBL3115121,IC50,100000.0,nM,
CHEMBL3115120,IC50,100000.0,nM,
CHEMBL3115119,IC50,100000.0,nM,
CHEMBL1322977,IC50,100000.0,nM,
CHEMBL3115118,IC50,100000.0,nM,
CHEMBL3115117,IC50,100000.0,nM,
CHEMBL3114960,IC50,100000.0,nM,
CHEMBL3114959,IC50,100000.0,nM,
CHEMBL3115160,IC50,100000.0,nM,
CHEMBL3115159,IC50,100000.0,nM,
CHEMBL3115158,IC50,100000.0,nM,
CHEMBL3115157,IC50,100000.0,nM,
CHEMBL3115156,IC50,100000.0,nM,
CHEMBL3115155,IC50,100000.0,nM,
CHEMBL3115154,IC50,100000.0,nM,
CHEMBL3115153,IC50,100000.0,nM,
CHEMBL3115152,IC50,100000.0,nM,
CHEMBL3115151,IC50,100000.0,nM,
CHEMBL3115150,IC50,100000.0,nM,
CHEMBL3115149,IC50,100000.0,nM,
CHEMBL299737,Ki,580000.0,nM,
CHEMBL1454,IC50,400000.0,nM,
CHEMBL3774470,IC50,400000.0,nM,
CHEMBL3774946,IC50,400000.0,nM,
CHEMBL3774723,IC50,400000.0,nM,
CHEMBL1454,IC50,400000.0,nM,
CHEMBL3774723,IC50,400000.0,nM,
CHEMBL3774946,IC50,400000.0,nM,
CHEMBL3774470,IC50,400000.0,nM,
CHEMBL4208605,IC50,80000.0,nM,
CHEMBL597055,IC50,2500.0,nM,
CHEMBL5173145,IC50,32.0,nM,
