molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL297654,Kd,37.15,nM,
CHEMBL300191,Kd,27.54,nM,
CHEMBL46004,Kd,1.585,nM,
CHEMBL295817,Kd,11.48,nM,
CHEMBL301132,Kd,4.365,nM,
CHEMBL45911,Kd,2.344,nM,
CHEMBL301756,Kd,6.31,nM,
CHEMBL298002,Kd,1.0,nM,
CHEMBL45927,Kd,0.5129,nM,
CHEMBL443521,Kd,45.71,nM,
CHEMBL49579,Kd,100.0,nM,
CHEMBL47825,Kd,2.512,nM,
CHEMBL48870,Kd,1000.0,nM,
CHEMBL50773,Kd,1000.0,nM,
CHEMBL296130,Kd,346.74,nM,
CHEMBL45998,Kd,1.38,nM,
CHEMBL298900,Kd,13.49,nM,
CHEMBL122443,IC50,2.9,nM,
CHEMBL125273,IC50,100.0,nM,
CHEMBL331042,IC50,14.0,nM,
CHEMBL124925,IC50,5.3,nM,
CHEMBL275875,Kd,9.772,nM,
CHEMBL125766,IC50,44.0,nM,
CHEMBL122966,IC50,21.0,nM,
CHEMBL341131,IC50,10.0,nM,
CHEMBL126111,IC50,13.0,nM,
CHEMBL434242,IC50,9.2,nM,
CHEMBL125937,IC50,28.0,nM,
CHEMBL331859,IC50,35.0,nM,
CHEMBL332766,IC50,74.0,nM,
CHEMBL121854,IC50,30.0,nM,
CHEMBL123671,IC50,2.6,nM,
CHEMBL123670,IC50,500.0,nM,
CHEMBL121874,IC50,100.0,nM,
CHEMBL338514,IC50,460.0,nM,
CHEMBL122638,IC50,350.0,nM,
CHEMBL125542,IC50,40.0,nM,
CHEMBL126037,IC50,18.0,nM,
CHEMBL333322,IC50,120.0,nM,
CHEMBL333722,IC50,100.0,nM,
CHEMBL341070,IC50,32.0,nM,
CHEMBL333411,IC50,28.0,nM,
CHEMBL125958,IC50,28.0,nM,
CHEMBL122494,IC50,490.0,nM,
CHEMBL421074,IC50,40.0,nM,
CHEMBL124913,IC50,290.0,nM,
CHEMBL331511,IC50,370.0,nM,
CHEMBL125533,IC50,100.0,nM,
CHEMBL354435,IC50,7100.0,nM,
CHEMBL171395,IC50,3900.0,nM,
CHEMBL7632,IC50,2300.0,nM,
CHEMBL355691,IC50,7400.0,nM,
CHEMBL171875,IC50,51000.0,nM,
CHEMBL171317,IC50,18000.0,nM,
CHEMBL7641,IC50,96.0,nM,
CHEMBL172344,IC50,1800.0,nM,
CHEMBL354436,IC50,15000.0,nM,
CHEMBL172334,IC50,11000.0,nM,
CHEMBL171530,IC50,1600.0,nM,
CHEMBL367565,IC50,8500.0,nM,
CHEMBL352376,IC50,640.0,nM,
CHEMBL172056,IC50,5400.0,nM,
CHEMBL172577,IC50,4900.0,nM,
CHEMBL274447,IC50,480.0,nM,
CHEMBL422562,IC50,140000.0,nM,
CHEMBL171490,IC50,3700.0,nM,
CHEMBL424372,IC50,860.0,nM,
CHEMBL367566,IC50,12000.0,nM,
CHEMBL171681,IC50,9400.0,nM,
CHEMBL171456,IC50,1800.0,nM,
CHEMBL558388,IC50,5600.0,nM,
CHEMBL2369937,IC50,0.2,nM,
CHEMBL99991,IC50,2.0,nM,
CHEMBL296725,IC50,1.0,nM,
CHEMBL315104,IC50,0.3,nM,
CHEMBL191,IC50,8.0,nM,
CHEMBL285176,IC50,8.03,nM,
CHEMBL33226,IC50,6.21,nM,
CHEMBL34044,IC50,6.65,nM,
CHEMBL33811,IC50,3.48,nM,
CHEMBL99751,IC50,8.0,nM,
CHEMBL98907,IC50,0.5,nM,
CHEMBL33459,IC50,2.64,nM,
CHEMBL191,IC50,50.0,nM,
CHEMBL284536,IC50,31.0,nM,
CHEMBL317360,IC50,6.0,nM,
CHEMBL32649,IC50,3.83,nM,
CHEMBL287230,IC50,26.4,nM,
CHEMBL32648,IC50,7.58,nM,
CHEMBL7550,IC50,0.3,nM,
CHEMBL33403,IC50,24.9,nM,
CHEMBL418226,IC50,5.0,nM,
CHEMBL285560,IC50,14.0,nM,
CHEMBL76330,IC50,100.0,nM,
CHEMBL307844,IC50,3.8,nM,
CHEMBL309094,IC50,100.0,nM,
CHEMBL75518,IC50,100.0,nM,
CHEMBL431390,IC50,430.0,nM,
CHEMBL308961,IC50,150.0,nM,
CHEMBL191,IC50,89.0,nM,
CHEMBL308031,IC50,4.8,nM,
CHEMBL76166,IC50,2.6,nM,
CHEMBL70371,IC50,4.0,nM,
CHEMBL309089,IC50,2.35,nM,
CHEMBL72080,IC50,1500.0,nM,
CHEMBL306066,IC50,7.0,nM,
CHEMBL306852,IC50,73.0,nM,
CHEMBL73646,IC50,330.0,nM,
CHEMBL75840,IC50,100.0,nM,
CHEMBL75498,IC50,400.0,nM,
CHEMBL72453,IC50,57.0,nM,
CHEMBL72922,IC50,5.4,nM,
CHEMBL76169,IC50,4.5,nM,
CHEMBL308261,IC50,3.3,nM,
CHEMBL73463,IC50,2400.0,nM,
CHEMBL307284,IC50,5400.0,nM,
CHEMBL73358,IC50,2200.0,nM,
CHEMBL307455,IC50,82.0,nM,
CHEMBL275652,IC50,52.0,nM,
