molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL443325,IC50,23.0,nM,
CHEMBL417584,IC50,27.0,nM,
CHEMBL414533,IC50,0.82,nM,
CHEMBL3144487,IC50,116.0,nM,
CHEMBL56448,IC50,1.74,nM,
CHEMBL411657,IC50,25.0,nM,
CHEMBL408403,IC50,2.5,nM,
CHEMBL408885,IC50,28.0,nM,
CHEMBL385283,IC50,0.65,nM,
CHEMBL384352,IC50,0.47,nM,
CHEMBL408773,IC50,6.1,nM,
CHEMBL413925,IC50,12.0,nM,
CHEMBL408886,IC50,4.8,nM,
CHEMBL264450,IC50,80.0,nM,
CHEMBL384125,IC50,7.4,nM,
CHEMBL406290,IC50,9.1,nM,
CHEMBL440063,IC50,65.0,nM,
CHEMBL413034,IC50,86.0,nM,
CHEMBL938,IC50,1.32,nM,
CHEMBL74556,IC50,8.0,nM,
CHEMBL265790,IC50,7.0,nM,
CHEMBL311484,IC50,65.0,nM,
CHEMBL73876,IC50,6.2,nM,
CHEMBL302102,IC50,7.0,nM,
CHEMBL305647,IC50,4.4,nM,
CHEMBL424004,IC50,5.1,nM,
CHEMBL74442,IC50,9.2,nM,
CHEMBL17487,IC50,65.0,nM,
CHEMBL305956,IC50,12.0,nM,
CHEMBL338514,IC50,5870.0,nM,
CHEMBL306361,IC50,9.8,nM,
CHEMBL125542,IC50,789.0,nM,
CHEMBL170290,IC50,3.6,nM,
CHEMBL263191,IC50,3.5,nM,
CHEMBL415073,IC50,7.7,nM,
CHEMBL307430,IC50,6.5,nM,
CHEMBL194608,IC50,11.0,nM,
CHEMBL75401,IC50,12.5,nM,
CHEMBL339544,IC50,549.0,nM,
CHEMBL259843,IC50,3.3,nM,
CHEMBL306362,IC50,7.8,nM,
CHEMBL76821,IC50,9.3,nM,
CHEMBL263452,IC50,8.9,nM,
CHEMBL74144,IC50,37.0,nM,
CHEMBL157946,IC50,8.3,nM,
CHEMBL311386,IC50,11.0,nM,
CHEMBL311160,IC50,3.1,nM,
CHEMBL307290,IC50,32.0,nM,
CHEMBL74476,IC50,60.0,nM,
CHEMBL157510,IC50,0.58,nM,
CHEMBL350875,IC50,730.0,nM,
CHEMBL156165,IC50,35.0,nM,
CHEMBL158557,IC50,750.0,nM,
CHEMBL348363,IC50,5.8,nM,
CHEMBL156324,IC50,,nM,
CHEMBL155728,IC50,9.4,nM,
CHEMBL156129,IC50,4.8,nM,
CHEMBL155847,IC50,170.0,nM,
CHEMBL160930,IC50,370.0,nM,
CHEMBL290829,IC50,0.89,nM,
CHEMBL423236,IC50,150.0,nM,
CHEMBL157946,IC50,6.9,nM,
CHEMBL155987,IC50,59.0,nM,
CHEMBL154057,IC50,1.1,nM,
CHEMBL156587,IC50,40.0,nM,
CHEMBL155836,IC50,0.84,nM,
CHEMBL350220,IC50,1100.0,nM,
CHEMBL155836,IC50,2.4,nM,
CHEMBL156100,IC50,1.9,nM,
CHEMBL155938,IC50,70.0,nM,
CHEMBL128416,IC50,200.0,nM,
CHEMBL430997,IC50,1000.0,nM,
CHEMBL71953,IC50,200.0,nM,
CHEMBL308943,IC50,7000.0,nM,
CHEMBL309820,IC50,6000.0,nM,
CHEMBL273992,IC50,800.0,nM,
CHEMBL74113,IC50,400.0,nM,
CHEMBL309365,IC50,1000.0,nM,
CHEMBL73780,IC50,300.0,nM,
CHEMBL302959,IC50,200.0,nM,
CHEMBL309367,IC50,70.0,nM,
CHEMBL308361,IC50,90.0,nM,
CHEMBL303426,IC50,700.0,nM,
CHEMBL306961,IC50,3000.0,nM,
CHEMBL72721,IC50,700.0,nM,
CHEMBL70389,IC50,500.0,nM,
CHEMBL308703,IC50,60.0,nM,
CHEMBL72819,IC50,500.0,nM,
CHEMBL995,IC50,10000.0,nM,
CHEMBL306216,IC50,80.0,nM,
CHEMBL409170,IC50,600.0,nM,
CHEMBL307321,IC50,20.0,nM,
CHEMBL70638,IC50,1000.0,nM,
CHEMBL304620,IC50,90.0,nM,
CHEMBL306922,IC50,1000.0,nM,
CHEMBL302760,IC50,600.0,nM,
CHEMBL70796,IC50,400.0,nM,
CHEMBL307756,IC50,50.0,nM,
CHEMBL309165,IC50,80.0,nM,
CHEMBL72409,IC50,10000.0,nM,
CHEMBL70801,IC50,10000.0,nM,
CHEMBL306489,IC50,600.0,nM,
CHEMBL304137,IC50,90.0,nM,
CHEMBL70770,IC50,4000.0,nM,
CHEMBL71069,IC50,100.0,nM,
CHEMBL306638,IC50,1.9,nM,
CHEMBL71286,IC50,20.0,nM,
CHEMBL306923,IC50,3000.0,nM,
CHEMBL307008,IC50,3.0,nM,
CHEMBL307359,IC50,3.0,nM,
CHEMBL306473,IC50,300.0,nM,
CHEMBL309790,IC50,3.0,nM,
CHEMBL307866,IC50,10.0,nM,
CHEMBL307318,IC50,1.0,nM,
CHEMBL306340,IC50,9.0,nM,
CHEMBL302485,IC50,2000.0,nM,
CHEMBL304065,IC50,10.0,nM,
CHEMBL74573,IC50,0.7,nM,
CHEMBL70935,IC50,2.0,nM,
CHEMBL305238,IC50,3.0,nM,
CHEMBL415394,Ki,10000.0,nM,
CHEMBL311625,IC50,1.0,nM,
CHEMBL408403,Ki,0.23,nM,
CHEMBL309455,IC50,400.0,nM,
CHEMBL305239,IC50,200.0,nM,
CHEMBL311018,IC50,10.0,nM,
CHEMBL115021,IC50,1000.0,nM,
CHEMBL305369,IC50,300.0,nM,
CHEMBL72249,IC50,1000.0,nM,
CHEMBL305017,IC50,2.0,nM,
CHEMBL404996,Ki,0.62,nM,
CHEMBL306186,IC50,500.0,nM,
CHEMBL70868,IC50,5.0,nM,
CHEMBL302579,IC50,1.0,nM,
CHEMBL268815,Ki,2.1,nM,
CHEMBL73369,IC50,600.0,nM,
CHEMBL71125,IC50,0.69,nM,
CHEMBL74514,IC50,3.0,nM,
CHEMBL303427,IC50,4.0,nM,
CHEMBL419073,IC50,5.0,nM,
CHEMBL71220,IC50,0.9,nM,
CHEMBL70793,IC50,9.0,nM,
CHEMBL69839,IC50,20.0,nM,
CHEMBL407801,Ki,10000.0,nM,
CHEMBL430792,IC50,5.0,nM,
