molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1099169,Kd,2000.0,nM,
CHEMBL1099171,Ki,500000.0,nM,
CHEMBL1099170,Ki,80000000.0,nM,
CHEMBL1099169,Ki,4000.0,nM,
CHEMBL1099168,Ki,3000000.0,nM,
CHEMBL1099167,Ki,300000.0,nM,
CHEMBL291627,Ki,3600000.0,nM,
CHEMBL1812661,Kd,5.0,nM,
CHEMBL1812661,Kd,18.0,nM,
CHEMBL1812662,Kd,880.0,nM,
CHEMBL1812663,Kd,34000.0,nM,
CHEMBL1834160,Kd,60000.0,nM,
CHEMBL2326091,IC50,19000.0,nM,
CHEMBL2326090,IC50,,,
CHEMBL2326089,IC50,3000.0,nM,
CHEMBL2326088,IC50,8000.0,nM,
CHEMBL2326087,IC50,100.0,nM,
CHEMBL2326086,IC50,140.0,nM,
CHEMBL2326085,IC50,270.0,nM,
CHEMBL2326084,IC50,550.0,nM,
CHEMBL2326099,IC50,270.0,nM,
CHEMBL2326098,IC50,1750.0,nM,
CHEMBL2326097,IC50,210.0,nM,
CHEMBL2326096,IC50,260.0,nM,
CHEMBL2326095,IC50,160.0,nM,
CHEMBL2326094,IC50,510.0,nM,
CHEMBL2326093,IC50,230.0,nM,
CHEMBL2326092,IC50,1240.0,nM,
CHEMBL2326090,IC50,59.7,nM,
CHEMBL2326089,IC50,223.0,nM,
CHEMBL2326088,IC50,1450.0,nM,
CHEMBL2326091,IC50,300000.0,nM,
CHEMBL2348500,IC50,800.0,nM,
CHEMBL2348486,IC50,320.0,nM,
CHEMBL2348487,IC50,370.0,nM,
CHEMBL2348488,IC50,520.0,nM,
CHEMBL2348489,IC50,5380.0,nM,
CHEMBL2348491,IC50,3260.0,nM,
CHEMBL2348490,IC50,2070.0,nM,
CHEMBL2348492,IC50,2280.0,nM,
CHEMBL2348493,IC50,5120.0,nM,
CHEMBL2348495,IC50,,,
CHEMBL2348494,IC50,19000.0,nM,
CHEMBL2348496,IC50,2250.0,nM,
CHEMBL2348497,IC50,10500.0,nM,
CHEMBL2348499,IC50,11240.0,nM,
CHEMBL2348498,IC50,4100.0,nM,
CHEMBL1812662,IC50,3430.0,nM,
CHEMBL2348500,IC50,1450.0,nM,
CHEMBL2418998,IC50,100.0,nM,
CHEMBL2419000,IC50,6650.0,nM,
CHEMBL1812661,IC50,1470.0,nM,
CHEMBL2418826,IC50,720.0,nM,
CHEMBL2418992,IC50,380.0,nM,
CHEMBL2418827,IC50,330.0,nM,
CHEMBL2348486,IC50,320.0,nM,
CHEMBL2418997,IC50,210.0,nM,
CHEMBL2418996,IC50,200.0,nM,
CHEMBL2418994,IC50,200.0,nM,
CHEMBL2418995,IC50,190.0,nM,
CHEMBL2418993,IC50,180.0,nM,
CHEMBL2418999,IC50,120.0,nM,
CHEMBL2418828,IC50,80.0,nM,
CHEMBL2418829,IC50,24.0,nM,
CHEMBL2418991,IC50,22.0,nM,
CHEMBL2418831,IC50,21.0,nM,
CHEMBL2418830,IC50,17.0,nM,
CHEMBL1234777,Kd,47.0,nM,
CHEMBL4250607,Ki,275000.0,nM,
CHEMBL4238387,Ki,382000.0,nM,
CHEMBL4546530,IC50,380.0,nM,
CHEMBL4546530,IC50,48000.0,nM,
CHEMBL4440992,IC50,210.0,nM,
CHEMBL4514628,IC50,,,
CHEMBL4553794,IC50,110.0,nM,
CHEMBL4565795,IC50,390.0,nM,
CHEMBL4576356,IC50,300.0,nM,
CHEMBL4444238,IC50,600.0,nM,
CHEMBL4469486,IC50,470.0,nM,
CHEMBL4457401,IC50,380.0,nM,
CHEMBL4467506,IC50,670.0,nM,
CHEMBL4547509,IC50,400.0,nM,
