molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1812661,Ki,8.5,nM,
CHEMBL2326087,IC50,190.0,nM,
CHEMBL2326086,IC50,320.0,nM,
CHEMBL2326085,IC50,270.0,nM,
CHEMBL2326084,IC50,390.0,nM,
CHEMBL2326099,IC50,550.0,nM,
CHEMBL2326098,IC50,1710.0,nM,
CHEMBL2326097,IC50,340.0,nM,
CHEMBL2326096,IC50,600.0,nM,
CHEMBL2326095,IC50,310.0,nM,
CHEMBL2326094,IC50,1090.0,nM,
CHEMBL2326093,IC50,420.0,nM,
CHEMBL2326092,IC50,2560.0,nM,
CHEMBL2326090,IC50,67.0,nM,
CHEMBL2326089,IC50,509.0,nM,
CHEMBL2326088,IC50,1920.0,nM,
CHEMBL2326091,IC50,300000.0,nM,
CHEMBL2348486,IC50,620.0,nM,
CHEMBL2348487,IC50,980.0,nM,
CHEMBL2348488,IC50,934.0,nM,
CHEMBL2348489,IC50,4020.0,nM,
CHEMBL2348491,IC50,5980.0,nM,
CHEMBL2348490,IC50,1350.0,nM,
CHEMBL2348492,IC50,3720.0,nM,
CHEMBL2348493,IC50,6440.0,nM,
CHEMBL2348495,IC50,4500.0,nM,
CHEMBL2348494,IC50,57000.0,nM,
CHEMBL2348496,IC50,4280.0,nM,
CHEMBL2348497,IC50,17000.0,nM,
CHEMBL2348499,IC50,15500.0,nM,
CHEMBL2348498,IC50,4600.0,nM,
CHEMBL1812662,IC50,5070.0,nM,
CHEMBL2348500,IC50,1920.0,nM,
CHEMBL2419000,IC50,4650.0,nM,
CHEMBL1812661,IC50,2150.0,nM,
CHEMBL2418827,IC50,1120.0,nM,
CHEMBL2418826,IC50,1100.0,nM,
CHEMBL2418992,IC50,640.0,nM,
CHEMBL2348486,IC50,620.0,nM,
CHEMBL2418997,IC50,330.0,nM,
CHEMBL2418996,IC50,290.0,nM,
CHEMBL2418995,IC50,240.0,nM,
CHEMBL2418994,IC50,230.0,nM,
CHEMBL2418993,IC50,230.0,nM,
CHEMBL2418828,IC50,85.0,nM,
CHEMBL2418999,IC50,70.0,nM,
CHEMBL2418998,IC50,50.0,nM,
CHEMBL2418829,IC50,47.0,nM,
CHEMBL2418991,IC50,33.0,nM,
CHEMBL2418830,IC50,30.0,nM,
CHEMBL2418831,IC50,23.0,nM,
CHEMBL1234777,Ki,51.0,nM,
CHEMBL4250607,Ki,322000.0,nM,
CHEMBL4238387,Ki,437000.0,nM,
CHEMBL3444049,IC50,100000.0,nM,
CHEMBL3444049,IC50,100000.0,nM,
CHEMBL3444052,IC50,100000.0,nM,
CHEMBL3444052,IC50,100000.0,nM,
CHEMBL3469998,IC50,100000.0,nM,
CHEMBL3469998,IC50,100000.0,nM,
CHEMBL3446274,IC50,100000.0,nM,
CHEMBL3446274,IC50,100000.0,nM,
CHEMBL3470173,IC50,100000.0,nM,
CHEMBL3470173,IC50,100000.0,nM,
CHEMBL3444274,IC50,100000.0,nM,
CHEMBL3444274,IC50,100000.0,nM,
CHEMBL3444294,IC50,100000.0,nM,
CHEMBL3444294,IC50,100000.0,nM,
CHEMBL3444324,IC50,100000.0,nM,
CHEMBL3444324,IC50,100000.0,nM,
