molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL223360,Kd,7800.0,nM,
CHEMBL572881,Kd,10000.0,nM,
CHEMBL574738,Kd,10000.0,nM,
CHEMBL215152,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL296468,Kd,10000.0,nM,
CHEMBL522892,Kd,3100.0,nM,
CHEMBL558752,Kd,10000.0,nM,
CHEMBL31965,Kd,10000.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL483321,Kd,10000.0,nM,
CHEMBL1421,Kd,10000.0,nM,
CHEMBL607707,Kd,10000.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL428690,Kd,10000.0,nM,
CHEMBL939,Kd,10000.0,nM,
CHEMBL261849,Kd,10000.0,nM,
CHEMBL477772,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL191003,Kd,880.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL91829,Kd,10000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL259084,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL14762,Kd,10000.0,nM,
CHEMBL278041,Kd,10000.0,nM,
CHEMBL10,Kd,10000.0,nM,
CHEMBL440084,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL388978,Kd,10000.0,nM,
CHEMBL1721885,Kd,200.0,nM,
CHEMBL535,Kd,570.0,nM,
CHEMBL572878,Kd,7100.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL24828,Kd,10000.0,nM,
CHEMBL603469,Kd,1500.0,nM,
CHEMBL608533,Kd,10000.0,nM,
CHEMBL535,Kd,570.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL1240703,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL496862,IC50,50000.0,nM,
CHEMBL491473,Kd,10000.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL450786,Kd,6200.0,nM,
CHEMBL1614701,Kd,10000.0,nM,
