molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL369602,Ki,5000.0,nM,
CHEMBL89962,IC50,185.0,nM,
CHEMBL89962,EC50,3600.0,nM,
CHEMBL89962,IC50,150.0,nM,
CHEMBL89962,EC50,2000.0,nM,
CHEMBL430458,IC50,82.0,nM,
CHEMBL430458,EC50,500.0,nM,
CHEMBL430458,IC50,150.0,nM,
CHEMBL430458,EC50,2000.0,nM,
CHEMBL92687,IC50,1600.0,nM,
CHEMBL92687,EC50,6400.0,nM,
CHEMBL92687,IC50,150.0,nM,
CHEMBL92687,EC50,2000.0,nM,
CHEMBL93468,IC50,251.0,nM,
CHEMBL93468,EC50,2100.0,nM,
CHEMBL93468,IC50,150.0,nM,
CHEMBL93468,EC50,2000.0,nM,
CHEMBL330704,IC50,555.0,nM,
CHEMBL330704,EC50,4900.0,nM,
CHEMBL330704,IC50,150.0,nM,
CHEMBL330704,EC50,2000.0,nM,
CHEMBL93194,IC50,184.0,nM,
CHEMBL93194,EC50,1200.0,nM,
CHEMBL93194,IC50,150.0,nM,
CHEMBL93194,EC50,2000.0,nM,
CHEMBL92857,IC50,143.0,nM,
CHEMBL92857,EC50,1100.0,nM,
CHEMBL92857,IC50,150.0,nM,
CHEMBL92857,EC50,2000.0,nM,
CHEMBL329916,IC50,76.0,nM,
CHEMBL329916,EC50,4300.0,nM,
CHEMBL329916,IC50,150.0,nM,
CHEMBL329916,EC50,2000.0,nM,
CHEMBL328689,IC50,21.0,nM,
CHEMBL328689,EC50,600.0,nM,
CHEMBL328689,IC50,150.0,nM,
CHEMBL328689,EC50,2000.0,nM,
CHEMBL420432,IC50,306.0,nM,
CHEMBL420432,EC50,3500.0,nM,
CHEMBL420432,IC50,150.0,nM,
CHEMBL420432,EC50,2000.0,nM,
CHEMBL93841,IC50,247.0,nM,
CHEMBL93841,EC50,4900.0,nM,
CHEMBL93841,IC50,150.0,nM,
CHEMBL93841,EC50,2000.0,nM,
CHEMBL327697,IC50,230.0,nM,
CHEMBL327697,EC50,3600.0,nM,
CHEMBL327697,IC50,150.0,nM,
CHEMBL327697,EC50,2000.0,nM,
CHEMBL327612,IC50,171.0,nM,
CHEMBL327612,EC50,6500.0,nM,
CHEMBL327612,IC50,150.0,nM,
CHEMBL327612,EC50,2000.0,nM,
CHEMBL92919,IC50,192.0,nM,
CHEMBL92919,EC50,,nM,
CHEMBL93252,IC50,162.0,nM,
CHEMBL93252,EC50,5100.0,nM,
CHEMBL93252,IC50,150.0,nM,
CHEMBL93252,EC50,2000.0,nM,
CHEMBL90423,IC50,167.0,nM,
CHEMBL90423,EC50,4100.0,nM,
CHEMBL90423,IC50,150.0,nM,
CHEMBL90423,EC50,2000.0,nM,
CHEMBL93009,IC50,39.0,nM,
CHEMBL93009,EC50,500.0,nM,
CHEMBL93009,IC50,150.0,nM,
CHEMBL93009,EC50,2000.0,nM,
CHEMBL93042,IC50,228.0,nM,
CHEMBL93042,EC50,2200.0,nM,
CHEMBL93042,IC50,150.0,nM,
CHEMBL93042,EC50,2000.0,nM,
CHEMBL93242,IC50,64.0,nM,
CHEMBL93242,EC50,1100.0,nM,
CHEMBL93242,IC50,150.0,nM,
CHEMBL93242,EC50,2000.0,nM,
CHEMBL92577,IC50,117.0,nM,
CHEMBL92577,EC50,6600.0,nM,
CHEMBL92577,IC50,150.0,nM,
CHEMBL92577,EC50,2000.0,nM,
CHEMBL92911,IC50,73.0,nM,
CHEMBL92911,EC50,2000.0,nM,
CHEMBL92911,IC50,150.0,nM,
CHEMBL92911,EC50,2000.0,nM,
CHEMBL92229,IC50,32.0,nM,
CHEMBL92229,EC50,700.0,nM,
CHEMBL92229,IC50,150.0,nM,
CHEMBL92229,EC50,2000.0,nM,
CHEMBL317534,IC50,433.0,nM,
CHEMBL317534,EC50,1000.0,nM,
CHEMBL317534,IC50,150.0,nM,
CHEMBL317534,EC50,2000.0,nM,
CHEMBL330054,IC50,142.0,nM,
CHEMBL330054,EC50,500.0,nM,
CHEMBL330054,IC50,150.0,nM,
CHEMBL330054,EC50,2000.0,nM,
CHEMBL327672,IC50,95.0,nM,
CHEMBL327672,EC50,1400.0,nM,
CHEMBL327672,IC50,150.0,nM,
CHEMBL327672,EC50,2000.0,nM,
CHEMBL328358,IC50,76.0,nM,
CHEMBL328358,EC50,4400.0,nM,
CHEMBL328358,IC50,150.0,nM,
CHEMBL328358,EC50,2000.0,nM,
CHEMBL317990,IC50,43.0,nM,
CHEMBL317990,EC50,1400.0,nM,
CHEMBL317990,IC50,150.0,nM,
CHEMBL317990,EC50,2000.0,nM,
CHEMBL52606,IC50,41.0,nM,
CHEMBL52606,EC50,500.0,nM,
CHEMBL52606,IC50,150.0,nM,
CHEMBL419139,IC50,593.0,nM,
CHEMBL419139,EC50,2500.0,nM,
CHEMBL419139,IC50,150.0,nM,
CHEMBL419139,EC50,2000.0,nM,
CHEMBL93259,IC50,65.0,nM,
CHEMBL93259,EC50,1100.0,nM,
CHEMBL93259,IC50,150.0,nM,
CHEMBL93259,EC50,2000.0,nM,
CHEMBL94135,IC50,318.0,nM,
CHEMBL94135,EC50,3100.0,nM,
CHEMBL94135,IC50,150.0,nM,
CHEMBL94135,EC50,2000.0,nM,
CHEMBL91795,IC50,608.0,nM,
CHEMBL91795,EC50,9600.0,nM,
CHEMBL91795,IC50,150.0,nM,
CHEMBL91795,EC50,2000.0,nM,
CHEMBL432817,IC50,44.0,nM,
CHEMBL432817,EC50,3500.0,nM,
CHEMBL432817,IC50,150.0,nM,
CHEMBL432817,EC50,2000.0,nM,
CHEMBL93408,IC50,680.0,nM,
CHEMBL93408,EC50,2100.0,nM,
CHEMBL93408,IC50,150.0,nM,
CHEMBL93408,EC50,2000.0,nM,
CHEMBL329247,IC50,36.0,nM,
CHEMBL329247,EC50,1500.0,nM,
CHEMBL329247,IC50,150.0,nM,
CHEMBL329247,EC50,2000.0,nM,
CHEMBL328561,IC50,31.0,nM,
CHEMBL328561,EC50,600.0,nM,
CHEMBL328561,IC50,150.0,nM,
CHEMBL328561,EC50,2000.0,nM,
CHEMBL93469,IC50,271.0,nM,
CHEMBL93469,EC50,8100.0,nM,
CHEMBL93469,IC50,150.0,nM,
CHEMBL93469,EC50,2000.0,nM,
CHEMBL93393,IC50,157.0,nM,
CHEMBL93393,EC50,2400.0,nM,
CHEMBL93393,IC50,150.0,nM,
CHEMBL93393,EC50,2000.0,nM,
CHEMBL93260,IC50,112.0,nM,
CHEMBL93260,EC50,2700.0,nM,
CHEMBL93260,IC50,150.0,nM,
CHEMBL93260,EC50,2000.0,nM,
CHEMBL91909,IC50,128.0,nM,
CHEMBL91909,EC50,700.0,nM,
CHEMBL91909,IC50,150.0,nM,
CHEMBL91909,EC50,2000.0,nM,
CHEMBL94168,IC50,174.0,nM,
CHEMBL94168,EC50,1600.0,nM,
CHEMBL94168,IC50,150.0,nM,
CHEMBL94168,EC50,2000.0,nM,
CHEMBL94313,IC50,123.0,nM,
CHEMBL94313,EC50,1700.0,nM,
CHEMBL94313,IC50,150.0,nM,
CHEMBL94313,EC50,2000.0,nM,
CHEMBL93521,IC50,89.0,nM,
CHEMBL93521,EC50,1300.0,nM,
CHEMBL93521,IC50,150.0,nM,
CHEMBL93521,EC50,2000.0,nM,
CHEMBL94343,IC50,117.0,nM,
CHEMBL94343,EC50,1800.0,nM,
CHEMBL94343,IC50,150.0,nM,
CHEMBL94343,EC50,2000.0,nM,
CHEMBL92719,IC50,236.0,nM,
CHEMBL92719,EC50,630.0,nM,
CHEMBL92719,IC50,150.0,nM,
CHEMBL92719,EC50,2000.0,nM,
CHEMBL4438010,IC50,4200.0,nM,
CHEMBL4467466,IC50,1600.0,nM,
CHEMBL4466295,IC50,9900.0,nM,
CHEMBL4452051,IC50,4600.0,nM,
CHEMBL4541956,IC50,11000.0,nM,
CHEMBL4459317,IC50,6600.0,nM,
CHEMBL1574132,IC50,3400.0,nM,
CHEMBL4476423,IC50,2300.0,nM,
CHEMBL4297305,IC50,10000.0,nM,
CHEMBL4547217,IC50,10000.0,nM,
CHEMBL4464808,IC50,1700.0,nM,
CHEMBL2093209,IC50,3100.0,nM,
CHEMBL4437081,IC50,3400.0,nM,
CHEMBL2098245,IC50,6400.0,nM,
CHEMBL591858,IC50,5900.0,nM,
CHEMBL4464131,IC50,1000.0,nM,
CHEMBL4537053,IC50,1500.0,nM,
CHEMBL4467742,IC50,1200.0,nM,
CHEMBL4466942,IC50,31000.0,nM,
CHEMBL4454003,IC50,9500.0,nM,
CHEMBL4453190,IC50,5100.0,nM,
CHEMBL4519742,IC50,7500.0,nM,
CHEMBL4449710,IC50,3400.0,nM,
CHEMBL4458696,IC50,9600.0,nM,
CHEMBL4574893,IC50,12000.0,nM,
CHEMBL4518661,IC50,5300.0,nM,
CHEMBL4165666,IC50,28000.0,nM,
CHEMBL4471605,IC50,7700.0,nM,
CHEMBL4468517,IC50,11000.0,nM,
CHEMBL4446465,IC50,15000.0,nM,
CHEMBL4547708,IC50,29000.0,nM,
CHEMBL4576094,IC50,10000.0,nM,
CHEMBL1630682,IC50,5000.0,nM,
CHEMBL4448799,IC50,7300.0,nM,
CHEMBL4466567,IC50,6500.0,nM,
CHEMBL1378785,IC50,15000.0,nM,
CHEMBL4436491,IC50,13000.0,nM,
CHEMBL3183661,IC50,16000.0,nM,
CHEMBL4438944,IC50,11000.0,nM,
CHEMBL4528857,IC50,17000.0,nM,
CHEMBL4560371,IC50,,,
CHEMBL4442687,IC50,8200.0,nM,
CHEMBL2098190,IC50,8900.0,nM,
CHEMBL4549401,IC50,2800.0,nM,
CHEMBL4575792,IC50,2300.0,nM,
CHEMBL4471580,IC50,25000.0,nM,
CHEMBL4566535,IC50,8600.0,nM,
CHEMBL4463572,IC50,6000.0,nM,
CHEMBL4519442,IC50,8100.0,nM,
CHEMBL4540149,IC50,10000.0,nM,
CHEMBL4455821,IC50,22000.0,nM,
CHEMBL4445387,IC50,16000.0,nM,
CHEMBL4438331,IC50,7300.0,nM,
CHEMBL4547063,IC50,13000.0,nM,
CHEMBL4516640,IC50,11000.0,nM,
CHEMBL4515913,IC50,14000.0,nM,
CHEMBL4456548,IC50,1400.0,nM,
CHEMBL4585588,IC50,9100.0,nM,
CHEMBL4582554,IC50,26000.0,nM,
CHEMBL4438060,IC50,9400.0,nM,
CHEMBL4457916,IC50,1400.0,nM,
CHEMBL4466580,IC50,4600.0,nM,
CHEMBL4574197,IC50,5000.0,nM,
CHEMBL4531260,IC50,9600.0,nM,
CHEMBL4543838,IC50,3700.0,nM,
CHEMBL4449979,IC50,4800.0,nM,
CHEMBL4455809,IC50,5400.0,nM,
CHEMBL2098388,IC50,13000.0,nM,
CHEMBL4562061,IC50,,,
CHEMBL4442741,IC50,,,
CHEMBL5187824,IC50,1400.0,nM,
CHEMBL5190265,IC50,2800.0,nM,
CHEMBL5182341,IC50,30000.0,nM,
CHEMBL5193391,IC50,6700.0,nM,
CHEMBL5180340,IC50,1200.0,nM,
CHEMBL5186455,IC50,1400.0,nM,
CHEMBL5178772,IC50,790.0,nM,
CHEMBL5205425,IC50,470.0,nM,
CHEMBL5203054,IC50,360.0,nM,
CHEMBL5199983,IC50,610.0,nM,
CHEMBL5203795,IC50,2200.0,nM,
CHEMBL5188949,IC50,410.0,nM,
CHEMBL5178255,IC50,670.0,nM,
CHEMBL5197376,IC50,680.0,nM,
CHEMBL5186517,IC50,3100.0,nM,
CHEMBL5202029,IC50,440.0,nM,
CHEMBL5169392,IC50,390.0,nM,
CHEMBL5174303,IC50,360.0,nM,
CHEMBL5186344,IC50,810.0,nM,
CHEMBL5190252,IC50,880.0,nM,
CHEMBL2098167,IC50,970.0,nM,
CHEMBL5170189,IC50,250.0,nM,
CHEMBL5195432,IC50,770.0,nM,
CHEMBL5176001,IC50,1420.0,nM,
CHEMBL5171368,IC50,900.0,nM,
CHEMBL5197311,IC50,630.0,nM,
CHEMBL5176376,IC50,900.0,nM,
CHEMBL5192342,IC50,4300.0,nM,
CHEMBL5178615,IC50,60000.0,nM,
CHEMBL5187427,IC50,2300.0,nM,
CHEMBL5193541,IC50,16300.0,nM,
CHEMBL5186697,IC50,9200.0,nM,
CHEMBL5201467,IC50,570.0,nM,
CHEMBL5172009,IC50,540.0,nM,
CHEMBL5182403,IC50,290.0,nM,
CHEMBL5178349,IC50,520.0,nM,
