molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL400710,Ki,38000.0,nM,
CHEMBL250901,Ki,30000.0,nM,
CHEMBL400100,Ki,39000.0,nM,
CHEMBL1784774,IC50,4600.0,nM,
CHEMBL1784771,IC50,250000.0,nM,
CHEMBL1784772,IC50,52800.0,nM,
CHEMBL1784773,IC50,250000.0,nM,
CHEMBL1784704,IC50,15000.0,nM,
CHEMBL1784770,IC50,35000.0,nM,
CHEMBL1784703,IC50,3200.0,nM,
CHEMBL1784775,IC50,30100.0,nM,
CHEMBL1784776,IC50,7100.0,nM,
CHEMBL1784777,IC50,18400.0,nM,
CHEMBL2369531,IC50,17700.0,nM,
CHEMBL2369532,IC50,171700.0,nM,
CHEMBL1784779,IC50,14900.0,nM,
CHEMBL1784780,IC50,98400.0,nM,
CHEMBL1784781,IC50,250000.0,nM,
CHEMBL1784782,IC50,250000.0,nM,
CHEMBL1784783,IC50,10800.0,nM,
CHEMBL1784784,IC50,1000.0,nM,
CHEMBL1784785,IC50,1600.0,nM,
CHEMBL1784784,Kd,190.0,nM,
CHEMBL1784786,Kd,440.0,nM,
CHEMBL1784787,Kd,410.0,nM,
CHEMBL1784774,Ki,1850.0,nM,
CHEMBL1784784,Ki,270.0,nM,
CHEMBL1784703,Ki,1960.0,nM,
CHEMBL1784785,Ki,200.0,nM,
CHEMBL2017812,Ki,1240.0,nM,
CHEMBL2017813,Ki,19440.0,nM,
CHEMBL2017814,Ki,540.0,nM,
CHEMBL2017815,Ki,130.0,nM,
CHEMBL2017816,Ki,100.0,nM,
CHEMBL2017817,Ki,500.0,nM,
CHEMBL2017818,Ki,12050.0,nM,
CHEMBL2017819,Ki,15670.0,nM,
CHEMBL2017820,Ki,4040.0,nM,
CHEMBL2017821,Ki,80.0,nM,
CHEMBL2017822,Ki,40.0,nM,
