molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL554,Kd,,,
CHEMBL607707,Kd,2200.0,nM,
CHEMBL101253,Kd,,,
CHEMBL535,Kd,5800.0,nM,
CHEMBL124660,Kd,,,
CHEMBL91829,Kd,1100.0,nM,
CHEMBL1336,Kd,,,
CHEMBL14762,Kd,,,
CHEMBL428690,Kd,320.0,nM,
CHEMBL388978,Kd,0.05,nM,
CHEMBL278041,Kd,,,
CHEMBL10,Kd,,,
CHEMBL119385,Kd,,,
CHEMBL103667,Kd,,,
CHEMBL1725279,Kd,7500.0,nM,
CHEMBL941,Kd,,,
CHEMBL939,Kd,,,
CHEMBL553,Kd,,,
CHEMBL24828,Kd,,,
CHEMBL31965,Kd,,,
CHEMBL104264,Ki,29700.0,nM,
CHEMBL143054,Ki,13000.0,nM,
CHEMBL416056,Ki,1.8,nM,
CHEMBL319620,IC50,200.0,nM,
CHEMBL265470,IC50,0.04,ug.mL-1,
CHEMBL265470,IC50,10.0,nM,
CHEMBL223360,Kd,10000.0,nM,
CHEMBL572881,Kd,10000.0,nM,
CHEMBL574738,Kd,220.0,nM,
CHEMBL215152,Kd,10000.0,nM,
CHEMBL103667,Kd,10000.0,nM,
CHEMBL296468,Kd,10000.0,nM,
CHEMBL522892,Kd,10000.0,nM,
CHEMBL558752,Kd,10000.0,nM,
CHEMBL31965,Kd,10000.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL483321,Kd,10000.0,nM,
CHEMBL1421,Kd,10000.0,nM,
CHEMBL607707,Kd,2500.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL428690,Kd,430.0,nM,
CHEMBL939,Kd,10000.0,nM,
CHEMBL261849,Kd,10000.0,nM,
CHEMBL477772,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL191003,Kd,2600.0,nM,
CHEMBL554,Kd,10000.0,nM,
CHEMBL91829,Kd,2400.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL259084,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL608533,Kd,73.0,nM,
CHEMBL101253,Kd,10000.0,nM,
CHEMBL14762,Kd,10000.0,nM,
CHEMBL278041,Kd,10000.0,nM,
CHEMBL10,Kd,10000.0,nM,
CHEMBL440084,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL388978,Kd,0.16,nM,
CHEMBL1721885,Kd,2500.0,nM,
CHEMBL535,Kd,1500.0,nM,
CHEMBL572878,Kd,10000.0,nM,
CHEMBL119385,Kd,10000.0,nM,
CHEMBL24828,Kd,10000.0,nM,
CHEMBL603469,Kd,15.0,nM,
CHEMBL124660,Kd,10000.0,nM,
CHEMBL608533,Kd,73.0,nM,
CHEMBL1240703,Kd,790.0,nM,
CHEMBL535,Kd,1500.0,nM,
CHEMBL576982,Kd,10000.0,nM,
CHEMBL1336,Kd,10000.0,nM,
CHEMBL1234833,IC50,2450.0,nM,
CHEMBL491473,Kd,10000.0,nM,
CHEMBL180022,Kd,10000.0,nM,
CHEMBL386051,Kd,10000.0,nM,
CHEMBL1721885,Kd,2500.0,nM,
CHEMBL221959,Kd,10000.0,nM,
CHEMBL941,Kd,10000.0,nM,
CHEMBL450786,Kd,73.0,nM,
CHEMBL535,Kd,1500.0,nM,
CHEMBL1614701,Kd,10000.0,nM,
CHEMBL601719,Kd,1500.0,nM,
CHEMBL1789941,Kd,10000.0,nM,
CHEMBL573339,Kd,10000.0,nM,
CHEMBL509032,Kd,11.0,nM,
CHEMBL513909,Kd,23.0,nM,
CHEMBL1421,Kd,10000.0,nM,
CHEMBL1908395,Kd,10000.0,nM,
CHEMBL608533,Kd,73.0,nM,
CHEMBL230011,Kd,10000.0,nM,
CHEMBL502835,Kd,920.0,nM,
CHEMBL553,Kd,10000.0,nM,
CHEMBL1908396,Kd,10000.0,nM,
CHEMBL1173655,Kd,10000.0,nM,
CHEMBL1230609,Kd,4400.0,nM,
CHEMBL1230020,Kd,10000.0,nM,
