molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL329678,IC50,41000.0,nM,
CHEMBL89589,IC50,100000.0,nM,
CHEMBL316211,IC50,96000.0,nM,
CHEMBL88111,IC50,74000.0,nM,
CHEMBL88196,IC50,100000.0,nM,
CHEMBL88441,IC50,12000.0,nM,
CHEMBL330451,IC50,100000.0,nM,
CHEMBL313797,IC50,17000.0,nM,
CHEMBL87174,IC50,33000.0,nM,
CHEMBL419684,IC50,5900.0,nM,
CHEMBL419684,IC50,5500.0,nM,
CHEMBL314992,IC50,5200.0,nM,
CHEMBL89148,IC50,9900.0,nM,
CHEMBL88582,IC50,37000.0,nM,
CHEMBL3037882,IC50,2.0,nM,
CHEMBL3037882,IC50,2.0,nM,
CHEMBL1794015,IC50,185.0,nM,
CHEMBL1794015,IC50,995.0,nM,
CHEMBL2369742,IC50,4.0,nM,
CHEMBL2369742,IC50,14.0,nM,
CHEMBL2369452,IC50,9.0,nM,
CHEMBL2369452,IC50,9.0,nM,
CHEMBL2369457,IC50,11.2,nM,
CHEMBL2369457,IC50,14.5,nM,
CHEMBL2369465,IC50,25.0,nM,
CHEMBL2369465,IC50,21.9,nM,
CHEMBL2369463,IC50,2.3,nM,
CHEMBL2369463,IC50,0.5,nM,
CHEMBL525571,IC50,2.3,nM,
CHEMBL525571,IC50,0.5,nM,
CHEMBL2369458,IC50,6.9,nM,
CHEMBL2369458,IC50,8.0,nM,
CHEMBL2369459,IC50,2.0,nM,
CHEMBL2369459,IC50,1.7,nM,
CHEMBL2369464,IC50,20.2,nM,
CHEMBL2369464,IC50,16.0,nM,
CHEMBL2369454,IC50,3.0,nM,
CHEMBL2369454,IC50,12.0,nM,
CHEMBL21061,IC50,,nM,
CHEMBL404977,IC50,24000.0,nM,
CHEMBL409175,IC50,,nM,
CHEMBL405037,IC50,,nM,
CHEMBL216710,IC50,1200.0,nM,
CHEMBL440990,IC50,3000.0,nM,
CHEMBL406587,IC50,4500.0,nM,
CHEMBL20585,IC50,,nM,
CHEMBL283513,IC50,,nM,
CHEMBL262749,IC50,4500.0,nM,
CHEMBL409205,IC50,10000.0,nM,
CHEMBL404978,IC50,4000.0,nM,
CHEMBL269328,IC50,4275.0,nM,
CHEMBL20034,IC50,220.0,nM,
CHEMBL411804,IC50,170.0,nM,
CHEMBL263335,IC50,100000.0,nM,
CHEMBL428655,IC50,3000.0,nM,
CHEMBL267182,IC50,10000.0,nM,
CHEMBL410354,IC50,80000.0,nM,
CHEMBL216101,IC50,5000.0,nM,
CHEMBL405767,IC50,32000.0,nM,
CHEMBL435948,IC50,,nM,
CHEMBL21927,IC50,,nM,
CHEMBL265399,IC50,8000.0,nM,
CHEMBL266666,IC50,70000.0,nM,
CHEMBL407774,IC50,2700.0,nM,
CHEMBL269027,IC50,10000.0,nM,
CHEMBL2371144,IC50,910.0,nM,
CHEMBL2371143,IC50,146.0,nM,
CHEMBL269517,IC50,95000.0,nM,
CHEMBL281303,IC50,,nM,
CHEMBL411078,IC50,4790.0,nM,
CHEMBL409807,IC50,100000.0,nM,
CHEMBL405511,IC50,360.0,nM,
CHEMBL386824,IC50,6500.0,nM,
CHEMBL405694,IC50,10000.0,nM,
CHEMBL406459,IC50,159.0,nM,
CHEMBL264010,IC50,29.0,nM,
CHEMBL279233,IC50,,nM,
CHEMBL438008,IC50,10000.0,nM,
CHEMBL263986,IC50,100000.0,nM,
CHEMBL428096,IC50,7000.0,nM,
CHEMBL412463,IC50,3000.0,nM,
CHEMBL281592,IC50,,nM,
CHEMBL278797,IC50,,nM,
CHEMBL409079,IC50,,nM,
CHEMBL405695,IC50,100000.0,nM,
CHEMBL414503,IC50,10000.0,nM,
CHEMBL414492,IC50,100000.0,nM,
CHEMBL439299,IC50,,nM,
CHEMBL405794,IC50,,nM,
CHEMBL275984,IC50,8550.0,nM,
CHEMBL267137,IC50,10000.0,nM,
CHEMBL407856,IC50,,nM,
CHEMBL412330,IC50,,nM,
CHEMBL267406,IC50,18000.0,nM,
CHEMBL407697,IC50,9000.0,nM,
CHEMBL437079,IC50,10000.0,nM,
CHEMBL21703,IC50,,nM,
CHEMBL414069,IC50,10000.0,nM,
CHEMBL21702,IC50,,nM,
CHEMBL439085,IC50,24000.0,nM,
CHEMBL407854,IC50,280.0,nM,
