molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL1160501,IC50,2.0,nM,
CHEMBL1160500,IC50,30.0,nM,
CHEMBL1160486,IC50,40.0,nM,
CHEMBL1160492,IC50,10.0,nM,
CHEMBL1160499,IC50,100.0,nM,
CHEMBL384035,IC50,0.3,nM,
CHEMBL1160488,IC50,100.0,nM,
CHEMBL1160485,IC50,1000.0,nM,
CHEMBL329552,IC50,49000.0,nM,
CHEMBL315184,IC50,7000.0,nM,
CHEMBL315358,IC50,100000.0,nM,
CHEMBL314081,IC50,100000.0,nM,
CHEMBL316190,IC50,100000.0,nM,
CHEMBL316238,IC50,100000.0,nM,
CHEMBL423869,IC50,100000.0,nM,
CHEMBL451,IC50,100000.0,nM,
CHEMBL314579,IC50,100000.0,nM,
CHEMBL432511,IC50,54000.0,nM,
CHEMBL57915,IC50,40000.0,nM,
CHEMBL301427,IC50,81000.0,nM,
CHEMBL293744,IC50,81000.0,nM,
CHEMBL217609,EC50,4.0,nM,
CHEMBL414592,EC50,3.5,nM,
CHEMBL217236,EC50,0.9,nM,
CHEMBL266839,EC50,37.0,nM,
CHEMBL2370248,EC50,104.0,nM,
CHEMBL409529,EC50,1.4,nM,
CHEMBL269185,EC50,26.0,nM,
CHEMBL386682,EC50,0.5,nM,
CHEMBL156559,IC50,3.7,nM,
CHEMBL156559,IC50,4300.0,nM,
CHEMBL411466,IC50,4.2,nM,
CHEMBL411466,IC50,710.0,nM,
CHEMBL290142,IC50,35.0,nM,
CHEMBL290142,IC50,4577.0,nM,
CHEMBL289284,IC50,50.0,nM,
CHEMBL289744,IC50,41.0,nM,
CHEMBL289744,IC50,10400.0,nM,
CHEMBL290143,IC50,18.0,nM,
CHEMBL290143,IC50,731.0,nM,
CHEMBL290936,IC50,5.0,nM,
CHEMBL290936,IC50,5810.0,nM,
CHEMBL290034,IC50,32.0,nM,
CHEMBL290034,IC50,10900.0,nM,
CHEMBL432864,IC50,128.0,nM,
CHEMBL432293,IC50,9.0,nM,
CHEMBL432293,IC50,13600.0,nM,
CHEMBL405243,EC50,28.0,nM,
CHEMBL356696,EC50,,nM,
CHEMBL410965,EC50,150.0,nM,
CHEMBL321761,EC50,1600.0,nM,
CHEMBL421778,EC50,300.0,nM,
CHEMBL146206,EC50,210.0,nM,
CHEMBL346160,EC50,5600.0,nM,
CHEMBL438912,EC50,280.0,nM,
CHEMBL1121,EC50,2.0,nM,
CHEMBL435235,EC50,,nM,
CHEMBL1121,EC50,0.009,nM,
CHEMBL357983,EC50,110.0,nM,
CHEMBL1907663,IC50,100000.0,nM,
CHEMBL72599,IC50,40000.0,nM,
CHEMBL1907851,IC50,3500.0,nM,
CHEMBL1907854,IC50,83000.0,nM,
CHEMBL2092870,IC50,22000.0,nM,
CHEMBL2114102,IC50,2700.0,nM,
CHEMBL2092869,IC50,1600.0,nM,
CHEMBL302825,IC50,18000.0,nM,
CHEMBL70550,IC50,50000.0,nM,
CHEMBL1907842,IC50,3300.0,nM,
CHEMBL73522,IC50,300.0,nM,
CHEMBL431185,IC50,100000.0,nM,
CHEMBL302359,IC50,65000.0,nM,
CHEMBL1907847,IC50,31000.0,nM,
CHEMBL72616,IC50,100000.0,nM,
CHEMBL306760,IC50,8000.0,nM,
CHEMBL308297,IC50,100000.0,nM,
CHEMBL1907850,IC50,4000.0,nM,
CHEMBL1907841,IC50,1400.0,nM,
CHEMBL9506,IC50,270.0,nM,
CHEMBL304768,IC50,26000.0,nM,
CHEMBL1907665,IC50,100000.0,nM,
CHEMBL70883,IC50,200.0,nM,
CHEMBL73561,IC50,40000.0,nM,
CHEMBL1907849,IC50,8000.0,nM,
CHEMBL74170,IC50,8000.0,nM,
CHEMBL72491,IC50,40000.0,nM,
CHEMBL70499,IC50,100000.0,nM,
CHEMBL1907846,IC50,2400.0,nM,
CHEMBL72428,IC50,2400.0,nM,
CHEMBL1907664,IC50,100000.0,nM,
CHEMBL72057,IC50,40000.0,nM,
CHEMBL308404,IC50,100000.0,nM,
CHEMBL1907660,IC50,100000.0,nM,
CHEMBL1907852,IC50,2900.0,nM,
CHEMBL72546,IC50,3200.0,nM,
CHEMBL13280,IC50,100000.0,nM,
CHEMBL306369,IC50,40000.0,nM,
CHEMBL72738,IC50,48000.0,nM,
CHEMBL1907666,IC50,2100.0,nM,
CHEMBL2092866,IC50,5900.0,nM,
CHEMBL73096,IC50,100000.0,nM,
CHEMBL12,IC50,100000.0,nM,
CHEMBL307659,IC50,40000.0,nM,
CHEMBL74515,IC50,40000.0,nM,
CHEMBL310250,IC50,100000.0,nM,
CHEMBL171531,IC50,100000.0,nM,
CHEMBL306394,IC50,43000.0,nM,
CHEMBL1907848,IC50,3000.0,nM,
