molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3350133,Ki,110.0,nM,
CHEMBL108417,Ki,39120.0,nM,
CHEMBL322717,Ki,4978.0,nM,
CHEMBL423694,IC50,1.56,nM,
CHEMBL423694,EC50,13.7,nM,
CHEMBL278078,IC50,0.97,nM,
CHEMBL278078,EC50,5.9,nM,
CHEMBL3350128,Ki,26.0,nM,
CHEMBL3350138,Ki,7.8,nM,
CHEMBL107536,Ki,,nM,
CHEMBL110138,Ki,5011.0,nM,
CHEMBL110379,Ki,8710.0,nM,
CHEMBL3350137,Ki,6.4,nM,
CHEMBL107246,Ki,,nM,
CHEMBL448155,Ki,2919.0,nM,
CHEMBL321462,Ki,7430.0,nM,
CHEMBL126382,IC50,8.77,nM,
CHEMBL126382,EC50,121.0,nM,
CHEMBL320061,Ki,,nM,
CHEMBL107288,Ki,8819.0,nM,
CHEMBL108893,Ki,8048.0,nM,
CHEMBL327118,Ki,2709.0,nM,
CHEMBL554230,Ki,3500.0,nM,
CHEMBL13470,IC50,1.31,nM,
CHEMBL13470,EC50,3.67,nM,
CHEMBL127802,IC50,6.53,nM,
CHEMBL127802,EC50,46.0,nM,
CHEMBL324681,Ki,222.0,nM,
CHEMBL126946,IC50,15.0,nM,
CHEMBL126946,EC50,98.1,nM,
CHEMBL338980,IC50,11.3,nM,
CHEMBL338980,EC50,36.5,nM,
CHEMBL3350135,Ki,86.0,nM,
CHEMBL108904,Ki,1439.0,nM,
CHEMBL324895,Ki,9372.0,nM,
CHEMBL415521,IC50,0.87,nM,
CHEMBL415521,EC50,7.2,nM,
CHEMBL126884,IC50,187.0,nM,
CHEMBL338089,IC50,736.0,nM,
CHEMBL3350129,Ki,12.0,nM,
CHEMBL3350134,Ki,200.0,nM,
CHEMBL607319,Ki,480.0,nM,
CHEMBL317479,Ki,3312.0,nM,
CHEMBL320804,Ki,22370.0,nM,
CHEMBL110933,Ki,10090.0,nM,
CHEMBL126255,IC50,3.0,nM,
CHEMBL126255,EC50,28.3,nM,
CHEMBL106084,Ki,7579.0,nM,
CHEMBL106190,Ki,12270.0,nM,
CHEMBL316961,Ki,6088.0,nM,
CHEMBL110126,Ki,1856.0,nM,
CHEMBL554230,Ki,3800.0,nM,
CHEMBL126857,IC50,2.31,nM,
CHEMBL126857,EC50,8.96,nM,
CHEMBL126842,IC50,27.0,nM,
CHEMBL126842,EC50,161.0,nM,
CHEMBL106359,Ki,31780.0,nM,
CHEMBL3350127,Ki,100.0,nM,
CHEMBL324897,Ki,4787.0,nM,
