molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL266628,Ki,5.0,nM,
CHEMBL170335,IC50,65000.0,nM,
CHEMBL170335,IC50,62000.0,nM,
CHEMBL12590,Ki,20.0,nM,
CHEMBL11528,Ki,14.0,nM,
CHEMBL417429,Ki,415.0,nM,
CHEMBL12348,Ki,700.0,nM,
CHEMBL175228,IC50,9.3,nM,
CHEMBL12779,Ki,105.0,nM,
CHEMBL12106,Ki,5.0,nM,
CHEMBL12233,Ki,7.0,nM,
CHEMBL174699,IC50,25.0,nM,
CHEMBL11840,Ki,4.0,nM,
CHEMBL367033,IC50,22.0,nM,
CHEMBL369821,IC50,450.0,nM,
CHEMBL12703,Ki,1.0,nM,
CHEMBL275523,Ki,16.0,nM,
CHEMBL12557,Ki,22.0,nM,
CHEMBL353320,IC50,41.0,nM,
CHEMBL177546,IC50,21.0,nM,
CHEMBL268706,Ki,17.0,nM,
CHEMBL170446,IC50,8200.0,nM,
CHEMBL174448,IC50,11.0,nM,
CHEMBL177839,IC50,310.0,nM,
CHEMBL12013,Ki,13.0,nM,
CHEMBL367645,IC50,76.0,nM,
CHEMBL353502,IC50,50000.0,nM,
CHEMBL353502,IC50,250000.0,nM,
CHEMBL170450,IC50,2600.0,nM,
CHEMBL12144,Ki,15.0,nM,
CHEMBL366805,IC50,29.0,nM,
CHEMBL12592,Ki,55.0,nM,
CHEMBL12172,Ki,460.0,nM,
CHEMBL368629,IC50,17.0,nM,
CHEMBL429037,Ki,20.0,nM,
CHEMBL12588,Ki,8.0,nM,
CHEMBL177179,IC50,680.0,nM,
CHEMBL12175,Ki,20.0,nM,
CHEMBL12333,Ki,40.0,nM,
CHEMBL275545,Ki,7.0,nM,
CHEMBL274154,Ki,40.0,nM,
CHEMBL173059,IC50,155000.0,nM,
CHEMBL173059,IC50,135000.0,nM,
CHEMBL414605,IC50,1.8,nM,
CHEMBL174871,IC50,470.0,nM,
CHEMBL12102,Ki,55.0,nM,
CHEMBL11706,Ki,2.0,nM,
CHEMBL441112,IC50,220.0,nM,
CHEMBL173336,IC50,2500.0,nM,
CHEMBL175698,IC50,4.6,nM,
CHEMBL24461,Ki,1.4,nM,
CHEMBL126755,Ki,39.0,nM,
CHEMBL1513,Ki,0.0001,nM,
CHEMBL278176,IC50,24.0,nM,
CHEMBL11706,Ki,1.9,nM,
CHEMBL305270,Ki,0.7,nM,
CHEMBL302753,Ki,1.0,nM,
CHEMBL303390,Ki,22.0,nM,
CHEMBL64009,Ki,245.0,nM,
CHEMBL418326,Ki,1.0,nM,
CHEMBL65833,Ki,24.0,nM,
CHEMBL303034,Ki,200.0,nM,
CHEMBL304778,Ki,7.0,nM,
CHEMBL305980,Ki,0.9,nM,
CHEMBL66893,Ki,174.0,nM,
CHEMBL63648,Ki,130.0,nM,
CHEMBL67536,Ki,11.0,nM,
CHEMBL302564,Ki,0.4,nM,
CHEMBL304721,Ki,33.0,nM,
CHEMBL303631,Ki,0.12,nM,
CHEMBL303501,Ki,150.0,nM,
CHEMBL306218,Ki,19.0,nM,
CHEMBL25344,Ki,6.0,nM,
CHEMBL67084,Ki,19.0,nM,
CHEMBL66402,Ki,86.0,nM,
CHEMBL67957,Ki,160.0,nM,
CHEMBL304173,Ki,340.0,nM,
CHEMBL67325,Ki,250.0,nM,
CHEMBL323464,IC50,0.044,nM,
CHEMBL323464,IC50,0.38,nM,
CHEMBL436899,IC50,2000.0,nM,
CHEMBL416324,IC50,0.04,nM,
CHEMBL303806,IC50,2.62,nM,
CHEMBL9194,IC50,0.31,nM,
CHEMBL111277,IC50,0.078,nM,
CHEMBL111277,IC50,0.48,nM,
CHEMBL419367,IC50,0.055,nM,
CHEMBL419367,IC50,1.66,nM,
CHEMBL304860,IC50,12.36,nM,
CHEMBL294563,IC50,0.21,nM,
CHEMBL61425,IC50,0.24,nM,
CHEMBL408141,IC50,3800.0,nM,
CHEMBL277595,IC50,0.15,nM,
CHEMBL61711,IC50,0.68,nM,
CHEMBL291592,IC50,0.05,nM,
CHEMBL300547,IC50,0.39,nM,
CHEMBL293830,IC50,0.03,nM,
CHEMBL294291,IC50,0.02,nM,
CHEMBL8823,Ki,0.2,nM,
CHEMBL412460,IC50,2500.0,nM,
CHEMBL436884,IC50,2600.0,nM,
CHEMBL300577,IC50,0.07,nM,
CHEMBL431651,Ki,1.1,nM,
CHEMBL60276,IC50,0.14,nM,
CHEMBL304460,IC50,0.03,nM,
CHEMBL58359,IC50,0.08,nM,
CHEMBL19950,IC50,0.04,nM,
CHEMBL409777,IC50,10000.0,nM,
CHEMBL282724,IC50,1.4,nM,
CHEMBL59288,IC50,1.27,nM,
CHEMBL62159,IC50,0.05,nM,
CHEMBL314691,IC50,22.0,nM,
CHEMBL62019,IC50,0.06,nM,
CHEMBL305602,IC50,0.1,nM,
CHEMBL62112,IC50,0.06,nM,
CHEMBL325581,IC50,0.07,nM,
CHEMBL325581,IC50,0.55,nM,
CHEMBL1205177,IC50,0.24,nM,
CHEMBL60367,IC50,0.03,nM,
CHEMBL282724,IC50,1.4,nM,
CHEMBL293398,IC50,0.09,nM,
CHEMBL293421,IC50,1.37,nM,
CHEMBL60058,IC50,0.02,nM,
CHEMBL265164,IC50,2500.0,nM,
CHEMBL414448,IC50,,nM,
CHEMBL59819,IC50,0.11,nM,
CHEMBL957,IC50,,nM,
CHEMBL957,Ki,6.5,nM,
CHEMBL438380,IC50,1800.0,nM,
CHEMBL438768,IC50,7100.0,nM,
CHEMBL61780,IC50,23.0,nM,
CHEMBL58058,IC50,1.47,nM,
CHEMBL109644,IC50,0.077,nM,
CHEMBL109644,IC50,0.14,nM,
CHEMBL9194,IC50,0.034,nM,
CHEMBL432521,IC50,0.08,nM,
CHEMBL60149,IC50,0.04,nM,
CHEMBL8978,IC50,0.26,nM,
CHEMBL299921,IC50,0.08,nM,
CHEMBL286333,IC50,5000.0,nM,
CHEMBL433039,IC50,15000.0,nM,
CHEMBL414408,IC50,150.0,nM,
CHEMBL61211,IC50,0.45,nM,
CHEMBL286214,IC50,26000.0,nM,
CHEMBL31662,IC50,350.0,nM,
CHEMBL286808,IC50,800.0,nM,
CHEMBL31469,IC50,530.0,nM,
CHEMBL112531,Ki,0.0042,nM,
CHEMBL30297,IC50,650.0,nM,
CHEMBL283200,IC50,47.0,nM,
CHEMBL286395,IC50,400.0,nM,
CHEMBL31781,IC50,25000.0,nM,
CHEMBL29265,IC50,7600.0,nM,
CHEMBL175616,Ki,81.0,nM,
CHEMBL31524,IC50,48000.0,nM,
CHEMBL433229,IC50,3900.0,nM,
CHEMBL1627022,Ki,0.015,nM,
CHEMBL286687,IC50,290.0,nM,
CHEMBL78929,IC50,140.0,nM,
CHEMBL421523,IC50,2500.0,nM,
CHEMBL76360,IC50,1500.0,nM,
CHEMBL78552,IC50,2000.0,nM,
CHEMBL417651,IC50,580.0,nM,
CHEMBL78080,IC50,79.0,nM,
CHEMBL80857,IC50,1.4,nM,
CHEMBL312685,IC50,120.0,nM,
CHEMBL78952,IC50,4200.0,nM,
CHEMBL78830,IC50,53.0,nM,
CHEMBL309692,IC50,2.8,nM,
CHEMBL310427,IC50,8.3,nM,
CHEMBL311258,IC50,9900.0,nM,
CHEMBL76779,IC50,470.0,nM,
CHEMBL78853,IC50,490.0,nM,
CHEMBL80342,IC50,110.0,nM,
CHEMBL423941,IC50,800.0,nM,
CHEMBL80538,IC50,120.0,nM,
CHEMBL311461,IC50,62.0,nM,
CHEMBL312187,IC50,72.0,nM,
CHEMBL311138,IC50,6.2,nM,
CHEMBL80129,IC50,8900.0,nM,
CHEMBL80980,IC50,110.0,nM,
CHEMBL309397,IC50,110.0,nM,
CHEMBL308521,IC50,980.0,nM,
CHEMBL311455,IC50,280.0,nM,
CHEMBL80507,IC50,550.0,nM,
CHEMBL27065,IC50,440.0,nM,
CHEMBL78499,IC50,770.0,nM,
CHEMBL76438,IC50,1400.0,nM,
CHEMBL310739,IC50,3.8,nM,
CHEMBL312372,IC50,53000.0,nM,
CHEMBL310361,IC50,160.0,nM,
CHEMBL311742,IC50,29.0,nM,
CHEMBL267458,IC50,5.8,nM,
CHEMBL80782,IC50,1.1,nM,
CHEMBL76949,IC50,430.0,nM,
CHEMBL79054,IC50,14000.0,nM,
CHEMBL80317,IC50,490.0,nM,
CHEMBL76860,IC50,140.0,nM,
CHEMBL312670,IC50,500.0,nM,
CHEMBL77090,IC50,1000.0,nM,
CHEMBL78601,IC50,10000.0,nM,
CHEMBL312266,IC50,40.0,nM,
CHEMBL311216,IC50,140.0,nM,
CHEMBL312551,IC50,990.0,nM,
CHEMBL311781,IC50,15.6,nM,
CHEMBL311510,IC50,160.0,nM,
CHEMBL80945,IC50,90000.0,nM,
CHEMBL150719,IC50,130.0,nM,
CHEMBL430822,IC50,3000.0,nM,
CHEMBL25970,IC50,14000.0,nM,
CHEMBL79066,IC50,27.0,nM,
CHEMBL78563,IC50,8.1,nM,
CHEMBL347948,IC50,15.0,nM,
CHEMBL79030,IC50,2700.0,nM,
CHEMBL78669,IC50,170.0,nM,
CHEMBL80506,IC50,620.0,nM,
CHEMBL76420,IC50,720.0,nM,
CHEMBL76576,IC50,3800.0,nM,
CHEMBL148751,IC50,30.0,nM,
CHEMBL77962,IC50,5900.0,nM,
CHEMBL80807,IC50,270.0,nM,
CHEMBL79080,IC50,19000.0,nM,
CHEMBL420029,IC50,240.0,nM,
CHEMBL76623,IC50,2900.0,nM,
CHEMBL81593,IC50,1800.0,nM,
CHEMBL80532,IC50,270.0,nM,
CHEMBL80180,IC50,840.0,nM,
CHEMBL80438,IC50,71.0,nM,
CHEMBL80484,IC50,44.0,nM,
CHEMBL453,IC50,850.0,nM,
CHEMBL79031,IC50,230.0,nM,
CHEMBL78734,IC50,13000.0,nM,
CHEMBL26522,IC50,6700.0,nM,
CHEMBL310944,IC50,1900.0,nM,
CHEMBL80808,IC50,230.0,nM,
CHEMBL147510,IC50,400.0,nM,
CHEMBL328942,IC50,15.0,nM,
CHEMBL438194,IC50,4400.0,nM,
CHEMBL437472,IC50,0.2,nM,
CHEMBL86814,IC50,2800.0,nM,
CHEMBL315047,IC50,1000.0,nM,
CHEMBL432091,IC50,50000.0,nM,
CHEMBL34540,IC50,50000.0,nM,
CHEMBL289687,IC50,9500.0,nM,
CHEMBL85341,IC50,400.0,nM,
CHEMBL317064,IC50,130.0,nM,
CHEMBL8981,IC50,0.3,nM,
CHEMBL10648,IC50,960.0,nM,
CHEMBL10648,IC50,700.0,nM,
CHEMBL10897,IC50,2000.0,nM,
CHEMBL10897,IC50,2200.0,nM,
CHEMBL10996,IC50,310.0,nM,
CHEMBL10996,IC50,170.0,nM,
CHEMBL11162,IC50,310.0,nM,
CHEMBL11162,IC50,190.0,nM,
CHEMBL10924,IC50,6.0,nM,
CHEMBL10924,IC50,2.4,nM,
CHEMBL25438,IC50,0.31,nM,
CHEMBL11131,IC50,1300.0,nM,
CHEMBL11131,IC50,600.0,nM,
CHEMBL10588,IC50,12.0,nM,
CHEMBL10588,IC50,12.0,nM,
CHEMBL273613,IC50,1200.0,nM,
CHEMBL273613,IC50,4900.0,nM,
CHEMBL11115,IC50,9.0,nM,
CHEMBL11115,IC50,1.8,nM,
CHEMBL267094,IC50,2200.0,nM,
CHEMBL267094,IC50,430.0,nM,
CHEMBL10951,IC50,750.0,nM,
CHEMBL10951,IC50,570.0,nM,
CHEMBL275991,IC50,560.0,nM,
CHEMBL275991,IC50,400.0,nM,
CHEMBL10733,IC50,140.0,nM,
CHEMBL10733,IC50,110.0,nM,
CHEMBL10374,IC50,50.0,nM,
CHEMBL10374,IC50,51.0,nM,
CHEMBL274383,IC50,50.0,nM,
CHEMBL274383,IC50,7.4,nM,
CHEMBL2369711,IC50,50000.0,nM,
CHEMBL2369709,IC50,40.0,nM,
CHEMBL1791280,IC50,13000.0,nM,
CHEMBL2369713,IC50,3200.0,nM,
CHEMBL34540,IC50,50000.0,nM,
CHEMBL432091,IC50,50000.0,nM,
CHEMBL289687,IC50,8900.0,nM,
CHEMBL1791271,IC50,14.0,nM,
CHEMBL1791272,IC50,30000.0,nM,
CHEMBL1791277,IC50,25000.0,nM,
CHEMBL2369714,IC50,50000.0,nM,
CHEMBL1791279,IC50,1800.0,nM,
CHEMBL2369710,IC50,24000.0,nM,
CHEMBL46311,Ki,2.0,nM,
CHEMBL2369712,IC50,50000.0,nM,
CHEMBL103362,IC50,25000.0,nM,
CHEMBL103362,IC50,25000.0,nM,
CHEMBL100874,IC50,5600.0,nM,
CHEMBL100874,IC50,66000.0,nM,
CHEMBL287683,IC50,0.024,nM,
CHEMBL411925,IC50,0.011,nM,
CHEMBL289634,IC50,0.011,nM,
CHEMBL36671,IC50,0.22,nM,
CHEMBL287683,IC50,0.014,nM,
CHEMBL35984,IC50,0.022,nM,
CHEMBL103572,IC50,25000.0,nM,
CHEMBL103572,IC50,25000.0,nM,
CHEMBL103731,IC50,25000.0,nM,
CHEMBL103731,IC50,76000.0,nM,
CHEMBL432856,IC50,0.014,nM,
CHEMBL286621,IC50,0.048,nM,
CHEMBL103497,IC50,2800.0,nM,
CHEMBL103497,IC50,61000.0,nM,
CHEMBL100795,IC50,900.0,nM,
CHEMBL100795,IC50,900.0,nM,
CHEMBL100795,IC50,10000.0,nM,
CHEMBL316648,IC50,8700.0,nM,
CHEMBL316648,IC50,33000.0,nM,
CHEMBL103484,IC50,20000.0,nM,
CHEMBL103484,IC50,1500.0,nM,
CHEMBL103872,IC50,25000.0,nM,
CHEMBL103872,IC50,25000.0,nM,
CHEMBL330414,IC50,2200.0,nM,
CHEMBL330414,IC50,4600.0,nM,
CHEMBL36627,IC50,0.047,nM,
CHEMBL291247,IC50,0.41,nM,
CHEMBL290181,IC50,0.11,nM,
CHEMBL289216,IC50,0.057,nM,
CHEMBL288247,IC50,0.059,nM,
CHEMBL99963,IC50,25000.0,nM,
CHEMBL99963,IC50,25000.0,nM,
CHEMBL411925,IC50,0.045,nM,
CHEMBL288247,IC50,0.041,nM,
CHEMBL103573,IC50,25000.0,nM,
CHEMBL103573,IC50,25000.0,nM,
CHEMBL103975,IC50,25000.0,nM,
CHEMBL103975,IC50,25000.0,nM,
CHEMBL102494,IC50,7300.0,nM,
CHEMBL102494,IC50,11000.0,nM,
CHEMBL102494,IC50,12000.0,nM,
CHEMBL320236,IC50,2800.0,nM,
CHEMBL320236,IC50,4300.0,nM,
CHEMBL320236,IC50,5800.0,nM,
CHEMBL100756,IC50,25000.0,nM,
CHEMBL100756,IC50,25000.0,nM,
CHEMBL38000,IC50,0.74,nM,
CHEMBL287517,IC50,0.8,nM,
CHEMBL100120,IC50,8500.0,nM,
CHEMBL100120,IC50,7900.0,nM,
CHEMBL100120,IC50,77000.0,nM,
CHEMBL289634,IC50,0.025,nM,
CHEMBL319679,IC50,25000.0,nM,
CHEMBL319679,IC50,25000.0,nM,
CHEMBL289216,IC50,0.036,nM,
CHEMBL287711,IC50,0.062,nM,
CHEMBL316650,IC50,25000.0,nM,
CHEMBL316650,IC50,25000.0,nM,
CHEMBL103631,IC50,25000.0,nM,
CHEMBL103631,IC50,25000.0,nM,
CHEMBL103886,IC50,13000.0,nM,
CHEMBL103886,IC50,37000.0,nM,
CHEMBL287622,IC50,0.031,nM,
CHEMBL101239,IC50,8200.0,nM,
CHEMBL101239,IC50,34000.0,nM,
CHEMBL37920,IC50,0.065,nM,
CHEMBL103969,IC50,25000.0,nM,
CHEMBL103969,IC50,25000.0,nM,
CHEMBL101292,IC50,25000.0,nM,
CHEMBL101292,IC50,25000.0,nM,
CHEMBL37973,IC50,0.86,nM,
CHEMBL286621,IC50,0.011,nM,
CHEMBL103308,IC50,25000.0,nM,
CHEMBL103308,IC50,25000.0,nM,
CHEMBL102348,IC50,25000.0,nM,
CHEMBL102348,IC50,25000.0,nM,
CHEMBL316792,IC50,7500.0,nM,
CHEMBL316792,IC50,57000.0,nM,
CHEMBL100005,IC50,25000.0,nM,
CHEMBL100005,IC50,25000.0,nM,
CHEMBL37427,IC50,0.027,nM,
CHEMBL268174,IC50,7.943,nM,
CHEMBL176997,IC50,261.0,nM,
CHEMBL174781,IC50,1320.0,nM,
CHEMBL6400,IC50,3162.28,nM,
CHEMBL269237,IC50,3981.07,nM,
CHEMBL6576,IC50,1995.26,nM,
CHEMBL277275,IC50,1317.0,nM,
CHEMBL6433,IC50,1584.89,nM,
CHEMBL172297,IC50,14.0,nM,
CHEMBL368617,IC50,48.0,nM,
CHEMBL172759,IC50,587.0,nM,
CHEMBL177538,IC50,82.0,nM,
CHEMBL367275,IC50,724.0,nM,
CHEMBL266277,IC50,251.19,nM,
CHEMBL6412,IC50,10.0,nM,
CHEMBL367444,IC50,22.0,nM,
CHEMBL368945,IC50,2190.0,nM,
CHEMBL415292,IC50,1258.93,nM,
CHEMBL176749,IC50,119.0,nM,
CHEMBL7019,IC50,630.96,nM,
CHEMBL6624,IC50,316.23,nM,
CHEMBL368528,IC50,582.0,nM,
CHEMBL6463,IC50,1584.89,nM,
CHEMBL25344,Ki,6.0,nM,
CHEMBL266315,IC50,1995.26,nM,
CHEMBL268339,IC50,125.89,nM,
CHEMBL368107,IC50,116.0,nM,
CHEMBL6553,IC50,158.49,nM,
CHEMBL6630,IC50,1995.26,nM,
CHEMBL172071,IC50,50.0,nM,
CHEMBL171950,IC50,80.0,nM,
CHEMBL367017,IC50,2838.0,nM,
CHEMBL366628,IC50,2193.0,nM,
CHEMBL437,IC50,69000.0,nM,
CHEMBL415106,IC50,398.11,nM,
CHEMBL175268,IC50,1050.0,nM,
CHEMBL174547,IC50,1850.0,nM,
CHEMBL24906,Ki,160.0,nM,
CHEMBL172441,IC50,8390.0,nM,
CHEMBL173201,IC50,5115.0,nM,
CHEMBL277447,Ki,0.01,nM,
CHEMBL6399,IC50,1000.0,nM,
CHEMBL6647,IC50,5011.87,nM,
CHEMBL263079,IC50,2.512,nM,
CHEMBL6785,IC50,12.59,nM,
CHEMBL172029,IC50,487.0,nM,
CHEMBL276949,IC50,86.0,nM,
CHEMBL174413,IC50,185.0,nM,
CHEMBL268116,IC50,316.23,nM,
CHEMBL367274,IC50,1385.0,nM,
CHEMBL6382,IC50,630.96,nM,
CHEMBL367443,IC50,77.0,nM,
CHEMBL267458,IC50,50.12,nM,
CHEMBL6468,IC50,6309.57,nM,
CHEMBL176418,IC50,4900.0,nM,
CHEMBL266684,IC50,5011.87,nM,
CHEMBL6583,IC50,1258.93,nM,
CHEMBL6588,IC50,501.19,nM,
CHEMBL367958,IC50,19.0,nM,
CHEMBL369676,IC50,140.0,nM,
CHEMBL283637,Ki,250.0,nM,
CHEMBL6566,IC50,10000.0,nM,
CHEMBL366872,IC50,1591.0,nM,
CHEMBL6411,IC50,1584.89,nM,
CHEMBL6660,IC50,5011.87,nM,
CHEMBL6555,IC50,15.85,nM,
CHEMBL172030,IC50,64.0,nM,
CHEMBL368738,IC50,51.0,nM,
CHEMBL267458,IC50,150.0,nM,
CHEMBL6778,IC50,7943.28,nM,
CHEMBL6543,IC50,2511.89,nM,
CHEMBL177802,IC50,45.0,nM,
CHEMBL453,IC50,780.0,nM,
CHEMBL24461,Ki,1.4,nM,
CHEMBL6800,IC50,63.1,nM,
CHEMBL366627,IC50,2770.0,nM,
CHEMBL6761,IC50,199.53,nM,
CHEMBL268387,IC50,1584.89,nM,
CHEMBL6297,IC50,251.19,nM,
CHEMBL27617,IC50,84.0,nM,
CHEMBL9141,IC50,45.3,nM,
CHEMBL283598,IC50,100.0,nM,
CHEMBL8978,Ki,0.13,nM,
CHEMBL332794,IC50,9900.0,nM,
CHEMBL428504,Ki,63.0,nM,
CHEMBL111612,IC50,24900.0,nM,
CHEMBL111612,Ki,0.46,nM,
CHEMBL416019,IC50,23000.0,nM,
CHEMBL306123,IC50,2400.0,nM,
CHEMBL8981,Ki,0.17,nM,
CHEMBL332431,IC50,50.0,nM,
CHEMBL123997,IC50,15.0,nM,
CHEMBL123926,IC50,61.0,nM,
CHEMBL305524,IC50,6.4,nM,
CHEMBL120106,IC50,25.0,nM,
CHEMBL332093,IC50,190.0,nM,
CHEMBL287169,IC50,2.0,nM,
CHEMBL287169,IC50,4.6,nM,
CHEMBL2304017,IC50,6200.0,nM,
CHEMBL123305,IC50,12.0,nM,
CHEMBL10143,IC50,6000.0,nM,
CHEMBL10143,IC50,8800.0,nM,
CHEMBL331625,IC50,4200.0,nM,
CHEMBL27911,IC50,5900.0,nM,
CHEMBL9194,Ki,0.034,nM,
CHEMBL339657,IC50,45.0,nM,
CHEMBL110053,IC50,0.17,nM,
CHEMBL332231,IC50,16.0,nM,
CHEMBL28920,IC50,7.0,nM,
CHEMBL28920,IC50,64.0,nM,
CHEMBL2304006,IC50,8.6,nM,
CHEMBL332627,IC50,920.0,nM,
CHEMBL109778,IC50,0.29,nM,
CHEMBL109926,IC50,0.29,nM,
CHEMBL331758,IC50,840.0,nM,
CHEMBL332794,IC50,8200.0,nM,
CHEMBL267458,Ki,48.0,nM,
CHEMBL28779,IC50,380.0,nM,
CHEMBL267458,Ki,48.0,nM,
CHEMBL122111,IC50,33.0,nM,
CHEMBL109648,Ki,0.13,nM,
CHEMBL281451,IC50,81.0,nM,
CHEMBL111277,IC50,0.08,nM,
CHEMBL435185,IC50,100.0,nM,
CHEMBL285368,IC50,20.0,nM,
CHEMBL285368,IC50,33.0,nM,
CHEMBL326059,Ki,0.43,nM,
CHEMBL28188,IC50,160.0,nM,
CHEMBL339657,IC50,89.0,nM,
CHEMBL322537,IC50,1.06,nM,
CHEMBL416570,IC50,58.0,nM,
CHEMBL9194,IC50,0.08,nM,
CHEMBL331767,IC50,33.0,nM,
CHEMBL25438,Ki,0.17,nM,
CHEMBL282398,IC50,590.0,nM,
CHEMBL283858,IC50,170.0,nM,
CHEMBL428661,Ki,6.5,nM,
CHEMBL266594,IC50,21.3,nM,
CHEMBL332387,IC50,200.0,nM,
CHEMBL2370534,IC50,18.0,nM,
CHEMBL8923,IC50,0.11,nM,
CHEMBL8923,Ki,0.069,nM,
CHEMBL333972,IC50,22.0,nM,
CHEMBL331066,IC50,11000.0,nM,
CHEMBL431651,Ki,1.1,nM,
CHEMBL282426,IC50,380.0,nM,
CHEMBL2304015,IC50,2.9,nM,
CHEMBL123077,IC50,160.0,nM,
CHEMBL435385,IC50,340.0,nM,
CHEMBL331625,IC50,3700.0,nM,
CHEMBL323951,IC50,1.0,nM,
CHEMBL9139,IC50,0.55,nM,
CHEMBL307936,IC50,3.0,nM,
CHEMBL267695,IC50,4.88,nM,
CHEMBL8823,Ki,0.43,nM,
CHEMBL29147,IC50,620.0,nM,
CHEMBL29147,IC50,3400.0,nM,
CHEMBL435568,IC50,2500.0,nM,
CHEMBL435385,IC50,910.0,nM,
CHEMBL28948,IC50,4600.0,nM,
CHEMBL28563,IC50,41.0,nM,
CHEMBL28563,IC50,65.0,nM,
CHEMBL73925,IC50,13.0,nM,
CHEMBL9334,IC50,0.81,nM,
CHEMBL333009,IC50,1500.0,nM,
CHEMBL27732,IC50,5.0,nM,
CHEMBL27732,IC50,100.0,nM,
CHEMBL122832,IC50,16.0,nM,
CHEMBL283648,IC50,86.0,nM,
CHEMBL285380,IC50,20000.0,nM,
CHEMBL421073,IC50,15.0,nM,
CHEMBL420729,IC50,10.0,nM,
CHEMBL432974,IC50,0.29,nM,
CHEMBL417978,IC50,19.0,nM,
CHEMBL10781,IC50,0.5,nM,
CHEMBL275991,IC50,400.0,nM,
CHEMBL173557,IC50,513.0,nM,
CHEMBL10922,IC50,0.98,nM,
CHEMBL273613,IC50,4900.0,nM,
CHEMBL10733,IC50,110.0,nM,
CHEMBL274307,IC50,90.0,nM,
CHEMBL275559,IC50,8.2,nM,
CHEMBL276018,IC50,70.0,nM,
CHEMBL10676,IC50,43.0,nM,
CHEMBL417067,IC50,0.12,nM,
CHEMBL273948,IC50,13.0,nM,
CHEMBL267094,IC50,430.0,nM,
