molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL170335,IC50,21000.0,nM,
CHEMBL170335,IC50,41000.0,nM,
CHEMBL175228,IC50,54000.0,nM,
CHEMBL174699,IC50,100000.0,nM,
CHEMBL367033,IC50,100000.0,nM,
CHEMBL369821,IC50,100000.0,nM,
CHEMBL353320,IC50,100000.0,nM,
CHEMBL177546,IC50,48000.0,nM,
CHEMBL170446,IC50,25000.0,nM,
CHEMBL174448,IC50,34000.0,nM,
CHEMBL177839,IC50,100000.0,nM,
CHEMBL367645,IC50,100000.0,nM,
CHEMBL353502,IC50,70000.0,nM,
CHEMBL353502,IC50,148000.0,nM,
CHEMBL170450,IC50,25000.0,nM,
CHEMBL366805,IC50,100000.0,nM,
CHEMBL368629,IC50,79000.0,nM,
CHEMBL177179,IC50,100000.0,nM,
CHEMBL173059,IC50,50000.0,nM,
CHEMBL173059,IC50,73000.0,nM,
CHEMBL414605,IC50,20000.0,nM,
CHEMBL174871,IC50,90000.0,nM,
CHEMBL441112,IC50,100000.0,nM,
CHEMBL173336,IC50,25000.0,nM,
CHEMBL175698,IC50,90000.0,nM,
CHEMBL278176,IC50,60.0,nM,
CHEMBL305270,Ki,160.0,nM,
CHEMBL302753,Ki,195.0,nM,
CHEMBL303390,Ki,1300.0,nM,
CHEMBL64009,Ki,1300.0,nM,
CHEMBL418326,Ki,1100.0,nM,
CHEMBL65833,Ki,1300.0,nM,
CHEMBL303034,Ki,1000.0,nM,
CHEMBL304778,Ki,2500.0,nM,
CHEMBL305980,Ki,57.0,nM,
CHEMBL305980,Ki,24.5,nM,
CHEMBL66893,Ki,2500.0,nM,
CHEMBL63648,Ki,3500.0,nM,
CHEMBL67536,Ki,1800.0,nM,
CHEMBL302564,Ki,56.0,nM,
CHEMBL302564,Ki,20.4,nM,
CHEMBL304721,Ki,970.0,nM,
CHEMBL303631,Ki,29.0,nM,
CHEMBL303631,Ki,19.7,nM,
CHEMBL303501,Ki,6000.0,nM,
CHEMBL306218,Ki,1900.0,nM,
CHEMBL25344,Ki,1000.0,nM,
CHEMBL25344,Ki,371.0,nM,
CHEMBL67084,Ki,1700.0,nM,
CHEMBL66402,Ki,1500.0,nM,
CHEMBL67957,Ki,4700.0,nM,
CHEMBL304173,Ki,1400.0,nM,
