molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL210288,Ki,17.0,nM,
CHEMBL387401,Ki,89.0,nM,
CHEMBL211169,Ki,52.0,nM,
CHEMBL212729,Ki,150.0,nM,
CHEMBL209480,Ki,596.0,nM,
CHEMBL378695,Ki,10000.0,nM,
CHEMBL209737,Ki,850.0,nM,
CHEMBL378877,Ki,437.0,nM,
CHEMBL212224,Ki,1000.0,nM,
CHEMBL425250,Ki,790.0,nM,
CHEMBL211398,Ki,26.0,nM,
CHEMBL209481,Ki,87.0,nM,
CHEMBL209497,Ki,5.0,nM,
CHEMBL209498,Ki,8.0,nM,
CHEMBL377468,Ki,29.0,nM,
CHEMBL378825,Ki,21.0,nM,
CHEMBL211031,Ki,49.0,nM,
CHEMBL209476,Ki,45.0,nM,
CHEMBL378991,Ki,15.0,nM,
CHEMBL211522,Ki,290.0,nM,
CHEMBL209642,Ki,27.0,nM,
CHEMBL383941,Ki,38.0,nM,
CHEMBL209730,Ki,89.0,nM,
CHEMBL211467,Ki,78.0,nM,
CHEMBL213893,Ki,34.0,nM,
CHEMBL377328,Ki,70.0,nM,
CHEMBL210288,Ki,17.0,nM,
CHEMBL499179,Kd,69.0,nM,
CHEMBL506210,Kd,,,
CHEMBL499980,Kd,315.0,nM,
CHEMBL503473,Kd,15.0,nM,
CHEMBL526003,Kd,40.0,nM,
CHEMBL503924,Kd,,,
CHEMBL2309599,Kd,,,
CHEMBL1560229,IC50,29913.0,nM,
CHEMBL1604200,IC50,330.65,nM,
CHEMBL1717339,IC50,626.1,nM,
CHEMBL2355112,IC50,400.33,nM,
CHEMBL1603519,IC50,29907.0,nM,
CHEMBL1403484,IC50,1125.0,nM,
CHEMBL1494282,IC50,546.97,nM,
CHEMBL1591058,IC50,29913.0,nM,
CHEMBL2130641,IC50,3974.0,nM,
CHEMBL1425552,IC50,322.09,nM,
CHEMBL2359888,IC50,14489.0,nM,
CHEMBL1369262,IC50,1665.0,nM,
CHEMBL1379369,IC50,29910.0,nM,
CHEMBL2138280,IC50,123.23,nM,
CHEMBL1516566,IC50,2696.0,nM,
CHEMBL1487720,IC50,873.62,nM,
CHEMBL1386344,IC50,142.05,nM,
CHEMBL1364108,IC50,1535.0,nM,
CHEMBL1425860,IC50,12965.0,nM,
CHEMBL1386646,IC50,1723.0,nM,
CHEMBL3214310,IC50,3390.0,nM,
