molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL41454,IC50,10.0,nM,
CHEMBL288046,IC50,2800.0,nM,
CHEMBL434396,IC50,1800.0,nM,
CHEMBL290161,IC50,10.0,nM,
CHEMBL38616,IC50,8620.0,nM,
CHEMBL38438,IC50,1700.0,nM,
CHEMBL37194,IC50,510.0,nM,
CHEMBL41540,IC50,10.0,nM,
CHEMBL287729,IC50,10.0,nM,
CHEMBL39805,IC50,2100.0,nM,
CHEMBL43455,IC50,3900.0,nM,
CHEMBL289844,IC50,960.0,nM,
CHEMBL38567,IC50,1600.0,nM,
CHEMBL38615,IC50,990.0,nM,
CHEMBL38974,IC50,2600.0,nM,
CHEMBL38941,IC50,830.0,nM,
CHEMBL41518,IC50,42.0,nM,
CHEMBL288523,IC50,1100.0,nM,
CHEMBL288901,IC50,2100.0,nM,
CHEMBL39096,IC50,1200.0,nM,
CHEMBL418059,IC50,3900.0,nM,
CHEMBL432477,IC50,10.0,nM,
CHEMBL290760,IC50,2400.0,nM,
CHEMBL38595,IC50,103.0,nM,
CHEMBL43631,IC50,24.0,nM,
CHEMBL41936,IC50,650.0,nM,
CHEMBL288838,IC50,10.0,nM,
CHEMBL288449,IC50,10.0,nM,
CHEMBL41268,IC50,1400.0,nM,
CHEMBL39117,IC50,4200.0,nM,
CHEMBL43082,IC50,4800.0,nM,
CHEMBL41515,IC50,5500.0,nM,
CHEMBL41682,IC50,8600.0,nM,
CHEMBL41951,IC50,1100.0,nM,
CHEMBL317520,IC50,11000.0,nM,
CHEMBL98974,IC50,41000.0,nM,
CHEMBL97973,IC50,11000.0,nM,
CHEMBL101564,IC50,19000.0,nM,
CHEMBL102107,IC50,2800.0,nM,
CHEMBL430478,IC50,50000.0,nM,
CHEMBL318943,IC50,15000.0,nM,
CHEMBL322007,IC50,50000.0,nM,
CHEMBL99371,IC50,20000.0,nM,
CHEMBL100566,IC50,20000.0,nM,
CHEMBL101708,IC50,20000.0,nM,
CHEMBL101467,IC50,19000.0,nM,
CHEMBL101509,IC50,50000.0,nM,
CHEMBL98553,IC50,3600.0,nM,
CHEMBL316502,IC50,40000.0,nM,
CHEMBL418982,IC50,14000.0,nM,
CHEMBL327946,IC50,50000.0,nM,
CHEMBL327500,IC50,15000.0,nM,
CHEMBL319737,IC50,28000.0,nM,
CHEMBL100661,IC50,2700.0,nM,
CHEMBL99381,IC50,42000.0,nM,
CHEMBL98711,IC50,4600.0,nM,
CHEMBL327506,IC50,24000.0,nM,
CHEMBL100579,IC50,46000.0,nM,
CHEMBL98147,IC50,50000.0,nM,
CHEMBL101978,IC50,16000.0,nM,
CHEMBL318438,IC50,11000.0,nM,
CHEMBL312137,IC50,3400.0,nM,
CHEMBL317129,IC50,50000.0,nM,
CHEMBL99323,IC50,50000.0,nM,
CHEMBL102031,IC50,36000.0,nM,
CHEMBL100798,IC50,12000.0,nM,
CHEMBL420833,IC50,48000.0,nM,
CHEMBL99435,IC50,20000.0,nM,
CHEMBL100230,IC50,41000.0,nM,
CHEMBL99205,IC50,6500.0,nM,
CHEMBL101788,IC50,50000.0,nM,
CHEMBL98314,IC50,7400.0,nM,
CHEMBL327278,IC50,880.0,nM,
CHEMBL99650,IC50,50000.0,nM,
CHEMBL98361,IC50,5100.0,nM,
CHEMBL97925,IC50,46000.0,nM,
CHEMBL100640,IC50,31000.0,nM,
CHEMBL101561,IC50,11000.0,nM,
CHEMBL101106,IC50,50000.0,nM,
CHEMBL329067,IC50,12000.0,nM,
CHEMBL317747,IC50,1500.0,nM,
CHEMBL316726,IC50,6500.0,nM,
CHEMBL23753,IC50,40.0,nM,
CHEMBL26492,IC50,1800.0,nM,
CHEMBL22703,IC50,870.0,nM,
CHEMBL24123,IC50,430.0,nM,
CHEMBL24822,IC50,240.0,nM,
CHEMBL22702,IC50,4100.0,nM,
CHEMBL24048,IC50,360.0,nM,
CHEMBL24159,IC50,83000.0,nM,
CHEMBL26511,IC50,10000.0,nM,
CHEMBL23370,IC50,18.0,nM,
CHEMBL24271,IC50,3.1,nM,
CHEMBL25621,IC50,1200.0,nM,
CHEMBL24043,IC50,2400.0,nM,
CHEMBL23578,IC50,1100.0,nM,
CHEMBL22702,IC50,4100.0,nM,
CHEMBL26068,IC50,740.0,nM,
CHEMBL24554,IC50,16.0,nM,
CHEMBL277646,IC50,100.0,nM,
CHEMBL25620,IC50,5600.0,nM,
CHEMBL24733,IC50,10.0,nM,
CHEMBL418018,IC50,92.0,nM,
CHEMBL282349,IC50,210.0,nM,
CHEMBL283051,IC50,9.5,nM,
