molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL53670,Ki,8.0,nM,
CHEMBL282748,IC50,54.0,nM,
CHEMBL279433,EC50,6800.0,nM,
CHEMBL294888,IC50,3.6,nM,
CHEMBL30858,IC50,62000.0,nM,
CHEMBL27677,IC50,1300.0,nM,
CHEMBL31031,IC50,18000.0,nM,
CHEMBL30270,IC50,52000.0,nM,
CHEMBL31828,IC50,199000.0,nM,
CHEMBL30646,IC50,136.0,nM,
CHEMBL55527,IC50,100000.0,nM,
CHEMBL29619,IC50,10000.0,nM,
CHEMBL26720,IC50,400.0,nM,
CHEMBL282814,IC50,1600.0,nM,
CHEMBL29980,IC50,1600.0,nM,
CHEMBL280847,IC50,600.0,nM,
CHEMBL30118,IC50,161000.0,nM,
CHEMBL292164,IC50,100000.0,nM,
CHEMBL27518,IC50,,nM,
CHEMBL284637,IC50,1500.0,nM,
CHEMBL28367,IC50,44.0,nM,
CHEMBL285129,IC50,6100.0,nM,
CHEMBL29503,IC50,1400.0,nM,
CHEMBL29499,IC50,10000.0,nM,
CHEMBL282161,IC50,540.0,nM,
CHEMBL30670,IC50,809.0,nM,
CHEMBL71714,IC50,35000.0,nM,
CHEMBL282297,IC50,4000.0,nM,
CHEMBL29633,IC50,1300.0,nM,
CHEMBL279433,IC50,98000.0,nM,
CHEMBL30925,IC50,15000.0,nM,
CHEMBL29769,IC50,290000.0,nM,
CHEMBL283203,IC50,1300.0,nM,
CHEMBL26246,IC50,38.0,nM,
CHEMBL27143,IC50,,nM,
CHEMBL30059,IC50,4500.0,nM,
CHEMBL53732,IC50,100000.0,nM,
CHEMBL417600,IC50,100000.0,nM,
CHEMBL301667,IC50,43600.0,nM,
CHEMBL417113,IC50,,nM,
CHEMBL418036,IC50,700.0,nM,
CHEMBL30349,IC50,20000.0,nM,
CHEMBL72126,IC50,100000.0,nM,
CHEMBL71370,IC50,100000.0,nM,
CHEMBL26923,IC50,32.0,nM,
CHEMBL26771,IC50,210.0,nM,
CHEMBL25861,IC50,,nM,
CHEMBL306793,IC50,140000.0,nM,
CHEMBL27449,IC50,55.0,nM,
CHEMBL282748,IC50,,nM,
CHEMBL27002,IC50,150.0,nM,
CHEMBL430073,IC50,4000.0,nM,
CHEMBL439917,IC50,12000.0,nM,
CHEMBL282103,IC50,240.0,nM,
CHEMBL281738,IC50,90.0,nM,
CHEMBL281695,IC50,65.0,nM,
CHEMBL31610,IC50,155.0,nM,
CHEMBL69076,IC50,100000.0,nM,
CHEMBL282166,IC50,2700.0,nM,
CHEMBL28325,IC50,7.3,nM,
CHEMBL26637,IC50,,nM,
CHEMBL28266,IC50,,nM,
CHEMBL29980,IC50,1600.0,nM,
CHEMBL280976,IC50,3500.0,nM,
CHEMBL355301,IC50,20000.0,nM,
CHEMBL424564,IC50,0.2,nM,
CHEMBL151655,IC50,8700.0,nM,
CHEMBL356470,IC50,20000.0,nM,
CHEMBL59465,IC50,17000.0,nM,
CHEMBL28808,IC50,28200.0,nM,
CHEMBL28808,IC50,10800.0,nM,
CHEMBL351706,IC50,1300.0,nM,
CHEMBL351706,IC50,2300.0,nM,
CHEMBL292568,IC50,6200.0,nM,
