molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3335788,IC50,316.23,nM,
CHEMBL3805703,IC50,6300.0,nM,
CHEMBL3806183,IC50,16000.0,nM,
CHEMBL3805460,IC50,3200.0,nM,
CHEMBL3804930,IC50,790.0,nM,
CHEMBL3804924,IC50,16000.0,nM,
CHEMBL3805765,IC50,2000.0,nM,
CHEMBL3805806,IC50,400000.0,nM,
CHEMBL3805752,IC50,400000.0,nM,
CHEMBL3805753,IC50,790.0,nM,
CHEMBL3806250,IC50,2000.0,nM,
CHEMBL3805148,IC50,100.0,nM,
CHEMBL3805598,IC50,320.0,nM,
CHEMBL3805905,IC50,25.0,nM,
CHEMBL3805398,IC50,100.0,nM,
CHEMBL3806069,IC50,130.0,nM,
CHEMBL3805734,IC50,50.0,nM,
CHEMBL3806028,IC50,630.0,nM,
CHEMBL3805205,IC50,10.0,nM,
CHEMBL3804841,IC50,25.0,nM,
CHEMBL3806132,IC50,40.0,nM,
CHEMBL3804874,IC50,130.0,nM,
CHEMBL3805653,IC50,25.0,nM,
CHEMBL3806103,IC50,7.9,nM,
CHEMBL3806095,IC50,50.0,nM,
CHEMBL3805459,IC50,130.0,nM,
CHEMBL3805905,IC50,200.0,nM,
CHEMBL3805653,IC50,470.0,nM,
CHEMBL3805459,IC50,520.0,nM,
CHEMBL3805703,Ki,2900.0,nM,
CHEMBL1096979,IC50,5520.0,nM,
CHEMBL4435293,IC50,31200.0,nM,
CHEMBL4557294,IC50,34600.0,nM,
CHEMBL4447523,IC50,9800.0,nM,
CHEMBL4476790,IC50,50000.0,nM,
CHEMBL4441499,IC50,50000.0,nM,
CHEMBL4592431,IC50,50000.0,nM,
CHEMBL4559740,IC50,50000.0,nM,
CHEMBL4440088,IC50,50000.0,nM,
CHEMBL4474580,IC50,4800.0,nM,
CHEMBL4531651,IC50,50000.0,nM,
CHEMBL4580347,IC50,50000.0,nM,
CHEMBL4466819,IC50,9360.0,nM,
CHEMBL4435724,IC50,50000.0,nM,
CHEMBL4458194,IC50,50000.0,nM,
CHEMBL4452036,IC50,50000.0,nM,
CHEMBL4565147,IC50,50000.0,nM,
CHEMBL4473377,IC50,50000.0,nM,
CHEMBL4573718,IC50,50000.0,nM,
CHEMBL4437763,IC50,50000.0,nM,
CHEMBL4439269,IC50,26080.0,nM,
CHEMBL4457024,IC50,50000.0,nM,
CHEMBL4440743,IC50,50000.0,nM,
CHEMBL4448145,IC50,50000.0,nM,
CHEMBL186141,IC50,50000.0,nM,
CHEMBL4466819,Kd,5120.0,nM,
