molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL4435293,Km,310000.0,nM,
CHEMBL4557294,Km,290000.0,nM,
CHEMBL4447523,Km,430000.0,nM,
CHEMBL4466819,Vmax,0.012,optical density/minute,
CHEMBL4466819,Vmax,0.007,optical density/minute,
CHEMBL4466819,Vmax,0.005,optical density/minute,
CHEMBL4466819,Km,1277000.0,nM,
CHEMBL4466819,Km,1277000.0,nM,
CHEMBL4466819,Km,1206000.0,nM,
CHEMBL4466819,Vmax,0.007,optical density/minute,
CHEMBL4466819,Vmax,0.005,optical density/minute,
CHEMBL4466819,Vmax,0.004,optical density/minute,
CHEMBL4466819,Km,685000.0,nM,
CHEMBL4466819,Km,695000.0,nM,
CHEMBL4466819,Km,657000.0,nM,
