molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL191802,EC50,3200.0,nM,
CHEMBL194232,EC50,10000.0,nM,
CHEMBL192027,EC50,10000.0,nM,
CHEMBL193157,EC50,10000.0,nM,
CHEMBL195295,EC50,10000.0,nM,
CHEMBL372883,EC50,10000.0,nM,
CHEMBL372361,EC50,4220.0,nM,
CHEMBL195299,EC50,10000.0,nM,
CHEMBL371462,EC50,910.0,nM,
CHEMBL193349,EC50,10000.0,nM,
CHEMBL381434,EC50,570.0,nM,
CHEMBL194102,EC50,400.0,nM,
CHEMBL373364,EC50,90.0,nM,
CHEMBL194499,EC50,650.0,nM,
CHEMBL195431,EC50,170.0,nM,
CHEMBL193757,EC50,1260.0,nM,
CHEMBL193718,EC50,1780.0,nM,
CHEMBL372860,EC50,130.0,nM,
CHEMBL373339,EC50,90.0,nM,
CHEMBL195128,EC50,290.0,nM,
CHEMBL194137,EC50,420.0,nM,
CHEMBL191239,EC50,100.0,nM,
CHEMBL195121,EC50,1330.0,nM,
CHEMBL379153,EC50,110.0,nM,
CHEMBL439344,EC50,90.0,nM,
CHEMBL205816,EC50,20.0,nM,
CHEMBL206986,EC50,5510.0,nM,
CHEMBL210838,EC50,610.0,nM,
CHEMBL208197,EC50,950.0,nM,
CHEMBL489514,EC50,420.0,nM,
CHEMBL491325,EC50,7300.0,nM,
CHEMBL473760,EC50,700.0,nM,
CHEMBL474626,EC50,19000.0,nM,
CHEMBL474632,EC50,2400.0,nM,
CHEMBL514512,EC50,6300.0,nM,
CHEMBL474011,EC50,21000.0,nM,
CHEMBL474012,EC50,3200.0,nM,
CHEMBL516371,EC50,8200.0,nM,
CHEMBL474013,EC50,5900.0,nM,
CHEMBL474858,EC50,5500.0,nM,
CHEMBL474859,EC50,18000.0,nM,
CHEMBL475031,EC50,29000.0,nM,
CHEMBL475032,EC50,2200.0,nM,
CHEMBL475033,EC50,5400.0,nM,
CHEMBL514955,EC50,30000.0,nM,
CHEMBL474204,EC50,30000.0,nM,
CHEMBL474050,EC50,11000.0,nM,
CHEMBL475229,EC50,2400.0,nM,
CHEMBL475057,EC50,2100.0,nM,
CHEMBL475058,EC50,1100.0,nM,
CHEMBL483817,EC50,1100.0,nM,
CHEMBL483818,EC50,420.0,nM,
CHEMBL484018,EC50,1100.0,nM,
CHEMBL484019,EC50,330.0,nM,
CHEMBL489514,EC50,140.0,nM,
CHEMBL491325,EC50,1500.0,nM,
CHEMBL473760,EC50,130.0,nM,
CHEMBL474626,EC50,800.0,nM,
CHEMBL474632,EC50,450.0,nM,
CHEMBL514512,EC50,2200.0,nM,
CHEMBL474011,EC50,4200.0,nM,
CHEMBL474012,EC50,820.0,nM,
CHEMBL516371,EC50,2300.0,nM,
CHEMBL474013,EC50,6400.0,nM,
CHEMBL474858,EC50,1100.0,nM,
CHEMBL474859,EC50,1100.0,nM,
CHEMBL475031,EC50,3400.0,nM,
CHEMBL475032,EC50,490.0,nM,
CHEMBL475033,EC50,1900.0,nM,
CHEMBL514955,EC50,30000.0,nM,
CHEMBL474204,EC50,30000.0,nM,
CHEMBL474050,EC50,1900.0,nM,
CHEMBL475229,EC50,2100.0,nM,
CHEMBL475057,EC50,440.0,nM,
CHEMBL475058,EC50,610.0,nM,
CHEMBL483817,EC50,940.0,nM,
CHEMBL483818,EC50,350.0,nM,
CHEMBL484018,EC50,90.0,nM,
CHEMBL484019,EC50,130.0,nM,
CHEMBL446928,EC50,11000.0,nM,
CHEMBL446928,EC50,2600.0,nM,
CHEMBL474748,EC50,6500.0,nM,
CHEMBL474748,EC50,1400.0,nM,
CHEMBL474749,EC50,30000.0,nM,
CHEMBL474749,EC50,30000.0,nM,
CHEMBL474750,EC50,30000.0,nM,
CHEMBL474750,EC50,30000.0,nM,
CHEMBL212529,EC50,17000.0,nM,
CHEMBL212529,EC50,6300.0,nM,
CHEMBL474677,EC50,6800.0,nM,
CHEMBL474677,EC50,1700.0,nM,
CHEMBL473760,EC50,700.0,nM,
CHEMBL473760,EC50,130.0,nM,
CHEMBL474352,EC50,260.0,nM,
CHEMBL474352,EC50,100.0,nM,
CHEMBL474353,EC50,600.0,nM,
CHEMBL474353,EC50,140.0,nM,
CHEMBL474354,EC50,1700.0,nM,
CHEMBL474354,EC50,400.0,nM,
