molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL573983,Vmax,19.0,uM,
CHEMBL2311574,Vmax,130.0,%,
CHEMBL2430862,Vmax,117.0,%,
CHEMBL2430861,Vmax,125.0,%,
CHEMBL2430860,Vmax,65.0,%,
CHEMBL2430859,Vmax,77.0,%,
CHEMBL2430858,Vmax,75.0,%,
CHEMBL2430857,Vmax,86.0,%,
CHEMBL2430856,Vmax,85.0,%,
CHEMBL2430855,Vmax,95.0,%,
CHEMBL2430854,Vmax,106.0,%,
CHEMBL2430853,Vmax,91.0,%,
CHEMBL2430852,Vmax,106.0,%,
CHEMBL2430851,Vmax,96.0,%,
CHEMBL2430867,Vmax,85.0,%,
CHEMBL2430866,Vmax,88.0,%,
CHEMBL2430865,Vmax,67.0,%,
CHEMBL2430864,Vmax,72.0,%,
CHEMBL2430863,Vmax,84.0,%,
CHEMBL2430868,Vmax,79.0,%,
CHEMBL3235164,Vmax,150.0,%,
CHEMBL3358425,Km,660000.0,nM,
CHEMBL3358426,Km,880000.0,nM,
CHEMBL3358427,Km,870000.0,nM,
CHEMBL3358428,Km,820000.0,nM,
CHEMBL3358430,Km,850000.0,nM,
CHEMBL3358431,Km,820000.0,nM,
CHEMBL3358432,Km,760000.0,nM,
CHEMBL3358433,Km,850000.0,nM,
CHEMBL3358434,Km,860000.0,nM,
CHEMBL3358435,Km,840000.0,nM,
CHEMBL3358436,Km,840000.0,nM,
CHEMBL3358437,Km,1200000.0,nM,
CHEMBL3358438,Km,860000.0,nM,
CHEMBL3358439,Km,940000.0,nM,
CHEMBL3358440,Km,880000.0,nM,
CHEMBL3358441,Km,950000.0,nM,
CHEMBL3352877,Km,850000.0,nM,
CHEMBL3358442,Km,710000.0,nM,
CHEMBL3358443,Km,760000.0,nM,
CHEMBL3358444,Km,690000.0,nM,
CHEMBL3358445,Km,560000.0,nM,
CHEMBL3358886,Km,720000.0,nM,
CHEMBL3358887,Km,630000.0,nM,
CHEMBL3358888,Km,820000.0,nM,
CHEMBL3338056,Vmax,104.0,%,
CHEMBL3338057,Vmax,,,
CHEMBL3338058,Vmax,,,
CHEMBL3338059,Vmax,64.0,%,
CHEMBL3338060,Vmax,77.0,%,
CHEMBL3338061,Vmax,77.0,%,
CHEMBL3338062,Vmax,,,
CHEMBL3338063,Vmax,66.0,%,
CHEMBL3338064,Vmax,72.0,%,
CHEMBL3338065,Vmax,75.0,%,
CHEMBL3338066,Vmax,73.0,%,
CHEMBL3338067,Vmax,84.0,%,
CHEMBL3338068,Vmax,68.0,%,
CHEMBL3338069,Vmax,66.0,%,
CHEMBL3338070,Vmax,74.0,%,
CHEMBL3338071,Vmax,90.0,%,
CHEMBL3338072,Vmax,53.0,%,
CHEMBL3338073,Vmax,146.0,%,
CHEMBL3338074,Vmax,76.0,%,
CHEMBL3338075,Vmax,80.0,%,
CHEMBL3338076,Vmax,87.0,%,
CHEMBL3338077,Vmax,88.0,%,
CHEMBL3338155,Vmax,73.0,%,
CHEMBL3338156,Vmax,75.0,%,
CHEMBL3338157,Vmax,59.0,%,
CHEMBL3338158,Vmax,54.0,%,
CHEMBL3577723,Vmax,126.0,%,
CHEMBL5091943,Km,2400000.0,nM,
CHEMBL5072532,Km,3600000.0,nM,
CHEMBL5091943,Kcat,250.0,%,
CHEMBL5072532,Kcat,180.0,%,
