molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL600862,EC50,80000.0,nM,
CHEMBL1339349,EC50,46800.0,nM,
CHEMBL1318817,EC50,41900.0,nM,
CHEMBL1708020,EC50,80000.0,nM,
CHEMBL1708074,EC50,49600.0,nM,
CHEMBL1461181,EC50,53200.0,nM,
CHEMBL1728993,EC50,53200.0,nM,
CHEMBL1708343,EC50,80000.0,nM,
CHEMBL1968355,EC50,39900.0,nM,
CHEMBL3145282,EC50,80000.0,nM,
CHEMBL2369189,EC50,80000.0,nM,
CHEMBL1382826,EC50,36700.0,nM,
CHEMBL1516663,EC50,80000.0,nM,
CHEMBL1790033,EC50,5200.0,nM,
CHEMBL1419292,EC50,23900.0,nM,
CHEMBL1578997,EC50,10600.0,nM,
CHEMBL1709153,EC50,80000.0,nM,
CHEMBL1461738,EC50,8260.0,nM,
CHEMBL3195322,EC50,80000.0,nM,
CHEMBL1553908,EC50,65200.0,nM,
CHEMBL1546933,EC50,32200.0,nM,
CHEMBL1330332,EC50,49300.0,nM,
CHEMBL1299995,EC50,20100.0,nM,
CHEMBL1434002,EC50,21100.0,nM,
CHEMBL1975118,EC50,80000.0,nM,
CHEMBL1371983,EC50,29400.0,nM,
CHEMBL1604990,EC50,47400.0,nM,
CHEMBL1582527,EC50,39400.0,nM,
CHEMBL1976317,EC50,80000.0,nM,
CHEMBL1558692,EC50,13600.0,nM,
CHEMBL1343814,EC50,80000.0,nM,
CHEMBL3196606,EC50,80000.0,nM,
CHEMBL1730685,EC50,80000.0,nM,
CHEMBL263972,EC50,17900.0,nM,
CHEMBL1401989,EC50,80000.0,nM,
CHEMBL1426637,EC50,57500.0,nM,
CHEMBL1501771,EC50,21100.0,nM,
CHEMBL1438779,EC50,20800.0,nM,
CHEMBL169811,EC50,80000.0,nM,
CHEMBL1576392,EC50,7650.0,nM,
CHEMBL1482926,EC50,16300.0,nM,
CHEMBL1702026,EC50,80000.0,nM,
CHEMBL3192625,EC50,80000.0,nM,
CHEMBL1701797,EC50,80000.0,nM,
CHEMBL1721577,EC50,80000.0,nM,
CHEMBL1527942,EC50,35100.0,nM,
CHEMBL3195968,EC50,42300.0,nM,
CHEMBL51085,EC50,41900.0,nM,
CHEMBL1430796,EC50,37400.0,nM,
CHEMBL1498652,EC50,37100.0,nM,
CHEMBL1587286,EC50,28900.0,nM,
CHEMBL1559226,EC50,29700.0,nM,
CHEMBL1470212,EC50,80000.0,nM,
CHEMBL1322745,EC50,80000.0,nM,
CHEMBL1341159,EC50,80000.0,nM,
CHEMBL1478479,EC50,8100.0,nM,
CHEMBL1470492,EC50,80000.0,nM,
CHEMBL3199665,EC50,80000.0,nM,
CHEMBL1704311,EC50,11800.0,nM,
CHEMBL1713955,EC50,80000.0,nM,
CHEMBL1414923,EC50,80000.0,nM,
CHEMBL1502683,EC50,56200.0,nM,
CHEMBL1375373,EC50,80000.0,nM,
CHEMBL1733942,EC50,80000.0,nM,
CHEMBL1312377,EC50,6540.0,nM,
CHEMBL3192841,EC50,80000.0,nM,
CHEMBL1557023,EC50,80000.0,nM,
CHEMBL1344977,EC50,24000.0,nM,
CHEMBL3145303,EC50,80000.0,nM,
CHEMBL75913,EC50,55300.0,nM,
CHEMBL1734083,EC50,1060.0,nM,
CHEMBL1444349,EC50,37900.0,nM,
CHEMBL1325587,EC50,18200.0,nM,
CHEMBL1528481,EC50,80000.0,nM,
CHEMBL1724744,EC50,80000.0,nM,
CHEMBL1705535,EC50,80000.0,nM,
CHEMBL1432378,EC50,17400.0,nM,
CHEMBL1588820,EC50,75900.0,nM,
CHEMBL1454194,EC50,15300.0,nM,
CHEMBL1451037,EC50,63100.0,nM,
CHEMBL3193585,EC50,80000.0,nM,
