molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL567850,IC50,100000.0,nM,
CHEMBL349641,IC50,30200.0,nM,
CHEMBL610781,IC50,53300.0,nM,
CHEMBL592869,IC50,49500.0,nM,
CHEMBL608723,IC50,14800.0,nM,
CHEMBL589756,IC50,64600.0,nM,
CHEMBL597837,IC50,,,
CHEMBL607856,IC50,100000.0,nM,
CHEMBL597055,IC50,100000.0,nM,
CHEMBL301523,IC50,5000.0,nM,
CHEMBL190,IC50,5000.0,nM,
CHEMBL1454,IC50,5000.0,nM,
CHEMBL598548,IC50,5000.0,nM,
CHEMBL589752,IC50,5000.0,nM,
CHEMBL291962,IC50,5000.0,nM,
CHEMBL54976,IC50,5000.0,nM,
CHEMBL1490932,IC50,100000.0,nM,
CHEMBL1698040,IC50,100000.0,nM,
CHEMBL1376258,IC50,100000.0,nM,
CHEMBL1323839,IC50,100000.0,nM,
CHEMBL3144972,IC50,2820.0,nM,
CHEMBL1428985,IC50,14700.0,nM,
CHEMBL1457387,IC50,100000.0,nM,
CHEMBL3195180,IC50,100000.0,nM,
CHEMBL1585156,IC50,5180.0,nM,
CHEMBL1567826,IC50,100000.0,nM,
CHEMBL1306327,IC50,100000.0,nM,
CHEMBL1525848,IC50,100000.0,nM,
CHEMBL1369513,IC50,15900.0,nM,
CHEMBL1516715,IC50,100000.0,nM,
CHEMBL1379048,IC50,100000.0,nM,
CHEMBL56393,IC50,4410.0,nM,
CHEMBL1611306,IC50,100000.0,nM,
CHEMBL1709293,IC50,100000.0,nM,
CHEMBL1382917,IC50,16100.0,nM,
CHEMBL1489553,IC50,100000.0,nM,
CHEMBL1719402,IC50,100000.0,nM,
CHEMBL1379827,IC50,55600.0,nM,
CHEMBL1399134,IC50,100000.0,nM,
CHEMBL1570083,IC50,100000.0,nM,
CHEMBL1585882,IC50,100000.0,nM,
CHEMBL1303380,IC50,100000.0,nM,
CHEMBL3144928,IC50,1070.0,nM,
CHEMBL1975298,IC50,100000.0,nM,
CHEMBL1303388,IC50,100000.0,nM,
CHEMBL1445765,IC50,100000.0,nM,
CHEMBL1350396,IC50,16800.0,nM,
CHEMBL1534166,IC50,100000.0,nM,
CHEMBL1613123,IC50,100000.0,nM,
CHEMBL1514592,IC50,28100.0,nM,
CHEMBL1452961,IC50,100000.0,nM,
CHEMBL607979,IC50,7950.0,nM,
CHEMBL70501,IC50,2170.0,nM,
CHEMBL1720410,IC50,100000.0,nM,
CHEMBL1597471,IC50,100000.0,nM,
CHEMBL1547704,IC50,100000.0,nM,
CHEMBL1492396,IC50,12700.0,nM,
CHEMBL1489864,IC50,100000.0,nM,
CHEMBL1420033,IC50,1230.0,nM,
CHEMBL1495138,IC50,13100.0,nM,
CHEMBL1711448,IC50,100000.0,nM,
CHEMBL1721630,IC50,100000.0,nM,
CHEMBL1449443,IC50,19300.0,nM,
CHEMBL1344216,IC50,100000.0,nM,
CHEMBL1605425,IC50,25400.0,nM,
CHEMBL1731731,IC50,100000.0,nM,
CHEMBL1537821,IC50,100000.0,nM,
CHEMBL1548525,IC50,100000.0,nM,
CHEMBL1509470,IC50,100000.0,nM,
CHEMBL1541110,IC50,100000.0,nM,
CHEMBL1587439,IC50,100000.0,nM,
CHEMBL1387654,IC50,100000.0,nM,
CHEMBL116438,IC50,7410.0,nM,
CHEMBL1351855,IC50,100000.0,nM,
CHEMBL1509671,IC50,13000.0,nM,
CHEMBL1561802,IC50,100000.0,nM,
CHEMBL1502258,IC50,100000.0,nM,
CHEMBL1431219,IC50,100000.0,nM,
CHEMBL1331373,IC50,100000.0,nM,
CHEMBL1713569,IC50,100000.0,nM,
CHEMBL1499077,IC50,23100.0,nM,
CHEMBL1604431,IC50,100000.0,nM,
CHEMBL1587916,IC50,100000.0,nM,
CHEMBL1704015,IC50,100000.0,nM,
CHEMBL1525328,IC50,100000.0,nM,
CHEMBL1470848,IC50,100000.0,nM,
CHEMBL1541861,IC50,9630.0,nM,
CHEMBL1329826,IC50,1190.0,nM,
CHEMBL1724264,IC50,100000.0,nM,
CHEMBL1446800,IC50,100000.0,nM,
CHEMBL1588557,IC50,17700.0,nM,
CHEMBL1368187,IC50,100000.0,nM,
CHEMBL1405443,IC50,100000.0,nM,
CHEMBL1352939,IC50,100000.0,nM,
CHEMBL1715135,IC50,100000.0,nM,
CHEMBL1577632,IC50,47600.0,nM,
CHEMBL1392848,IC50,14500.0,nM,
CHEMBL1724929,IC50,10500.0,nM,
CHEMBL1529932,IC50,1760.0,nM,
CHEMBL1607222,IC50,100000.0,nM,
CHEMBL1382032,IC50,100000.0,nM,
CHEMBL3198247,IC50,100000.0,nM,
CHEMBL1553368,IC50,100000.0,nM,
CHEMBL250450,IC50,5250.0,nM,
CHEMBL1464067,IC50,100000.0,nM,
CHEMBL1610513,IC50,100000.0,nM,
CHEMBL1506682,IC50,3150.0,nM,
CHEMBL1398478,IC50,5610.0,nM,
CHEMBL1432850,IC50,100000.0,nM,
CHEMBL1376200,IC50,3520.0,nM,
CHEMBL1491038,IC50,100000.0,nM,
CHEMBL1574441,IC50,100000.0,nM,
CHEMBL3207974,IC50,69600.0,nM,
CHEMBL1578178,IC50,6640.0,nM,
CHEMBL1313987,IC50,100000.0,nM,
CHEMBL2006168,IC50,100000.0,nM,
CHEMBL1257003,IC50,7310.0,nM,
CHEMBL3144972,IC50,2360.0,nM,
CHEMBL1428985,IC50,34000.0,nM,
CHEMBL1585156,IC50,7690.0,nM,
CHEMBL1369513,IC50,11000.0,nM,
CHEMBL56393,IC50,2680.0,nM,
