molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL108417,Ki,4099.0,nM,
CHEMBL322717,Ki,1945.0,nM,
CHEMBL423694,IC50,10000.0,nM,
CHEMBL359203,IC50,,nM,
CHEMBL148416,IC50,10000.0,nM,
CHEMBL278078,IC50,10000.0,nM,
CHEMBL146140,IC50,1200.0,nM,
CHEMBL146682,IC50,1020.0,nM,
CHEMBL107536,Ki,,nM,
CHEMBL110138,Ki,1841.0,nM,
CHEMBL110379,Ki,2134.0,nM,
CHEMBL343246,IC50,3.5,nM,
CHEMBL146884,IC50,46.0,nM,
CHEMBL149668,IC50,5.0,nM,
CHEMBL107246,Ki,,nM,
CHEMBL448155,Ki,1341.0,nM,
CHEMBL321462,Ki,2240.0,nM,
CHEMBL320061,Ki,,nM,
CHEMBL107288,Ki,3684.0,nM,
CHEMBL108893,Ki,3432.0,nM,
CHEMBL344541,IC50,390.0,nM,
CHEMBL148219,IC50,0.88,nM,
CHEMBL147275,IC50,970.0,nM,
CHEMBL327118,Ki,6037.0,nM,
CHEMBL554230,Ki,5100.0,nM,
CHEMBL13470,IC50,2480.0,nM,
CHEMBL127802,IC50,4270.0,nM,
CHEMBL345269,IC50,1400.0,nM,
CHEMBL148083,IC50,1.7,nM,
CHEMBL126946,IC50,10000.0,nM,
CHEMBL144483,IC50,15.0,nM,
CHEMBL66265,IC50,0.1,nM,
CHEMBL147651,IC50,57.0,nM,
CHEMBL338980,IC50,10000.0,nM,
CHEMBL108904,Ki,607.0,nM,
CHEMBL324895,Ki,6488.0,nM,
CHEMBL415521,IC50,7470.0,nM,
CHEMBL126884,IC50,2610.0,nM,
CHEMBL338089,IC50,3160.0,nM,
CHEMBL148117,IC50,550.0,nM,
CHEMBL342965,IC50,120.0,nM,
CHEMBL343011,IC50,,nM,
CHEMBL441765,IC50,370.0,nM,
CHEMBL317479,Ki,641.0,nM,
CHEMBL320804,Ki,7718.0,nM,
CHEMBL110933,Ki,2938.0,nM,
CHEMBL358727,IC50,160.0,nM,
CHEMBL126255,IC50,2290.0,nM,
CHEMBL106084,Ki,3911.0,nM,
CHEMBL106190,Ki,4125.0,nM,
CHEMBL359252,IC50,250.0,nM,
CHEMBL316961,Ki,1634.0,nM,
CHEMBL110126,Ki,660.0,nM,
CHEMBL554230,Ki,4800.0,nM,
CHEMBL126857,IC50,3870.0,nM,
CHEMBL126842,IC50,8900.0,nM,
CHEMBL356506,IC50,10000.0,nM,
CHEMBL146474,IC50,2200.0,nM,
CHEMBL106359,Ki,4262.0,nM,
CHEMBL324897,Ki,3533.0,nM,
CHEMBL108995,Ki,2993.0,nM,
CHEMBL108900,Ki,4219.0,nM,
CHEMBL554230,Ki,5500.0,nM,
CHEMBL339457,IC50,10000.0,nM,
CHEMBL129315,IC50,10000.0,nM,
CHEMBL340131,IC50,10000.0,nM,
CHEMBL106235,Ki,13130.0,nM,
CHEMBL127788,IC50,6140.0,nM,
CHEMBL148892,IC50,10000.0,nM,
CHEMBL129693,IC50,10000.0,nM,
CHEMBL343661,IC50,690.0,nM,
CHEMBL146555,IC50,110.0,nM,
CHEMBL129034,IC50,1660.0,nM,
CHEMBL127495,IC50,10000.0,nM,
CHEMBL340476,IC50,1330.0,nM,
CHEMBL126141,IC50,980.0,nM,
CHEMBL146717,IC50,,nM,
CHEMBL146533,IC50,10000.0,nM,
CHEMBL108894,Ki,150.0,nM,
CHEMBL147437,IC50,10000.0,nM,
CHEMBL419179,Ki,4015.0,nM,
CHEMBL106155,Ki,2855.0,nM,
CHEMBL126370,IC50,10000.0,nM,
CHEMBL357297,IC50,4.7,nM,
CHEMBL316961,Ki,3565.0,nM,
CHEMBL106785,Ki,3251.0,nM,
CHEMBL320582,Ki,1484.0,nM,
CHEMBL339552,IC50,102.0,nM,
CHEMBL344342,IC50,6.3,nM,
CHEMBL345513,IC50,300.0,nM,
CHEMBL324635,Ki,1232.0,nM,
CHEMBL339922,IC50,10000.0,nM,
CHEMBL146519,IC50,0.2,nM,
CHEMBL146413,IC50,69.0,nM,
CHEMBL146612,IC50,29.0,nM,
CHEMBL131328,IC50,260.0,nM,
CHEMBL106043,Ki,2772.0,nM,
CHEMBL339898,IC50,5350.0,nM,
CHEMBL129300,IC50,10000.0,nM,
CHEMBL343858,IC50,0.12,nM,
CHEMBL431445,Ki,997.0,nM,
CHEMBL128444,IC50,11.0,nM,
CHEMBL146632,IC50,590.0,nM,
CHEMBL106366,Ki,7172.0,nM,
CHEMBL127007,IC50,8340.0,nM,
CHEMBL148417,IC50,2000.0,nM,
CHEMBL217379,Ki,4.6,nM,
CHEMBL2369408,Ki,0.44,nM,
CHEMBL2369408,IC50,340.0,nM,
CHEMBL2369407,Ki,10000.0,nM,
CHEMBL413729,Ki,2.4,nM,
CHEMBL413729,IC50,440.0,nM,
CHEMBL2369394,Ki,5600.0,nM,
CHEMBL2369393,Ki,41.7,nM,
CHEMBL269483,Ki,0.35,nM,
CHEMBL2369366,Ki,1.2,nM,
CHEMBL2369366,IC50,410.0,nM,
CHEMBL2369371,Ki,100000.0,nM,
CHEMBL2369391,Ki,60.3,nM,
CHEMBL2369395,Ki,79.4,nM,
CHEMBL2369390,Ki,10.7,nM,
CHEMBL8234,Ki,1000.0,nM,
CHEMBL2369389,Ki,10.0,nM,
CHEMBL216640,Ki,0.059,nM,
CHEMBL216640,EC50,0.74,nM,
CHEMBL265813,Ki,0.23,nM,
CHEMBL573214,Ki,0.37,nM,
CHEMBL573214,IC50,4.37,nM,
CHEMBL2369365,Ki,3.39,nM,
CHEMBL2369365,IC50,1260.0,nM,
CHEMBL407832,Ki,2.5,nM,
CHEMBL63188,Ki,404.0,nM,
CHEMBL80,Ki,10.7,nM,
CHEMBL80,IC50,49.8,nM,
CHEMBL80,EC50,6.6,nM,
CHEMBL2369370,Ki,6.61,nM,
CHEMBL2369370,IC50,4000.0,nM,
CHEMBL293465,Ki,4.96,nM,
CHEMBL80,IC50,1.5,nM,
CHEMBL110816,Ki,1.57,nM,
CHEMBL326875,Ki,0.3,nM,
CHEMBL573214,Ki,0.2,nM,
CHEMBL332697,IC50,4030.0,nM,
CHEMBL324170,IC50,5070.0,nM,
CHEMBL324257,IC50,1480.0,nM,
CHEMBL107655,Ki,6.33,nM,
CHEMBL326538,IC50,1810.0,nM,
CHEMBL286411,Ki,6212.0,nM,
CHEMBL324297,IC50,37.0,nM,
CHEMBL115229,IC50,311.0,nM,
CHEMBL323987,Ki,0.28,nM,
CHEMBL324644,Ki,0.68,nM,
CHEMBL108938,Ki,0.25,nM,
CHEMBL2110315,EC50,20.9,nM,
CHEMBL115444,IC50,284.0,nM,
CHEMBL324471,IC50,10000.0,nM,
CHEMBL115549,IC50,10000.0,nM,
CHEMBL420863,IC50,2.9,nM,
CHEMBL106758,Ki,1.6,nM,
CHEMBL114280,IC50,507.0,nM,
CHEMBL2096625,IC50,217.0,nM,
CHEMBL596,IC50,1580.0,nM,
CHEMBL325674,IC50,617.0,nM,
CHEMBL419214,IC50,10000.0,nM,
CHEMBL115222,IC50,2.1,nM,
CHEMBL114327,IC50,10000.0,nM,
CHEMBL115284,IC50,1060.0,nM,
CHEMBL325697,IC50,10000.0,nM,
CHEMBL2113273,Ki,10000.0,nM,
CHEMBL325750,IC50,104.0,nM,
CHEMBL323726,Ki,1.39,nM,
CHEMBL323398,Ki,8.13,nM,
CHEMBL2113262,Ki,1394.0,nM,
CHEMBL114204,IC50,1320.0,nM,
CHEMBL114824,IC50,1010.0,nM,
CHEMBL2368861,IC50,1.2,nM,
CHEMBL432403,Ki,5.61,nM,
CHEMBL109009,Ki,6.18,nM,
CHEMBL114940,IC50,6540.0,nM,
CHEMBL111918,IC50,6570.0,nM,
