molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL148169,Ki,3997.0,nM,
CHEMBL148406,IC50,385.0,nM,
CHEMBL147882,IC50,19.0,nM,
CHEMBL148171,IC50,29.0,nM,
CHEMBL19611,IC50,6.0,nM,
CHEMBL424130,IC50,1789.0,nM,
CHEMBL147881,IC50,17.0,nM,
CHEMBL148214,IC50,6.0,nM,
CHEMBL356124,IC50,621.0,nM,
CHEMBL358539,IC50,4.0,nM,
CHEMBL147489,IC50,126.0,nM,
CHEMBL147604,IC50,7303.0,nM,
CHEMBL146718,IC50,44.0,nM,
CHEMBL146289,IC50,218.0,nM,
CHEMBL431680,Ki,2000.0,nM,
CHEMBL115263,Ki,2000.0,nM,
CHEMBL325163,Ki,2000.0,nM,
CHEMBL114878,Ki,2000.0,nM,
CHEMBL91636,Ki,71.0,nM,
CHEMBL88520,Ki,20.0,nM,
CHEMBL19611,IC50,6.0,nM,
CHEMBL202875,IC50,13940.0,nM,
CHEMBL208009,Ki,7088.0,nM,
CHEMBL207305,Ki,7088.0,nM,
CHEMBL234034,IC50,7000.0,nM,
CHEMBL402436,Ki,7088.0,nM,
CHEMBL403186,Ki,7088.0,nM,
CHEMBL447787,Ki,7088.0,nM,
CHEMBL271235,Ki,7100.0,nM,
CHEMBL402393,Ki,7088.0,nM,
CHEMBL402393,Ki,7088.0,nM,
CHEMBL253275,Ki,10000.0,nM,
CHEMBL495502,Ki,1700.0,nM,
CHEMBL207305,Ki,7088.0,nM,
CHEMBL148169,Ki,3997.0,nM,
CHEMBL325163,Ki,2000.0,nM,
CHEMBL497985,IC50,5000.0,nM,
CHEMBL603656,Ki,25000.0,nM,
CHEMBL1956115,Ki,10000.0,nM,
CHEMBL279785,IC50,10000.0,nM,
CHEMBL424130,IC50,1789.0,nM,
