molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL127565,Ki,492.0,nM,
CHEMBL123612,Ki,87.0,nM,
CHEMBL330969,Ki,0.76,nM,
CHEMBL125705,Ki,3.3,nM,
CHEMBL45,Ki,0.4,nM,
CHEMBL445840,Ki,23.0,nM,
CHEMBL339265,Ki,1.3,nM,
CHEMBL124577,Ki,2.8,nM,
CHEMBL124422,Ki,8.1,nM,
CHEMBL124217,Ki,75.0,nM,
CHEMBL435586,Ki,1.3,nM,
CHEMBL338659,Ki,2.3,nM,
CHEMBL124783,Ki,51.0,nM,
CHEMBL125665,Ki,9.0,nM,
CHEMBL125033,Ki,13.1,nM,
CHEMBL123972,Ki,194.0,nM,
CHEMBL126005,Ki,40.0,nM,
CHEMBL331636,Ki,60.0,nM,
CHEMBL127596,Ki,3.0,nM,
CHEMBL124782,Ki,166.0,nM,
CHEMBL124914,Ki,9.9,nM,
CHEMBL333810,Ki,24.0,nM,
CHEMBL339784,Ki,60.0,nM,
CHEMBL124488,Ki,30.0,nM,
CHEMBL124216,Ki,183.0,nM,
CHEMBL123634,Ki,142.0,nM,
CHEMBL331317,Ki,34.0,nM,
CHEMBL127570,Ki,0.7,nM,
CHEMBL262890,Ki,13.2,nM,
CHEMBL127576,Ki,340.0,nM,
CHEMBL124445,Ki,119.0,nM,
CHEMBL124476,Ki,6.6,nM,
CHEMBL123690,Ki,116.0,nM,
CHEMBL123973,Ki,40.0,nM,
CHEMBL123899,Ki,44.0,nM,
CHEMBL125226,Ki,50.0,nM,
CHEMBL125642,Ki,4.5,nM,
CHEMBL124362,Ki,3.5,nM,
CHEMBL334079,Ki,0.63,nM,
CHEMBL14136,Ki,0.05,nM,
CHEMBL45,Ki,0.14,nM,
CHEMBL45,EC50,2.24,nM,
CHEMBL14417,Ki,0.03,nM,
CHEMBL10878,Ki,0.06,nM,
CHEMBL10878,EC50,1.56,nM,
CHEMBL14453,Ki,0.6,nM,
CHEMBL273787,Ki,0.05,nM,
CHEMBL13985,Ki,0.08,nM,
CHEMBL14514,Ki,2.05,nM,
CHEMBL429392,Ki,0.5,nM,
CHEMBL131919,Ki,11.0,nM,
CHEMBL45,Ki,0.08,nM,
CHEMBL291857,Ki,0.099,nM,
CHEMBL134416,Ki,1.3,nM,
CHEMBL94838,Ki,0.04,nM,
CHEMBL315653,Ki,8.2,nM,
CHEMBL329263,Ki,1.27,nM,
CHEMBL329263,EC50,21.0,nM,
CHEMBL96333,Ki,64.4,nM,
CHEMBL136895,Ki,17.7,nM,
CHEMBL323332,Ki,0.15,nM,
CHEMBL33549,Ki,40.6,nM,
CHEMBL33549,EC50,37.0,nM,
CHEMBL336024,Ki,129.0,nM,
CHEMBL94607,Ki,7.19,nM,
CHEMBL327864,Ki,476.0,nM,
CHEMBL445117,Ki,229.0,nM,
CHEMBL96562,Ki,84.5,nM,
CHEMBL329086,Ki,21.6,nM,
CHEMBL329086,EC50,138.0,nM,
CHEMBL96420,Ki,12.9,nM,
CHEMBL440144,Ki,155.0,nM,
CHEMBL440144,EC50,10000.0,nM,
CHEMBL287560,Ki,0.01,nM,
CHEMBL287560,EC50,0.17,nM,
CHEMBL94919,Ki,42.7,nM,
CHEMBL341705,Ki,67.0,nM,
CHEMBL138012,Ki,0.9,nM,
CHEMBL314512,Ki,0.02,nM,
CHEMBL329299,Ki,66.4,nM,
CHEMBL329299,EC50,481.0,nM,
CHEMBL94745,Ki,29.0,nM,
CHEMBL45,Ki,0.4,nM,
CHEMBL435023,Ki,6.6,nM,
CHEMBL317742,Ki,24.0,nM,
CHEMBL317742,EC50,10000.0,nM,
CHEMBL95166,Ki,0.75,nM,
CHEMBL98074,Ki,31.5,nM,
CHEMBL139439,Ki,1.2,nM,
CHEMBL344449,Ki,2.2,nM,
CHEMBL136894,Ki,21.0,nM,
CHEMBL96859,Ki,3.29,nM,
CHEMBL136531,Ki,0.14,nM,
CHEMBL96548,Ki,53.7,nM,
CHEMBL138228,Ki,3.9,nM,
CHEMBL330137,Ki,0.01,nM,
CHEMBL342393,Ki,4.4,nM,
CHEMBL96104,Ki,1.01,nM,
CHEMBL328617,Ki,8.67,nM,
CHEMBL136431,Ki,7.0,nM,
CHEMBL329960,Ki,14.3,nM,
CHEMBL329960,EC50,10000.0,nM,
CHEMBL97186,Ki,3.51,nM,
CHEMBL97186,EC50,25.0,nM,
CHEMBL343825,Ki,0.18,nM,
CHEMBL136564,Ki,0.65,nM,
CHEMBL45,Ki,0.12,nM,
CHEMBL45,EC50,1.92,nM,
CHEMBL96778,Ki,288.0,nM,
CHEMBL96778,EC50,10000.0,nM,
CHEMBL96916,Ki,55.0,nM,
CHEMBL136273,Ki,202.0,nM,
CHEMBL138848,Ki,49.4,nM,
CHEMBL96173,Ki,698.0,nM,
CHEMBL139497,Ki,3.7,nM,
CHEMBL94301,Ki,5.37,nM,
CHEMBL138744,Ki,6.0,nM,
CHEMBL314947,Ki,80.0,nM,
CHEMBL314947,EC50,10000.0,nM,
CHEMBL91813,Ki,569.0,nM,
CHEMBL336268,Ki,1.5,nM,
CHEMBL329979,Ki,87.1,nM,
CHEMBL99083,Ki,2454.71,nM,
CHEMBL99091,Ki,8511.38,nM,
CHEMBL14701,Ki,199.53,nM,
CHEMBL99512,Ki,3981.07,nM,
CHEMBL33346,Ki,630.96,nM,
CHEMBL34728,Ki,407.38,nM,
CHEMBL99002,Ki,831.76,nM,
CHEMBL418789,Ki,630.96,nM,
CHEMBL99000,Ki,2951.21,nM,
CHEMBL99534,Ki,1230.27,nM,
CHEMBL98484,Ki,1819.7,nM,
CHEMBL123119,Ki,489.78,nM,
CHEMBL99084,Ki,134.9,nM,
CHEMBL45,Ki,0.2951,nM,
CHEMBL34729,Ki,524.81,nM,
CHEMBL100104,Ki,63.1,nM,
CHEMBL316952,Ki,3801.89,nM,
CHEMBL319970,Ki,16218.1,nM,
CHEMBL274731,IC50,1000.0,nM,
CHEMBL19193,IC50,1000.0,nM,
CHEMBL18747,IC50,1000.0,nM,
CHEMBL281345,IC50,1000.0,nM,
CHEMBL19503,IC50,1000.0,nM,
CHEMBL19653,IC50,44.5,nM,
CHEMBL275205,IC50,1000.0,nM,
CHEMBL19061,IC50,1000.0,nM,
