molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL127565,Ki,36.0,nM,
CHEMBL123612,Ki,57.0,nM,
CHEMBL330969,Ki,14.0,nM,
CHEMBL125705,Ki,29.0,nM,
CHEMBL45,Ki,0.3,nM,
CHEMBL445840,Ki,38.0,nM,
CHEMBL339265,Ki,16.0,nM,
CHEMBL124577,Ki,2.8,nM,
CHEMBL124422,Ki,1.0,nM,
CHEMBL124217,Ki,12.0,nM,
CHEMBL435586,Ki,18.0,nM,
CHEMBL338659,Ki,2.2,nM,
CHEMBL124783,Ki,27.0,nM,
CHEMBL125665,Ki,2.3,nM,
CHEMBL125033,Ki,10.0,nM,
CHEMBL123972,Ki,52.0,nM,
CHEMBL126005,Ki,89.0,nM,
CHEMBL331636,Ki,29.0,nM,
CHEMBL127596,Ki,2.3,nM,
CHEMBL124782,Ki,22.0,nM,
CHEMBL124914,Ki,3.7,nM,
CHEMBL333810,Ki,5.3,nM,
CHEMBL339784,Ki,17.0,nM,
CHEMBL124488,Ki,4.3,nM,
CHEMBL124216,Ki,35.0,nM,
CHEMBL123634,Ki,15.0,nM,
CHEMBL331317,Ki,114.0,nM,
CHEMBL127570,Ki,2.7,nM,
CHEMBL262890,Ki,4.5,nM,
CHEMBL127576,Ki,61.0,nM,
CHEMBL124445,Ki,16.0,nM,
CHEMBL124476,Ki,1.8,nM,
CHEMBL123690,Ki,35.0,nM,
CHEMBL123973,Ki,88.0,nM,
CHEMBL123899,Ki,7.6,nM,
CHEMBL125226,Ki,26.0,nM,
CHEMBL125642,Ki,4.7,nM,
CHEMBL124362,Ki,1.0,nM,
CHEMBL334079,Ki,22.0,nM,
CHEMBL14136,Ki,0.18,nM,
CHEMBL45,Ki,0.41,nM,
CHEMBL45,EC50,0.49,nM,
CHEMBL14417,Ki,0.04,nM,
CHEMBL10878,Ki,0.27,nM,
CHEMBL10878,EC50,0.1,nM,
CHEMBL14453,Ki,72.7,nM,
CHEMBL273787,Ki,1.74,nM,
CHEMBL13985,Ki,2.33,nM,
CHEMBL14514,Ki,182.0,nM,
CHEMBL429392,Ki,112.0,nM,
CHEMBL131919,Ki,1.6,nM,
CHEMBL45,Ki,0.12,nM,
CHEMBL291857,Ki,0.38,nM,
CHEMBL94838,Ki,0.04,nM,
CHEMBL315653,Ki,3.21,nM,
CHEMBL329263,Ki,0.05,nM,
CHEMBL329263,EC50,10000.0,nM,
CHEMBL96333,Ki,8.25,nM,
CHEMBL136895,Ki,5.8,nM,
CHEMBL323332,Ki,0.34,nM,
CHEMBL33549,Ki,0.32,nM,
CHEMBL33549,EC50,0.72,nM,
CHEMBL336024,Ki,85.0,nM,
CHEMBL94607,Ki,0.22,nM,
CHEMBL327864,Ki,340.0,nM,
CHEMBL445117,Ki,18.6,nM,
CHEMBL96562,Ki,12.8,nM,
CHEMBL329086,Ki,0.11,nM,
CHEMBL329086,EC50,0.39,nM,
CHEMBL96420,Ki,1.7,nM,
CHEMBL440144,Ki,10.6,nM,
CHEMBL440144,EC50,10000.0,nM,
CHEMBL287560,Ki,0.02,nM,
CHEMBL287560,EC50,0.096,nM,
CHEMBL94919,Ki,9.64,nM,
CHEMBL341705,Ki,22.3,nM,
CHEMBL138012,Ki,0.94,nM,
CHEMBL314512,Ki,0.01,nM,
CHEMBL329299,Ki,2.49,nM,
CHEMBL329299,EC50,10.0,nM,
CHEMBL94745,Ki,3.53,nM,
CHEMBL45,Ki,0.3,nM,
CHEMBL435023,Ki,10.8,nM,
CHEMBL317742,Ki,0.5,nM,
CHEMBL317742,EC50,10000.0,nM,
CHEMBL95166,Ki,0.23,nM,
CHEMBL98074,Ki,1.52,nM,
CHEMBL139439,Ki,2.8,nM,
CHEMBL344449,Ki,4.6,nM,
CHEMBL136894,Ki,19.0,nM,
CHEMBL96859,Ki,0.2,nM,
CHEMBL136531,Ki,0.31,nM,
CHEMBL96548,Ki,0.69,nM,
CHEMBL138228,Ki,35.0,nM,
CHEMBL330137,Ki,0.02,nM,
CHEMBL342393,Ki,2.6,nM,
CHEMBL96104,Ki,0.21,nM,
CHEMBL328617,Ki,0.41,nM,
CHEMBL136431,Ki,2.1,nM,
CHEMBL329960,Ki,0.34,nM,
CHEMBL329960,EC50,0.41,nM,
CHEMBL97186,Ki,0.06,nM,
CHEMBL97186,EC50,0.17,nM,
CHEMBL343825,Ki,0.4,nM,
CHEMBL136564,Ki,0.42,nM,
CHEMBL45,Ki,0.31,nM,
CHEMBL45,EC50,0.47,nM,
CHEMBL96778,Ki,17.0,nM,
CHEMBL96778,EC50,19.0,nM,
CHEMBL96916,Ki,2.76,nM,
CHEMBL136273,Ki,121.0,nM,
CHEMBL138848,Ki,39.3,nM,
CHEMBL96173,Ki,36.7,nM,
CHEMBL139497,Ki,2.6,nM,
CHEMBL94301,Ki,0.35,nM,
CHEMBL138744,Ki,6.4,nM,
CHEMBL314947,Ki,1.17,nM,
CHEMBL314947,EC50,1.26,nM,
CHEMBL91813,Ki,79.9,nM,
CHEMBL336268,Ki,1.0,nM,
CHEMBL274731,IC50,1000.0,nM,
CHEMBL19193,IC50,1000.0,nM,
CHEMBL18747,IC50,270.0,nM,
CHEMBL281345,IC50,3.1,nM,
CHEMBL19503,IC50,94.0,nM,
CHEMBL19653,IC50,1.6,nM,
CHEMBL275205,IC50,75.0,nM,
CHEMBL19061,IC50,224.0,nM,
CHEMBL19374,IC50,1.5,nM,
CHEMBL277828,IC50,103.0,nM,
CHEMBL19442,IC50,90.0,nM,
CHEMBL19432,IC50,1000.0,nM,
CHEMBL19512,IC50,1000.0,nM,
CHEMBL19339,IC50,3.0,nM,
CHEMBL18810,IC50,32.0,nM,
CHEMBL45,IC50,0.3,nM,
CHEMBL277429,IC50,44.0,nM,
CHEMBL19710,IC50,1000.0,nM,
CHEMBL280142,IC50,1.7,nM,
CHEMBL280142,EC50,2.4,nM,
CHEMBL19123,IC50,2.3,nM,
CHEMBL18808,IC50,1.5,nM,
CHEMBL69521,Ki,1.4,nM,
CHEMBL68864,Ki,0.41,nM,
CHEMBL306468,Ki,0.96,nM,
CHEMBL45,Ki,0.23,nM,
CHEMBL69981,Ki,1000.0,nM,
CHEMBL69015,Ki,1000.0,nM,
CHEMBL45,Ki,0.29,nM,
CHEMBL59,Ki,9100.0,nM,
CHEMBL79224,Ki,73.0,nM,
CHEMBL289233,Ki,0.15,nM,
CHEMBL311106,Ki,16.0,nM,
CHEMBL440692,Ki,1.2,nM,
CHEMBL291857,Ki,0.38,nM,
CHEMBL80792,Ki,10.0,nM,
CHEMBL39,Ki,100000.0,nM,
CHEMBL80736,Ki,1.2,nM,
CHEMBL78338,Ki,23.0,nM,
CHEMBL78751,Ki,1.3,nM,
CHEMBL82135,Ki,6.7,nM,
CHEMBL33700,Ki,1.738,nM,
CHEMBL34327,Ki,6.457,nM,
CHEMBL45,Ki,0.2951,nM,
CHEMBL33869,Ki,134.9,nM,
CHEMBL19026,Ki,0.24,nM,
CHEMBL276921,Ki,0.08,nM,
CHEMBL431103,Ki,0.75,nM,
CHEMBL2112722,Ki,0.33,nM,
CHEMBL19211,Ki,0.04,nM,
CHEMBL19441,Ki,2.5,nM,
CHEMBL2112700,Ki,0.37,nM,
CHEMBL19109,Ki,1.0,nM,
CHEMBL2112690,Ki,0.07,nM,
CHEMBL18960,Ki,0.88,nM,
CHEMBL2112727,Ki,0.44,nM,
CHEMBL2112724,Ki,0.19,nM,
CHEMBL18846,Ki,2.2,nM,
CHEMBL19260,Ki,2.2,nM,
CHEMBL19128,Ki,0.13,nM,
CHEMBL45,Ki,0.3,nM,
CHEMBL428692,Ki,0.32,nM,
CHEMBL18845,Ki,1.9,nM,
CHEMBL279343,Ki,0.14,nM,
CHEMBL278922,Ki,1.2,nM,
CHEMBL2112734,Ki,0.48,nM,
CHEMBL19050,Ki,0.28,nM,
CHEMBL553105,Ki,0.8,nM,
CHEMBL19237,Ki,12.6,nM,
CHEMBL45,Ki,0.195,nM,
CHEMBL1218,Ki,0.045,nM,
CHEMBL45,Ki,0.2818,nM,
CHEMBL99534,Ki,812.83,nM,
CHEMBL98028,Ki,199.53,nM,
CHEMBL418789,Ki,933.25,nM,
CHEMBL99502,Ki,144.54,nM,
CHEMBL98520,Ki,141.25,nM,
CHEMBL34728,Ki,288.4,nM,
CHEMBL33346,Ki,7.586,nM,
CHEMBL99512,Ki,354.81,nM,
CHEMBL99083,Ki,1621.81,nM,
CHEMBL33185,Ki,8.71,nM,
CHEMBL316952,Ki,4265.8,nM,
CHEMBL98956,Ki,245.47,nM,
CHEMBL318871,Ki,45.71,nM,
CHEMBL287343,Ki,10.23,nM,
CHEMBL329979,Ki,7.762,nM,
CHEMBL99091,Ki,1445.44,nM,
CHEMBL98484,Ki,1230.27,nM,
CHEMBL99000,Ki,102329.3,nM,
CHEMBL100104,Ki,1.66,nM,
CHEMBL319970,Ki,9332.54,nM,
CHEMBL99987,Ki,114.82,nM,
CHEMBL99084,Ki,223.87,nM,
CHEMBL97885,Ki,275.42,nM,
CHEMBL99002,Ki,17.78,nM,
CHEMBL34729,Ki,645.65,nM,
CHEMBL99001,Ki,12.88,nM,
CHEMBL131424,Ki,4.07,nM,
CHEMBL338425,Ki,0.18,nM,
CHEMBL133001,Ki,0.22,nM,
CHEMBL337295,Ki,3.83,nM,
CHEMBL336509,Ki,0.145,nM,
CHEMBL129934,Ki,,nM,
CHEMBL132340,Ki,0.39,nM,
CHEMBL130542,Ki,0.085,nM,
CHEMBL132802,Ki,0.094,nM,
