molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL59849,Ki,,,
CHEMBL58842,Ki,0.38,,
CHEMBL62132,Ki,0.4,,
CHEMBL60309,Ki,0.05,,
CHEMBL61924,Ki,0.22,,
CHEMBL59219,Ki,0.68,,
CHEMBL156630,IC50,5470.0,nM,
CHEMBL155754,IC50,1360.0,nM,
CHEMBL348083,IC50,30800.0,nM,
CHEMBL157182,IC50,22500.0,nM,
CHEMBL160347,IC50,180.0,nM,
CHEMBL347197,IC50,2120.0,nM,
CHEMBL160219,IC50,1000000.0,nM,
CHEMBL445916,IC50,1000000.0,nM,
CHEMBL158041,IC50,113000.0,nM,
CHEMBL348607,IC50,750.0,nM,
CHEMBL156919,IC50,1610.0,nM,
CHEMBL156931,IC50,13600.0,nM,
CHEMBL160836,IC50,210.0,nM,
CHEMBL348961,Ki,100000.0,nM,
CHEMBL156861,IC50,650.0,nM,
CHEMBL346766,IC50,920.0,nM,
CHEMBL155350,IC50,100.0,nM,
CHEMBL433041,IC50,,nM,
CHEMBL155863,IC50,25400.0,nM,
CHEMBL158946,IC50,540.0,nM,
CHEMBL350464,IC50,3740.0,nM,
CHEMBL304241,IC50,8.0,nM,
CHEMBL303112,Ki,4.0,nM,
CHEMBL62743,IC50,9.0,nM,
CHEMBL293004,Ki,2.0,nM,
CHEMBL293004,Ki,6.0,nM,
CHEMBL65252,IC50,10.0,nM,
CHEMBL303112,Ki,7.0,nM,
CHEMBL293004,IC50,8.8,nM,
CHEMBL293004,Ki,9.0,nM,
CHEMBL63223,IC50,8.6,nM,
CHEMBL66639,IC50,100.0,nM,
CHEMBL418480,IC50,10.0,nM,
CHEMBL291647,IC50,9.0,nM,
CHEMBL303594,IC50,10.0,nM,
CHEMBL294811,IC50,100.0,nM,
CHEMBL65761,IC50,9.0,nM,
CHEMBL303112,IC50,8.0,nM,
CHEMBL303112,Ki,8.0,nM,
CHEMBL553751,Ki,284000.0,nM,
CHEMBL545652,Ki,70000.0,nM,
CHEMBL544010,Ki,77000.0,nM,
CHEMBL38064,Ki,170000.0,nM,
CHEMBL541281,Ki,700000.0,nM,
CHEMBL291083,Ki,4000.0,nM,
CHEMBL285230,Ki,36000.0,nM,
CHEMBL555787,Ki,27000.0,nM,
CHEMBL431712,Ki,160000.0,nM,
CHEMBL39569,Ki,,nM,
CHEMBL545413,Ki,27000.0,nM,
CHEMBL555908,Ki,34000.0,nM,
CHEMBL544715,Ki,31000.0,nM,
CHEMBL555788,Ki,186000.0,nM,
CHEMBL545177,Ki,80000.0,nM,
CHEMBL545409,Ki,10000.0,nM,
CHEMBL542095,Ki,17000.0,nM,
CHEMBL288122,Ki,130000.0,nM,
CHEMBL37589,Ki,13000.0,nM,
CHEMBL544008,Ki,,nM,
CHEMBL37607,Ki,6000.0,nM,
CHEMBL544714,Ki,1300000.0,nM,
CHEMBL555559,Ki,260000.0,nM,
CHEMBL545179,Ki,1000000.0,nM,
CHEMBL544004,Ki,2000.0,nM,
CHEMBL287851,Ki,,nM,
CHEMBL454315,Ki,102000.0,nM,
CHEMBL291050,Ki,,nM,
CHEMBL14346,Ki,210000.0,nM,
CHEMBL510708,Ki,160000.0,nM,
CHEMBL555558,Ki,130000.0,nM,
CHEMBL36580,Ki,130000.0,nM,
CHEMBL39613,Ki,,nM,
CHEMBL538733,Ki,41000.0,nM,
CHEMBL290302,Ki,4000.0,nM,
CHEMBL3350471,Ki,150000.0,nM,
CHEMBL416055,Ki,2000.0,nM,
CHEMBL540259,Ki,6000.0,nM,
CHEMBL371428,Ki,1900.0,nM,
CHEMBL255231,Ki,227000.0,nM,
CHEMBL887,Ki,9700.0,nM,
CHEMBL887,IC50,700.0,nM,
CHEMBL436947,Ki,4900.0,nM,
CHEMBL1235738,Ki,112000.0,nM,
CHEMBL1235738,IC50,17700.0,nM,
CHEMBL332223,IC50,229.09,nM,
CHEMBL333180,IC50,208.93,nM,
CHEMBL123609,IC50,1000.0,nM,
CHEMBL122750,IC50,501.19,nM,
CHEMBL331290,IC50,28.84,nM,
CHEMBL332164,IC50,28.84,nM,
CHEMBL123768,IC50,190.55,nM,
CHEMBL122697,IC50,501.19,nM,
CHEMBL340590,IC50,30.2,nM,
CHEMBL122279,IC50,15135.61,nM,
CHEMBL125541,IC50,19.95,nM,
CHEMBL331245,IC50,12022.64,nM,
CHEMBL121752,IC50,257.04,nM,
CHEMBL123071,IC50,67.61,nM,
CHEMBL123155,IC50,60.26,nM,
CHEMBL2372410,Ki,2000.0,nM,
CHEMBL56918,IC50,26915.35,nM,
CHEMBL122239,IC50,15135.61,nM,
CHEMBL118875,IC50,11220.18,nM,
CHEMBL333655,IC50,23988.33,nM,
CHEMBL66225,Ki,10.0,nM,
CHEMBL130217,IC50,11000.0,nM,
CHEMBL175484,Ki,200000.0,nM,
CHEMBL179191,Ki,5900.0,nM,
CHEMBL360048,Ki,3400.0,nM,
CHEMBL179128,Ki,25000.0,nM,
CHEMBL368870,Ki,4500.0,nM,
CHEMBL361190,Ki,3500.0,nM,
CHEMBL367974,Ki,102000.0,nM,
CHEMBL177061,Ki,500.0,nM,
CHEMBL179190,Ki,1600.0,nM,
CHEMBL179162,Ki,3000.0,nM,
CHEMBL177899,Ki,16000.0,nM,
CHEMBL424956,Ki,47000.0,nM,
CHEMBL369684,Ki,200000.0,nM,
CHEMBL176111,Ki,200000.0,nM,
CHEMBL360090,Ki,100000.0,nM,
CHEMBL360759,Ki,200000.0,nM,
CHEMBL179100,Ki,3200.0,nM,
CHEMBL175851,Ki,100000.0,nM,
CHEMBL360015,Ki,200000.0,nM,
CHEMBL186784,IC50,840.0,nM,
CHEMBL187368,IC50,310.0,nM,
CHEMBL364619,IC50,900.0,nM,
CHEMBL185960,IC50,3800.0,nM,
CHEMBL186609,IC50,5300.0,nM,
CHEMBL365640,IC50,1100.0,nM,
CHEMBL186368,IC50,180.0,nM,
CHEMBL359978,IC50,1300.0,nM,
CHEMBL187801,IC50,30000.0,nM,
CHEMBL185686,IC50,730.0,nM,
CHEMBL185788,IC50,4500.0,nM,
CHEMBL185425,IC50,23000.0,nM,
CHEMBL188014,IC50,110.0,nM,
CHEMBL187178,IC50,20200.0,nM,
CHEMBL186191,IC50,36000.0,nM,
CHEMBL187159,IC50,51000.0,nM,
CHEMBL186863,IC50,18000.0,nM,
CHEMBL185895,IC50,65000.0,nM,
CHEMBL186020,IC50,31000.0,nM,
CHEMBL365234,IC50,3800.0,nM,
CHEMBL363747,IC50,40.0,nM,
CHEMBL185138,IC50,29000.0,nM,
CHEMBL186416,IC50,58000.0,nM,
CHEMBL362107,IC50,4300.0,nM,
CHEMBL441121,IC50,3700.0,nM,
CHEMBL364169,IC50,27000.0,nM,
CHEMBL186957,IC50,14900.0,nM,
CHEMBL187247,IC50,37000.0,nM,
CHEMBL183946,IC50,3300.0,nM,
CHEMBL188061,IC50,40000.0,nM,
CHEMBL186433,IC50,2700.0,nM,
CHEMBL186576,IC50,51000.0,nM,
CHEMBL186888,IC50,37000.0,nM,
CHEMBL361025,IC50,8000.0,nM,
CHEMBL184574,IC50,13000.0,nM,
CHEMBL185776,IC50,660.0,nM,
CHEMBL187043,IC50,24000.0,nM,
CHEMBL187044,IC50,8500.0,nM,
CHEMBL26323,IC50,19000.0,nM,
CHEMBL187265,IC50,25000.0,nM,
CHEMBL435101,IC50,24000.0,nM,
CHEMBL187694,IC50,32000.0,nM,
CHEMBL1255743,IC50,20000.0,nM,
