molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL293559,Km,169000.0,nM,
CHEMBL57299,Km,232000.0,nM,
CHEMBL430593,Km,176000.0,nM,
CHEMBL24172,Km,654000.0,nM,
CHEMBL55325,Km,82000.0,nM,
CHEMBL56750,Km,108000.0,nM,
CHEMBL56823,Km,55000.0,nM,
CHEMBL293335,Km,426000.0,nM,
CHEMBL56134,Km,129000.0,nM,
CHEMBL55602,Km,174000.0,nM,
CHEMBL56097,Km,83000.0,nM,
CHEMBL301898,Km,101000.0,nM,
CHEMBL538902,Km,103000.0,nM,
CHEMBL56649,Km,47000.0,nM,
CHEMBL56363,Km,212000.0,nM,
CHEMBL57403,Km,75000.0,nM,
CHEMBL55707,Km,306000.0,nM,
CHEMBL53515,Km,63000.0,nM,
CHEMBL59980,Km,,,
CHEMBL24172,Vmax,20.0,,
CHEMBL24172,Km,0.14,,
CHEMBL60036,Km,,,
CHEMBL62153,Vmax,107.0,,
CHEMBL62153,Km,0.12,,
CHEMBL277177,Vmax,526.0,,
CHEMBL277177,Km,0.61,,
CHEMBL23918,Vmax,204.0,,
CHEMBL23918,Km,0.46,,
CHEMBL163651,Km,52000.0,nM,
CHEMBL353619,Km,130000.0,nM,
CHEMBL23265,Km,36000.0,nM,
CHEMBL177029,Km,480000.0,nM,
CHEMBL23318,Km,167000.0,nM,
CHEMBL301898,Km,101000.0,nM,
CHEMBL173759,Km,144000.0,nM,
CHEMBL368801,Km,77000.0,nM,
CHEMBL170263,Km,29000.0,nM,
CHEMBL173247,Km,278000.0,nM,
CHEMBL24172,Km,140000.0,nM,
CHEMBL56823,Km,55000.0,nM,
CHEMBL23319,Km,170000.0,nM,
CHEMBL172767,Km,51000.0,nM,
CHEMBL538902,Km,66000.0,nM,
CHEMBL23154,Km,108000.0,nM,
CHEMBL282036,Km,102000.0,nM,
CHEMBL23265,Km,36000.0,nM,
CHEMBL23318,Km,167000.0,nM,
CHEMBL24172,Km,140000.0,nM,
CHEMBL23319,Km,170000.0,nM,
CHEMBL23475,Km,130000.0,nM,
CHEMBL538902,Km,66000.0,nM,
CHEMBL23722,Km,76000.0,nM,
CHEMBL23918,Km,4600.0,nM,
CHEMBL23818,Km,188000.0,nM,
CHEMBL522,Km,780000.0,nM,
CHEMBL23582,Km,120000.0,nM,
CHEMBL23419,Km,48000.0,nM,
CHEMBL282034,Km,136000.0,nM,
CHEMBL277177,Km,74000.0,nM,
CHEMBL23487,Km,43000.0,nM,
CHEMBL502371,Km,457170.0,nM,
CHEMBL502371,Vmax,185.67,nmol/min,
CHEMBL498683,Km,457170.0,nM,
CHEMBL498683,Vmax,185.67,nmol/min,
CHEMBL498507,Km,457170.0,nM,
CHEMBL498507,Vmax,185.67,nmol/min,
CHEMBL457535,Km,457170.0,nM,
CHEMBL457535,Vmax,185.67,nmol/min,
CHEMBL498506,Km,457170.0,nM,
CHEMBL498506,Vmax,185.67,nmol/min,
CHEMBL498505,Km,457170.0,nM,
CHEMBL498505,Vmax,185.67,nmol/min,
CHEMBL496281,Km,457170.0,nM,
CHEMBL496281,Vmax,185.67,nmol/min,
CHEMBL496280,Km,457170.0,nM,
CHEMBL496280,Vmax,185.67,nmol/min,
CHEMBL496279,Km,457170.0,nM,
CHEMBL496279,Vmax,185.67,nmol/min,
CHEMBL11608,Km,514000.0,nM,
CHEMBL11608,Vmax,301.4,nmol/min/mg,
CHEMBL3086335,Km,10.0,nM,
CHEMBL3086340,Km,44000.0,nM,
CHEMBL3086338,Km,43000.0,nM,
CHEMBL3086337,Km,1200000.0,nM,
CHEMBL3086336,Km,80000.0,nM,
