molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL331650,Ki,30.0,nM,
CHEMBL121432,Ki,38.0,nM,
CHEMBL156630,IC50,1000000.0,nM,
CHEMBL155754,IC50,1000000.0,nM,
CHEMBL350093,IC50,18.0,nM,
CHEMBL161907,IC50,9.0,nM,
CHEMBL17079,IC50,4.4,nM,
CHEMBL348083,IC50,1000000.0,nM,
CHEMBL157182,IC50,395000.0,nM,
CHEMBL160347,IC50,23400.0,nM,
CHEMBL347197,IC50,77600.0,nM,
CHEMBL160219,IC50,1000000.0,nM,
CHEMBL445916,IC50,1000000.0,nM,
CHEMBL158041,IC50,1000000.0,nM,
CHEMBL434261,IC50,2.0,nM,
CHEMBL348607,IC50,175000.0,nM,
CHEMBL156919,IC50,1000000.0,nM,
CHEMBL156931,IC50,1000000.0,nM,
CHEMBL17092,IC50,2.2,nM,
CHEMBL160836,IC50,1000000.0,nM,
CHEMBL16530,IC50,8.0,nM,
CHEMBL348961,IC50,0.014,nM,
CHEMBL156861,IC50,1000000.0,nM,
CHEMBL346766,IC50,317000.0,nM,
CHEMBL16623,IC50,16.0,nM,
CHEMBL155350,IC50,1000000.0,nM,
CHEMBL433041,IC50,,nM,
CHEMBL155863,IC50,1000000.0,nM,
CHEMBL414637,IC50,0.318,nM,
CHEMBL341071,IC50,130.0,nM,
CHEMBL127983,IC50,90.0,nM,
CHEMBL158946,IC50,51000.0,nM,
CHEMBL350464,IC50,1000000.0,nM,
CHEMBL161896,IC50,20.0,nM,
CHEMBL304241,IC50,19000.0,nM,
CHEMBL303112,Ki,320000.0,nM,
CHEMBL62743,IC50,42000.0,nM,
CHEMBL293004,Ki,330000.0,nM,
CHEMBL293004,Ki,1000000.0,nM,
CHEMBL65252,IC50,20000.0,nM,
CHEMBL303112,Ki,270000.0,nM,
CHEMBL293004,IC50,100000.0,nM,
CHEMBL293004,Ki,760000.0,nM,
CHEMBL63223,IC50,89000.0,nM,
CHEMBL66639,IC50,40000.0,nM,
CHEMBL418480,IC50,120000.0,nM,
CHEMBL291647,IC50,83000.0,nM,
CHEMBL303594,IC50,25000.0,nM,
CHEMBL294811,IC50,30000.0,nM,
CHEMBL65761,IC50,7200.0,nM,
CHEMBL303112,IC50,130000.0,nM,
CHEMBL303112,Ki,600000.0,nM,
CHEMBL40901,Ki,1350000.0,nM,
CHEMBL40901,Ki,1330000.0,nM,
CHEMBL40948,Ki,1900000.0,nM,
CHEMBL40948,Ki,,nM,
CHEMBL41827,Ki,1040000.0,nM,
CHEMBL41827,Ki,,nM,
CHEMBL24172,Ki,280000.0,nM,
CHEMBL24172,Ki,500000.0,nM,
CHEMBL40791,Ki,6200000.0,nM,
CHEMBL40791,Ki,,nM,
CHEMBL40735,Ki,1940000.0,nM,
CHEMBL40735,Ki,,nM,
CHEMBL39962,Ki,2300000.0,nM,
CHEMBL39962,Ki,,nM,
CHEMBL289967,Ki,690000.0,nM,
CHEMBL289967,Ki,940000.0,nM,
CHEMBL43237,Ki,510000.0,nM,
CHEMBL43237,Ki,,nM,
CHEMBL41312,Ki,380000.0,nM,
CHEMBL41312,Ki,670000.0,nM,
CHEMBL299655,IC50,20.0,nM,
CHEMBL903,IC50,6.7,nM,
CHEMBL2094028,IC50,1240.0,nM,
CHEMBL445099,IC50,,nM,
CHEMBL542118,IC50,33.0,nM,
CHEMBL500093,IC50,33.0,nM,
CHEMBL445099,IC50,,nM,
CHEMBL51601,IC50,660.0,nM,
CHEMBL2094026,IC50,490.0,nM,
CHEMBL2094027,IC50,3.6,nM,
CHEMBL555111,IC50,,nM,
CHEMBL51601,IC50,12.0,nM,
CHEMBL2094014,IC50,,nM,
CHEMBL2093957,IC50,190.0,nM,
CHEMBL1255743,IC50,35.0,nM,
CHEMBL2094015,IC50,,nM,
CHEMBL553751,Ki,,nM,
CHEMBL545652,Ki,2300000.0,nM,
CHEMBL544010,Ki,,nM,
CHEMBL38064,Ki,,nM,
CHEMBL541281,Ki,580000.0,nM,
CHEMBL291083,Ki,,nM,
CHEMBL285230,Ki,,nM,
CHEMBL555787,Ki,29000.0,nM,
CHEMBL431712,Ki,,nM,
CHEMBL39569,Ki,,nM,
CHEMBL545413,Ki,1000.0,nM,
CHEMBL555908,Ki,,nM,
CHEMBL544715,Ki,,nM,
CHEMBL555788,Ki,,nM,
CHEMBL545177,Ki,,nM,
CHEMBL545409,Ki,,nM,
CHEMBL542095,Ki,,nM,
CHEMBL288122,Ki,76000.0,nM,
CHEMBL37589,Ki,,nM,
CHEMBL544008,Ki,,nM,
CHEMBL37607,Ki,,nM,
CHEMBL544714,Ki,,nM,
CHEMBL555559,Ki,1900000.0,nM,
CHEMBL545179,Ki,,nM,
CHEMBL544004,Ki,,nM,
CHEMBL287851,Ki,,nM,
CHEMBL454315,Ki,1600000.0,nM,
CHEMBL291050,Ki,,nM,
CHEMBL14346,Ki,15000.0,nM,
CHEMBL510708,Ki,,nM,
CHEMBL555558,Ki,,nM,
CHEMBL36580,Ki,,nM,
CHEMBL39613,Ki,,nM,
CHEMBL538733,Ki,,nM,
CHEMBL290302,Ki,15000.0,nM,
CHEMBL3350471,Ki,,nM,
CHEMBL416055,Ki,,nM,
CHEMBL540259,Ki,,nM,
CHEMBL371428,Ki,17000.0,nM,
CHEMBL255231,Ki,213000.0,nM,
CHEMBL887,Ki,700.0,nM,
CHEMBL887,IC50,14.0,nM,
CHEMBL436947,Ki,600.0,nM,
CHEMBL1235738,Ki,127000.0,nM,
CHEMBL1235738,IC50,14.0,nM,
CHEMBL332223,IC50,5011.87,nM,
CHEMBL333180,IC50,1000.0,nM,
CHEMBL123609,IC50,33.11,nM,
CHEMBL122750,IC50,22.91,nM,
CHEMBL331290,IC50,104.71,nM,
CHEMBL332164,IC50,100.0,nM,
CHEMBL123768,IC50,1000.0,nM,
CHEMBL122697,IC50,1000.0,nM,
CHEMBL340590,IC50,10.0,nM,
CHEMBL122279,IC50,17.38,nM,
CHEMBL125541,IC50,109.65,nM,
CHEMBL331245,IC50,19.05,nM,
CHEMBL121752,IC50,1000.0,nM,
CHEMBL123071,IC50,19.5,nM,
CHEMBL123155,IC50,114.82,nM,
CHEMBL56918,IC50,144.54,nM,
CHEMBL122239,IC50,588.84,nM,
CHEMBL326485,IC50,1513.56,nM,
CHEMBL119017,IC50,128.82,nM,
CHEMBL120770,IC50,169.82,nM,
CHEMBL118875,IC50,630.96,nM,
CHEMBL118629,IC50,1698.24,nM,
CHEMBL333655,IC50,28.18,nM,
CHEMBL130217,IC50,200.0,nM,
CHEMBL542118,IC50,19000.0,nM,
CHEMBL361891,Ki,42000.0,nM,
CHEMBL187624,Ki,875000.0,nM,
CHEMBL187462,Ki,600000.0,nM,
CHEMBL371359,Ki,500000.0,nM,
CHEMBL2093956,IC50,6700.0,nM,
CHEMBL903,IC50,6700.0,nM,
CHEMBL364437,Ki,100000.0,nM,
CHEMBL373323,Ki,10000.0,nM,
CHEMBL187760,Ki,100000.0,nM,
CHEMBL372047,Ki,100000.0,nM,
CHEMBL370697,Ki,100000.0,nM,
CHEMBL193000,Ki,100000.0,nM,
CHEMBL365987,Ki,15000.0,nM,
CHEMBL364917,Ki,36000.0,nM,
CHEMBL188105,Ki,9220.0,nM,
CHEMBL188105,Ki,140000.0,nM,
CHEMBL189117,Ki,23900.0,nM,
CHEMBL372923,Ki,700000.0,nM,
CHEMBL191203,Ki,500000.0,nM,
CHEMBL365132,Ki,520000.0,nM,
CHEMBL190325,Ki,410000.0,nM,
CHEMBL371785,Ki,400000.0,nM,
CHEMBL190268,Ki,100000.0,nM,
CHEMBL188105,Ki,17200.0,nM,
CHEMBL188105,Ki,1240.0,nM,
CHEMBL188105,Ki,46000.0,nM,
CHEMBL188105,Ki,10000.0,nM,
CHEMBL86304,Ki,100000.0,nM,
CHEMBL18116,Ki,15000.0,nM,
CHEMBL972,Ki,970.0,nM,
CHEMBL887,Ki,700.0,nM,
CHEMBL371428,Ki,17000.0,nM,
CHEMBL436947,Ki,600.0,nM,
CHEMBL673,Ki,1800.0,nM,
CHEMBL972,Ki,970.0,nM,
CHEMBL194732,Ki,100000.0,nM,
CHEMBL198810,Ki,600.0,nM,
CHEMBL326294,Ki,3000.0,nM,
CHEMBL348961,Ki,14000.0,nM,
CHEMBL279390,Ki,84.0,nM,
CHEMBL536057,IC50,71000.0,nM,
CHEMBL536510,IC50,,,
CHEMBL536509,IC50,,,
CHEMBL559381,IC50,,,
CHEMBL557373,IC50,,,
CHEMBL540369,IC50,,,
CHEMBL536740,IC50,,,
CHEMBL534491,IC50,,,
CHEMBL538327,IC50,,,
CHEMBL534938,IC50,,,
CHEMBL556769,IC50,650.0,nM,
CHEMBL553631,IC50,90000.0,nM,
CHEMBL536059,IC50,81000.0,nM,
CHEMBL536060,IC50,24500.0,nM,
CHEMBL142738,IC50,8.71,nM,
CHEMBL145781,IC50,1.698,nM,
CHEMBL339565,IC50,26.3,nM,
CHEMBL124935,IC50,8.318,nM,
CHEMBL123895,IC50,524.81,nM,
CHEMBL339429,IC50,117.49,nM,
CHEMBL339027,IC50,33.11,nM,
CHEMBL127983,IC50,5.37,nM,
CHEMBL127774,IC50,8.511,nM,
CHEMBL338094,IC50,8.128,nM,
CHEMBL127622,IC50,5.623,nM,
CHEMBL127517,IC50,10.96,nM,
CHEMBL339626,IC50,4.571,nM,
CHEMBL127518,IC50,190.55,nM,
CHEMBL125921,IC50,5.012,nM,
CHEMBL340701,IC50,14.79,nM,
CHEMBL127751,IC50,42.66,nM,
CHEMBL125044,IC50,74.13,nM,
CHEMBL125094,IC50,42.66,nM,
CHEMBL127757,IC50,269.15,nM,
CHEMBL339561,IC50,602.56,nM,
CHEMBL420523,IC50,2691.53,nM,
CHEMBL127982,IC50,6.31,nM,
CHEMBL125843,IC50,26.3,nM,
CHEMBL126505,IC50,31.62,nM,
CHEMBL338035,IC50,758.58,nM,
CHEMBL128029,IC50,1288.25,nM,
CHEMBL421088,IC50,177.83,nM,
CHEMBL126504,IC50,2951.21,nM,
CHEMBL341071,IC50,2754.23,nM,
CHEMBL357614,IC50,1.622,nM,
CHEMBL142582,IC50,1.122,nM,
CHEMBL145792,IC50,2.344,nM,
CHEMBL274030,IC50,1.479,nM,
CHEMBL276076,IC50,1.549,nM,
CHEMBL18966,IC50,1.38,nM,
CHEMBL356977,IC50,1.096,nM,
CHEMBL356714,IC50,1.413,nM,
CHEMBL143555,IC50,4.266,nM,
CHEMBL109018,IC50,2.138,nM,
CHEMBL108697,IC50,0.912,nM,
CHEMBL439811,IC50,7.943,nM,
CHEMBL145003,IC50,3.631,nM,
CHEMBL111310,IC50,1.66,nM,
CHEMBL109085,IC50,1.202,nM,
CHEMBL342327,IC50,1.95,nM,
CHEMBL214255,IC50,2238.72,nM,
CHEMBL342724,IC50,125.89,nM,
CHEMBL142916,IC50,3.89,nM,
CHEMBL145452,IC50,199.53,nM,
CHEMBL18978,IC50,15.85,nM,
CHEMBL145292,IC50,1.122,nM,
CHEMBL146222,IC50,1.778,nM,
CHEMBL142799,IC50,0.912,nM,
CHEMBL348922,IC50,1.38,nM,
CHEMBL111309,IC50,1.072,nM,
CHEMBL145374,IC50,257.04,nM,
CHEMBL145503,IC50,3.236,nM,
CHEMBL108660,IC50,1.585,nM,
CHEMBL143316,IC50,57.54,nM,
CHEMBL434695,IC50,64.57,nM,
CHEMBL387777,Ki,100000.0,nM,
CHEMBL387778,Ki,4580.0,nM,
CHEMBL229472,Ki,14030.0,nM,
CHEMBL396778,Ki,450.0,nM,
CHEMBL239508,Ki,400.0,nM,
CHEMBL239507,Ki,100.0,nM,
CHEMBL158946,IC50,51000.0,nM,
CHEMBL255700,IC50,4240.0,nM,
CHEMBL258420,IC50,57.0,nM,
CHEMBL257368,IC50,64200.0,nM,
CHEMBL356385,IC50,1500.0,nM,
CHEMBL255231,IC50,120000.0,nM,
CHEMBL255230,IC50,32000.0,nM,
CHEMBL887,IC50,4.4,nM,
CHEMBL109018,IC50,3.31,nM,
CHEMBL26138,Ki,70.0,nM,
CHEMBL972,IC50,7.0,nM,
CHEMBL255590,IC50,72000.0,nM,
CHEMBL502371,IC50,711.23,nM,
CHEMBL92401,IC50,7540.0,nM,
CHEMBL972,IC50,19.6,nM,
CHEMBL8706,IC50,61350.0,nM,
CHEMBL498683,IC50,26.23,nM,
CHEMBL498507,IC50,32.33,nM,
CHEMBL457535,IC50,2370.0,nM,
CHEMBL498506,IC50,142.64,nM,
CHEMBL498505,IC50,14.2,nM,
CHEMBL496281,IC50,26810.0,nM,
CHEMBL496280,IC50,203.83,nM,
CHEMBL496279,IC50,13120.0,nM,
CHEMBL497674,IC50,47.24,nM,
CHEMBL508324,IC50,32.48,nM,
CHEMBL456150,IC50,63.02,nM,
CHEMBL453703,IC50,9.8,nM,
CHEMBL498694,IC50,16.58,nM,
CHEMBL497676,IC50,30.08,nM,
CHEMBL497675,IC50,36.06,nM,
CHEMBL524447,IC50,22.01,nM,
CHEMBL483450,Ki,83.0,nM,
CHEMBL522271,Ki,36.0,nM,
CHEMBL472080,IC50,500.0,nM,
CHEMBL472081,IC50,25360.0,nM,
CHEMBL512883,IC50,3270.0,nM,
CHEMBL472638,IC50,7680.0,nM,
CHEMBL494795,IC50,760.0,nM,
