molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL163651,Km,60900.0,nM,
CHEMBL258547,Km,221000.0,nM,
CHEMBL258547,Vmax,135.0,nmol,
CHEMBL408592,Km,221000.0,nM,
CHEMBL408592,Vmax,135.0,nmol,
CHEMBL502371,Km,220330.0,nM,
CHEMBL498683,Vmax,24.32,nmol/min,
CHEMBL502371,Vmax,24.32,nmol/min,
CHEMBL498683,Km,220330.0,nM,
CHEMBL498507,Km,220330.0,nM,
CHEMBL498507,Vmax,24.32,nmol/min,
CHEMBL457535,Km,220330.0,nM,
CHEMBL457535,Vmax,24.32,nmol/min,
CHEMBL498506,Km,220330.0,nM,
CHEMBL498506,Vmax,24.32,nmol/min,
CHEMBL498505,Km,220330.0,nM,
CHEMBL498505,Vmax,24.32,nmol/min,
CHEMBL496281,Km,220330.0,nM,
CHEMBL496281,Vmax,24.32,nmol/min,
CHEMBL496280,Km,220330.0,nM,
CHEMBL496280,Vmax,24.32,nmol/min,
CHEMBL496279,Km,220330.0,nM,
CHEMBL496279,Vmax,24.32,nmol/min,
CHEMBL79512,Kcat,109.0,/min,
CHEMBL11608,Km,104700.0,nM,
CHEMBL11608,Vmax,28.9,nmol/min/mg,
CHEMBL3086335,Km,10.0,nM,
CHEMBL3086340,Km,12000.0,nM,
CHEMBL3086338,Km,50000.0,nM,
CHEMBL3086337,Km,401000.0,nM,
CHEMBL3086336,Km,18000.0,nM,
CHEMBL4210083,Km,409.3,nM,
CHEMBL4210083,Vmax,5.86,10'7U/min,
