molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL108417,Ki,10620.0,nM,
CHEMBL322717,Ki,1591.0,nM,
CHEMBL423694,IC50,5250.0,nM,
CHEMBL278078,IC50,3480.0,nM,
CHEMBL107536,Ki,,nM,
CHEMBL110138,Ki,801.0,nM,
CHEMBL110379,Ki,1599.0,nM,
CHEMBL107246,Ki,,nM,
CHEMBL448155,Ki,865.0,nM,
CHEMBL321462,Ki,2176.0,nM,
CHEMBL320061,Ki,,nM,
CHEMBL107288,Ki,2248.0,nM,
CHEMBL108893,Ki,1815.0,nM,
CHEMBL327118,Ki,7159.0,nM,
CHEMBL13470,IC50,320.0,nM,
CHEMBL127802,IC50,4130.0,nM,
CHEMBL126946,IC50,10000.0,nM,
CHEMBL338980,IC50,8150.0,nM,
CHEMBL108904,Ki,586.0,nM,
CHEMBL324895,Ki,5551.0,nM,
CHEMBL415521,IC50,3800.0,nM,
CHEMBL126884,IC50,1020.0,nM,
CHEMBL338089,IC50,10000.0,nM,
CHEMBL317479,Ki,516.0,nM,
CHEMBL320804,Ki,7217.0,nM,
CHEMBL110933,Ki,4130.0,nM,
CHEMBL126255,IC50,3330.0,nM,
CHEMBL106084,Ki,2148.0,nM,
CHEMBL106190,Ki,4705.0,nM,
CHEMBL316961,Ki,1967.0,nM,
CHEMBL110126,Ki,488.0,nM,
CHEMBL126857,IC50,2590.0,nM,
CHEMBL126842,IC50,10000.0,nM,
CHEMBL106359,Ki,9666.0,nM,
CHEMBL324897,Ki,4317.0,nM,
CHEMBL108995,Ki,1939.0,nM,
CHEMBL108900,Ki,3975.0,nM,
CHEMBL339457,IC50,3570.0,nM,
CHEMBL129315,IC50,5440.0,nM,
CHEMBL340131,IC50,2740.0,nM,
CHEMBL106235,Ki,8067.0,nM,
CHEMBL127788,IC50,3390.0,nM,
CHEMBL129693,IC50,6760.0,nM,
CHEMBL129034,IC50,817.0,nM,
CHEMBL127495,IC50,5980.0,nM,
CHEMBL340476,IC50,597.0,nM,
CHEMBL126141,IC50,1030.0,nM,
CHEMBL108894,Ki,152.0,nM,
CHEMBL419179,Ki,4245.0,nM,
CHEMBL106155,Ki,1494.0,nM,
CHEMBL126370,IC50,2980.0,nM,
CHEMBL316961,Ki,6088.0,nM,
CHEMBL106785,Ki,3452.0,nM,
CHEMBL320582,Ki,2502.0,nM,
CHEMBL324635,Ki,1654.0,nM,
CHEMBL339922,IC50,5440.0,nM,
CHEMBL106043,Ki,5401.0,nM,
CHEMBL339898,IC50,1510.0,nM,
CHEMBL129300,IC50,3290.0,nM,
CHEMBL431445,Ki,1766.0,nM,
CHEMBL106366,Ki,6015.0,nM,
CHEMBL127007,IC50,5050.0,nM,
CHEMBL63563,Ki,59.0,nM,
