molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL2074759,Km,11400.0,nM,
CHEMBL1697724,Km,17700.0,nM,
CHEMBL1679,Km,1740000.0,nM,
CHEMBL1622,Km,1960000.0,nM,
CHEMBL2074756,Km,2900.0,nM,
CHEMBL411070,Km,248000.0,nM,
CHEMBL1697724,Km,25600.0,nM,
CHEMBL1697724,Km,29000.0,nM,
CHEMBL224867,Km,30000.0,nM,
CHEMBL1697724,Km,42900.0,nM,
CHEMBL495936,Km,5300.0,nM,
CHEMBL213947,Km,5700.0,nM,
CHEMBL34259,Km,620000.0,nM,
CHEMBL34259,Km,776000.0,nM,
CHEMBL2074825,Km,9200.0,nM,
CHEMBL34259,Km,910000.0,nM,
