molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL139727,IC50,8.8,nM,
CHEMBL141910,IC50,28.0,nM,
CHEMBL344020,IC50,9.3,nM,
CHEMBL343970,IC50,14.7,nM,
CHEMBL141872,IC50,3.9,nM,
CHEMBL48981,IC50,19.0,nM,
CHEMBL138970,IC50,1.3,nM,
CHEMBL3706653,IC50,3.4,nM,
CHEMBL407196,IC50,0.2,nM,
CHEMBL410289,IC50,113.0,nM,
CHEMBL2369629,IC50,22.1,nM,
CHEMBL2370477,IC50,24.6,nM,
CHEMBL408381,IC50,0.3,nM,
CHEMBL413010,IC50,42.4,nM,
CHEMBL407187,IC50,11.87,nM,
CHEMBL409477,IC50,0.4,nM,
CHEMBL2369628,IC50,0.5,nM,
CHEMBL408638,IC50,0.4,nM,
CHEMBL404942,IC50,0.4,nM,
CHEMBL3706654,IC50,0.6,nM,
CHEMBL424896,IC50,2.5,nM,
CHEMBL405804,IC50,21.7,nM,
CHEMBL2369133,IC50,0.6,nM,
CHEMBL437707,IC50,1.5,nM,
CHEMBL436717,IC50,1000.0,nM,
CHEMBL3706655,IC50,1.2,nM,
CHEMBL408127,IC50,0.3,nM,
CHEMBL2369627,IC50,10.2,nM,
CHEMBL405160,IC50,11.5,nM,
CHEMBL413192,IC50,6.3,nM,
CHEMBL2370480,IC50,59.6,nM,
CHEMBL2370479,IC50,106.0,nM,
CHEMBL3142915,IC50,0.5,nM,
CHEMBL2370478,IC50,0.4,nM,
CHEMBL386387,IC50,0.6,nM,
CHEMBL337644,IC50,0.38,nM,
CHEMBL337260,IC50,0.34,nM,
CHEMBL132507,IC50,0.4,nM,
CHEMBL439494,IC50,0.4,nM,
CHEMBL132524,IC50,0.3,nM,
CHEMBL339139,IC50,0.59,nM,
CHEMBL133850,IC50,0.28,nM,
CHEMBL335846,IC50,5.71,nM,
CHEMBL342252,IC50,0.3,nM,
CHEMBL132794,IC50,0.51,nM,
CHEMBL430910,IC50,0.3,nM,
CHEMBL435199,IC50,133.0,nM,
CHEMBL129953,IC50,0.34,nM,
CHEMBL132409,IC50,0.4,nM,
CHEMBL336836,IC50,0.25,nM,
CHEMBL337721,IC50,1.2,nM,
CHEMBL133378,IC50,0.36,nM,
CHEMBL434227,IC50,0.3,nM,
CHEMBL133849,IC50,0.52,nM,
CHEMBL133798,IC50,1.6,nM,
CHEMBL133340,IC50,0.24,nM,
CHEMBL362127,Ki,12.0,nM,
CHEMBL434134,Ki,17000.0,nM,
CHEMBL186637,Ki,100000.0,nM,
CHEMBL186638,Ki,14000.0,nM,
CHEMBL405584,Kd,1.3,nM,
CHEMBL405584,Kd,1.8,nM,
CHEMBL2310906,Ki,1400.0,nM,
CHEMBL342252,Ki,0.27,nM,
CHEMBL342252,Kd,0.16,nM,
CHEMBL375002,IC50,2.9,nM,
CHEMBL375002,IC50,0.51,nM,
CHEMBL375002,IC50,0.85,nM,
CHEMBL219862,IC50,0.66,nM,
CHEMBL219862,IC50,1.5,nM,
CHEMBL1791383,IC50,0.18,nM,
CHEMBL1791383,IC50,0.41,nM,
CHEMBL2369722,IC50,0.14,nM,
CHEMBL407196,IC50,0.46,nM,
CHEMBL407196,IC50,0.62,nM,
CHEMBL2369722,IC50,0.32,nM,
CHEMBL294989,EC50,215500.0,nM,
CHEMBL407196,EC50,310.0,nM,
CHEMBL496585,EC50,178010.0,nM,
CHEMBL294989,IC50,3.79,nM,
CHEMBL407196,IC50,6.03,nM,
CHEMBL496585,IC50,3.76,nM,
CHEMBL496585,Ki,545.0,nM,
CHEMBL508044,EC50,67.0,nM,
CHEMBL518675,EC50,1214.0,nM,
CHEMBL462830,EC50,220.0,nM,
CHEMBL464011,EC50,2043.0,nM,
CHEMBL463227,EC50,986.0,nM,
CHEMBL407196,EC50,0.23,nM,
CHEMBL463811,EC50,178.0,nM,
CHEMBL294989,EC50,216.0,nM,
CHEMBL407196,IC50,2.19,nM,
CHEMBL342252,IC50,1.4,nM,
CHEMBL344337,IC50,2.42,nM,
CHEMBL468951,IC50,0.383,nM,
CHEMBL504768,IC50,0.97,nM,
CHEMBL501575,IC50,6.5,nM,
CHEMBL505695,IC50,2.68,nM,
CHEMBL505906,IC50,10.8,nM,
CHEMBL508507,IC50,181.0,nM,
CHEMBL447400,IC50,27.0,nM,
CHEMBL453924,IC50,7.32,nM,
CHEMBL499673,IC50,13.9,nM,
CHEMBL450258,IC50,3.99,nM,
CHEMBL445035,IC50,403.0,nM,
CHEMBL500734,IC50,863.0,nM,
CHEMBL266571,IC50,240.0,nM,
CHEMBL508380,IC50,140.0,nM,
CHEMBL501956,IC50,2900.0,nM,
CHEMBL500173,IC50,842.0,nM,
CHEMBL407196,EC50,1.98,nM,
CHEMBL342252,EC50,1.0,nM,
CHEMBL344337,EC50,1.89,nM,
CHEMBL468951,EC50,0.853,nM,
CHEMBL504768,EC50,0.78,nM,
CHEMBL501575,EC50,7.76,nM,
CHEMBL505695,EC50,1.85,nM,
CHEMBL505906,EC50,6.21,nM,
CHEMBL508507,EC50,57.7,nM,
CHEMBL447400,EC50,7.96,nM,
CHEMBL453924,EC50,7.28,nM,
CHEMBL499673,EC50,6.44,nM,
CHEMBL450258,EC50,25.8,nM,
CHEMBL445035,EC50,217.0,nM,
CHEMBL500734,EC50,764.0,nM,
CHEMBL266571,EC50,200.0,nM,
CHEMBL508380,EC50,151.0,nM,
CHEMBL501956,EC50,1860.0,nM,
CHEMBL500173,EC50,783.0,nM,
CHEMBL407196,Ki,1.64,nM,
CHEMBL342252,Ki,1.05,nM,
CHEMBL344337,Ki,1.81,nM,
CHEMBL468951,Ki,0.29,nM,
CHEMBL504768,Ki,0.73,nM,
CHEMBL501575,Ki,4.87,nM,
CHEMBL505695,Ki,2.01,nM,
CHEMBL505906,Ki,8.07,nM,
CHEMBL508507,Ki,136.0,nM,
CHEMBL447400,Ki,20.3,nM,
CHEMBL453924,Ki,5.49,nM,
CHEMBL499673,Ki,10.4,nM,
CHEMBL450258,Ki,2.99,nM,
CHEMBL445035,Ki,303.0,nM,
CHEMBL500734,Ki,647.0,nM,
CHEMBL266571,Ki,180.0,nM,
CHEMBL508380,Ki,105.0,nM,
CHEMBL501956,Ki,2170.0,nM,
CHEMBL500173,Ki,631.0,nM,
CHEMBL342252,Ki,0.14,nM,
CHEMBL266571,Ki,95.0,nM,
CHEMBL499673,Ki,9.9,nM,
CHEMBL453924,Ki,4.5,nM,
CHEMBL407196,EC50,2.0,nM,
CHEMBL506981,IC50,0.99,nM,
CHEMBL407196,Ki,1.5,nM,
CHEMBL407196,IC50,1.8,nM,
CHEMBL407196,Ki,2.1,nM,
CHEMBL507382,Ki,2.4,nM,
CHEMBL508130,Ki,190.0,nM,
CHEMBL503059,Ki,160.0,nM,
CHEMBL2310906,Ki,5100.0,nM,
CHEMBL443967,Ki,0.51,nM,
CHEMBL342252,Ki,0.63,nM,
CHEMBL342252,Kd,0.63,nM,
CHEMBL342252,Kd,0.47,nM,
CHEMBL342252,Kd,0.8,nM,
CHEMBL2310906,Ki,5.1,nM,
