molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL108417,Ki,1062.0,nM,
CHEMBL322717,Ki,1016.0,nM,
CHEMBL110138,Ki,1135.0,nM,
CHEMBL110379,Ki,26.0,nM,
CHEMBL448155,Ki,198.0,nM,
CHEMBL321462,Ki,684.0,nM,
CHEMBL320061,Ki,2593.0,nM,
CHEMBL107288,Ki,745.0,nM,
CHEMBL108893,Ki,30.0,nM,
CHEMBL327118,Ki,420.0,nM,
CHEMBL108904,Ki,152.0,nM,
CHEMBL324895,Ki,347.0,nM,
CHEMBL317479,Ki,14.0,nM,
CHEMBL320804,Ki,94.0,nM,
CHEMBL110933,Ki,367.0,nM,
CHEMBL106084,Ki,772.0,nM,
CHEMBL106190,Ki,680.0,nM,
CHEMBL316961,Ki,31.0,nM,
CHEMBL110126,Ki,94.0,nM,
CHEMBL106359,Ki,1345.0,nM,
CHEMBL324897,Ki,64.0,nM,
CHEMBL108995,Ki,34.0,nM,
CHEMBL108900,Ki,49.0,nM,
CHEMBL106235,Ki,570.0,nM,
CHEMBL396460,EC50,0.08,nM,
CHEMBL108894,Ki,58.0,nM,
CHEMBL419179,Ki,105.0,nM,
CHEMBL106155,Ki,185.0,nM,
CHEMBL316961,Ki,236.0,nM,
CHEMBL106785,Ki,3221.0,nM,
CHEMBL320582,Ki,2532.0,nM,
CHEMBL324635,Ki,37.0,nM,
CHEMBL106043,Ki,7222.0,nM,
CHEMBL431445,Ki,191.0,nM,
CHEMBL106366,Ki,79.0,nM,
CHEMBL357076,Ki,2.3,nM,
CHEMBL286411,Ki,39.0,nM,
CHEMBL283301,Ki,824.0,nM,
CHEMBL26521,Ki,1054.0,nM,
CHEMBL2113273,Ki,184.0,nM,
CHEMBL27018,Ki,692.0,nM,
CHEMBL2113262,Ki,51.0,nM,
CHEMBL27539,Ki,437.0,nM,
CHEMBL284217,Ki,125.0,nM,
CHEMBL280778,Ki,16.0,nM,
CHEMBL281322,Ki,410.0,nM,
CHEMBL29571,Ki,1259.0,nM,
CHEMBL282376,Ki,1239.0,nM,
CHEMBL418197,Ki,4358.0,nM,
CHEMBL26909,Ki,414.0,nM,
CHEMBL26681,Ki,634.0,nM,
CHEMBL26464,Ki,111.0,nM,
CHEMBL282195,Ki,89.0,nM,
CHEMBL29953,Ki,11.0,nM,
CHEMBL146191,IC50,6.8,nM,
CHEMBL146191,IC50,20.0,nM,
CHEMBL146191,EC50,10000.0,nM,
CHEMBL357076,IC50,2.3,nM,
CHEMBL357076,IC50,5.6,nM,
CHEMBL357076,EC50,10000.0,nM,
CHEMBL300616,IC50,200.0,nM,
CHEMBL300616,IC50,10000.0,nM,
CHEMBL300616,EC50,6900.0,nM,
CHEMBL146013,IC50,6.8,nM,
CHEMBL146013,IC50,20.0,nM,
CHEMBL146013,EC50,10000.0,nM,
CHEMBL146462,IC50,820.0,nM,
CHEMBL146462,IC50,10000.0,nM,
CHEMBL146462,EC50,10000.0,nM,
CHEMBL146054,IC50,5.9,nM,
CHEMBL146054,IC50,10000.0,nM,
CHEMBL146054,EC50,25.0,nM,
CHEMBL140979,Ki,8.2,nM,
CHEMBL266609,Ki,44.0,nM,
CHEMBL356210,Ki,2130.0,nM,
CHEMBL355931,Ki,35.0,nM,
CHEMBL2371034,Ki,1700.0,nM,
CHEMBL358403,Ki,34.0,nM,
CHEMBL396460,Ki,0.1,nM,
CHEMBL396460,EC50,24.0,nM,
CHEMBL405648,EC50,0.2692,nM,
CHEMBL384755,EC50,0.3236,nM,
CHEMBL265392,EC50,134.9,nM,
CHEMBL406097,EC50,1.413,nM,
CHEMBL427791,EC50,0.302,nM,
CHEMBL262224,EC50,10.96,nM,
CHEMBL412537,EC50,0.2512,nM,
CHEMBL428668,EC50,1.0,nM,
CHEMBL262928,EC50,257.04,nM,
CHEMBL410167,EC50,7.244,nM,
CHEMBL265544,EC50,31.62,nM,
CHEMBL265801,EC50,0.2188,nM,
CHEMBL415583,EC50,63.1,nM,
CHEMBL409204,EC50,0.1349,nM,
CHEMBL261997,EC50,0.1585,nM,
CHEMBL109598,Ki,47.0,nM,
CHEMBL112974,Ki,82.0,nM,
CHEMBL111347,Ki,12.0,nM,
