molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL108608,Ki,2.2,nM,
CHEMBL567175,Ki,50.5,nM,
CHEMBL109040,Ki,0.04,nM,
CHEMBL19019,Ki,0.04,nM,
CHEMBL322875,Ki,8.6,nM,
CHEMBL320306,Ki,2.9,nM,
CHEMBL107420,Ki,0.03,nM,
CHEMBL110124,Ki,0.02,nM,
CHEMBL110461,Ki,7.5,nM,
CHEMBL107207,Ki,0.3,nM,
CHEMBL611406,Ki,0.43,nM,
CHEMBL611406,Ki,1.66,nM,
CHEMBL611406,Ki,1.9,nM,
CHEMBL611406,Ki,3.79,nM,
CHEMBL611406,Ki,2.75,nM,
CHEMBL611406,Ki,4.06,nM,
CHEMBL611406,Ki,2.02,nM,
CHEMBL611406,Ki,1.23,nM,
CHEMBL367889,Ki,281.2,nM,
CHEMBL367889,Ki,1000.0,nM,
CHEMBL367889,Ki,41.6,nM,
CHEMBL367889,Ki,6.75,nM,
CHEMBL175969,Ki,1000.0,nM,
CHEMBL175969,Ki,36.2,nM,
CHEMBL175969,Ki,23.9,nM,
CHEMBL175969,Ki,1000.0,nM,
CHEMBL610614,Ki,0.46,nM,
CHEMBL610614,Ki,0.15,nM,
CHEMBL610614,Ki,1000.0,nM,
CHEMBL610614,Ki,1000.0,nM,
CHEMBL610615,Ki,0.91,nM,
CHEMBL610615,Ki,1.07,nM,
CHEMBL610615,Ki,1000.0,nM,
CHEMBL610615,Ki,1000.0,nM,
CHEMBL611143,Ki,1.94,nM,
CHEMBL611143,Ki,0.008,nM,
CHEMBL611143,Ki,0.52,nM,
CHEMBL611143,Ki,0.06,nM,
CHEMBL611143,Ki,2.51,nM,
CHEMBL611143,Ki,0.19,nM,
CHEMBL611143,Ki,1.14,nM,
CHEMBL611143,Ki,2.34,nM,
