molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL125060,IC50,3.45,nM,
CHEMBL294616,IC50,2.5,nM,
CHEMBL108608,Ki,0.4,nM,
CHEMBL567175,Ki,31.5,nM,
CHEMBL70,IC50,309.0,nM,
CHEMBL109040,Ki,0.08,nM,
CHEMBL19019,Ki,0.02,nM,
CHEMBL322875,Ki,4.9,nM,
CHEMBL341500,IC50,3180.0,nM,
CHEMBL127711,IC50,0.41,nM,
CHEMBL125564,IC50,0.25,nM,
CHEMBL339020,IC50,13.0,nM,
CHEMBL320306,Ki,1.5,nM,
CHEMBL38874,IC50,76.1,nM,
CHEMBL2370599,IC50,990.0,nM,
CHEMBL419414,IC50,1050.0,nM,
CHEMBL124283,IC50,0.4,nM,
CHEMBL107420,Ki,0.6,nM,
CHEMBL14094,IC50,50000.0,nM,
CHEMBL341480,IC50,1.33,nM,
CHEMBL338307,IC50,2.45,nM,
CHEMBL123631,IC50,1800.0,nM,
CHEMBL127378,IC50,0.15,nM,
CHEMBL2370601,IC50,0.05,nM,
CHEMBL339002,IC50,4720.0,nM,
CHEMBL333064,IC50,38.0,nM,
CHEMBL110124,Ki,0.8,nM,
CHEMBL275050,IC50,3410.0,nM,
CHEMBL338773,IC50,733.0,nM,
CHEMBL2370600,IC50,105.0,nM,
CHEMBL338661,IC50,7.3,nM,
CHEMBL110461,Ki,3.5,nM,
CHEMBL2370602,IC50,1.1,nM,
CHEMBL107207,Ki,3.2,nM,
CHEMBL1398707,EC50,1274.0,nM,
CHEMBL1717557,EC50,200.15,nM,
CHEMBL1437810,EC50,9997.0,nM,
CHEMBL1482107,EC50,10791.0,nM,
CHEMBL1581674,EC50,1272.0,nM,
CHEMBL1425453,EC50,2119.0,nM,
CHEMBL1457803,EC50,8459.0,nM,
CHEMBL1464640,EC50,10273.0,nM,
CHEMBL3208729,EC50,9921.0,nM,
CHEMBL1967837,EC50,92480.0,nM,
CHEMBL1437975,EC50,640.12,nM,
CHEMBL1864323,EC50,9979.0,nM,
CHEMBL1698841,EC50,407.87,nM,
CHEMBL1604493,EC50,14.06,nM,
CHEMBL1458051,EC50,9207.0,nM,
CHEMBL1306479,EC50,25085.0,nM,
CHEMBL1487650,EC50,33748.0,nM,
CHEMBL1403842,EC50,14336.0,nM,
CHEMBL1533638,EC50,4560.0,nM,
CHEMBL3191251,EC50,92470.0,nM,
CHEMBL1448229,EC50,1749.0,nM,
CHEMBL1200531,EC50,132.04,nM,
CHEMBL1419241,EC50,12436.0,nM,
CHEMBL1482070,EC50,92452.0,nM,
CHEMBL1566118,EC50,7095.0,nM,
CHEMBL3213181,EC50,18413.0,nM,
CHEMBL1582232,EC50,8881.0,nM,
CHEMBL1699738,EC50,22918.0,nM,
CHEMBL1379878,EC50,25626.0,nM,
CHEMBL1699902,EC50,9568.0,nM,
CHEMBL1719184,EC50,1024.0,nM,
CHEMBL1700227,EC50,915.0,nM,
CHEMBL1419563,EC50,92460.0,nM,
CHEMBL1416425,EC50,375.06,nM,
CHEMBL1458515,EC50,8721.0,nM,
CHEMBL1720091,EC50,982.0,nM,
CHEMBL1340264,EC50,4675.0,nM,
CHEMBL1307021,EC50,1530.0,nM,
CHEMBL1700847,EC50,524.01,nM,
CHEMBL1700880,EC50,2560.0,nM,
CHEMBL1515502,EC50,7755.0,nM,
CHEMBL1356740,EC50,3257.0,nM,
CHEMBL1307063,EC50,303.41,nM,
CHEMBL1256692,EC50,12128.0,nM,
CHEMBL1720300,EC50,10234.0,nM,
CHEMBL1458770,EC50,17376.0,nM,
CHEMBL1387006,EC50,13932.0,nM,
CHEMBL1720903,EC50,23933.0,nM,
CHEMBL1566963,EC50,5856.0,nM,
CHEMBL1513567,EC50,8780.0,nM,
CHEMBL1370471,EC50,10495.0,nM,
CHEMBL1458967,EC50,38893.0,nM,
CHEMBL1721095,EC50,9816.0,nM,
CHEMBL1364960,EC50,28581.0,nM,
CHEMBL1208858,EC50,3426.0,nM,
CHEMBL1380599,EC50,534.73,nM,
CHEMBL1399743,EC50,9367.0,nM,
CHEMBL1315948,EC50,9079.0,nM,
CHEMBL1544567,EC50,7621.0,nM,
CHEMBL1522542,EC50,380.52,nM,
CHEMBL1722114,EC50,18931.0,nM,
CHEMBL1567143,EC50,6831.0,nM,
CHEMBL1426979,EC50,942.0,nM,
CHEMBL1985575,EC50,92422.0,nM,
CHEMBL1325945,EC50,92498.0,nM,
CHEMBL1722360,EC50,13684.0,nM,
CHEMBL1561591,EC50,10559.0,nM,
CHEMBL1600293,EC50,27956.0,nM,
CHEMBL1583291,EC50,15202.0,nM,
CHEMBL1722228,EC50,12188.0,nM,
CHEMBL1444121,EC50,4557.0,nM,
CHEMBL1722730,EC50,17725.0,nM,
CHEMBL1387977,EC50,10784.0,nM,
CHEMBL1722570,EC50,1630.0,nM,
CHEMBL1365254,EC50,9864.0,nM,
CHEMBL1600506,EC50,92465.0,nM,
CHEMBL1892729,EC50,8748.0,nM,
CHEMBL1703982,EC50,3425.0,nM,
CHEMBL1332532,EC50,3424.0,nM,
CHEMBL3189940,EC50,1380.0,nM,
CHEMBL1704769,EC50,18057.0,nM,
CHEMBL1427690,EC50,3925.0,nM,
CHEMBL1388222,EC50,554.68,nM,
CHEMBL1365563,EC50,11374.0,nM,
CHEMBL1331866,EC50,380.96,nM,
CHEMBL1606743,EC50,18235.0,nM,
CHEMBL1724267,EC50,3682.0,nM,
CHEMBL1439686,EC50,10992.0,nM,
CHEMBL1308389,EC50,1539.0,nM,
CHEMBL1595735,EC50,1063.0,nM,
CHEMBL1612697,EC50,226.94,nM,
CHEMBL1577639,EC50,9634.0,nM,
CHEMBL1490069,EC50,2552.0,nM,
CHEMBL1705302,EC50,2357.0,nM,
CHEMBL1348719,EC50,11516.0,nM,
CHEMBL1325297,EC50,9499.0,nM,
CHEMBL1169627,EC50,10209.0,nM,
CHEMBL1872339,EC50,2360.0,nM,
CHEMBL1378322,EC50,92470.0,nM,
CHEMBL1412340,EC50,2904.0,nM,
CHEMBL1607240,EC50,17301.0,nM,
CHEMBL1706148,EC50,3472.0,nM,
CHEMBL1584594,EC50,9418.0,nM,
CHEMBL1506767,EC50,14777.0,nM,
CHEMBL1707116,EC50,7742.0,nM,
CHEMBL1460676,EC50,8901.0,nM,
CHEMBL1545927,EC50,92489.0,nM,
CHEMBL1382321,EC50,7787.0,nM,
CHEMBL1893806,EC50,5734.0,nM,
CHEMBL1440235,EC50,1919.0,nM,
CHEMBL1500489,EC50,12871.0,nM,
CHEMBL542581,EC50,961.0,nM,
CHEMBL3213958,EC50,6068.0,nM,
CHEMBL1727246,EC50,3425.0,nM,
CHEMBL1363204,EC50,13607.0,nM,
CHEMBL1355165,EC50,10585.0,nM,
CHEMBL1727052,EC50,9877.0,nM,
CHEMBL1447060,EC50,18868.0,nM,
CHEMBL1422217,EC50,12211.0,nM,
CHEMBL1727653,EC50,92470.0,nM,
CHEMBL1507251,EC50,12823.0,nM,
CHEMBL1512925,EC50,92470.0,nM,
CHEMBL1708052,EC50,11962.0,nM,
CHEMBL1613445,EC50,30122.0,nM,
CHEMBL1968356,EC50,9703.0,nM,
CHEMBL1596869,EC50,22027.0,nM,
CHEMBL1708311,EC50,20362.0,nM,
CHEMBL1728422,EC50,92517.0,nM,
CHEMBL1558215,EC50,4689.0,nM,
CHEMBL1468190,EC50,20850.0,nM,
CHEMBL1728158,EC50,4758.0,nM,
CHEMBL1728200,EC50,15453.0,nM,
CHEMBL1378959,EC50,14977.0,nM,
CHEMBL1708714,EC50,7332.0,nM,
CHEMBL1440652,EC50,3342.0,nM,
CHEMBL1898602,EC50,54137.0,nM,
CHEMBL1429212,EC50,1254.0,nM,
CHEMBL1563176,EC50,11103.0,nM,
CHEMBL1898753,EC50,92526.0,nM,
CHEMBL1361813,EC50,16880.0,nM,
CHEMBL1569933,EC50,42542.0,nM,
CHEMBL1531172,EC50,16436.0,nM,
CHEMBL1898779,EC50,9582.0,nM,
CHEMBL1710136,EC50,7655.0,nM,
CHEMBL1709988,EC50,2020.0,nM,
CHEMBL1303361,EC50,92470.0,nM,
CHEMBL1325297,EC50,10167.0,nM,
CHEMBL570399,EC50,9730.0,nM,
CHEMBL1327306,EC50,27464.0,nM,
CHEMBL1531675,EC50,653.81,nM,
CHEMBL1586285,EC50,2202.0,nM,
CHEMBL1609119,EC50,855.6,nM,
CHEMBL1445858,EC50,18013.0,nM,
CHEMBL1579434,EC50,16161.0,nM,
CHEMBL1473706,EC50,5598.0,nM,
CHEMBL1730502,EC50,92454.0,nM,
CHEMBL1540756,EC50,19625.0,nM,
CHEMBL1390846,EC50,9347.0,nM,
CHEMBL1730890,EC50,42.26,nM,
CHEMBL1563669,EC50,24254.0,nM,
CHEMBL1587149,EC50,2953.0,nM,
CHEMBL1548019,EC50,3178.0,nM,
CHEMBL1430335,EC50,6741.0,nM,
CHEMBL1509052,EC50,4604.0,nM,
CHEMBL1423609,EC50,5908.0,nM,
CHEMBL1165197,EC50,92469.0,nM,
CHEMBL1488501,EC50,13551.0,nM,
CHEMBL1731939,EC50,5975.0,nM,
CHEMBL1524932,EC50,4202.0,nM,
CHEMBL1334918,EC50,7035.0,nM,
CHEMBL1986259,EC50,14689.0,nM,
CHEMBL1732043,EC50,13480.0,nM,
CHEMBL1597912,EC50,9047.0,nM,
CHEMBL1548542,EC50,11083.0,nM,
CHEMBL1713166,EC50,969.0,nM,
CHEMBL1732484,EC50,45.88,nM,
CHEMBL1587574,EC50,9338.0,nM,
CHEMBL1423927,EC50,13799.0,nM,
CHEMBL1587604,EC50,4756.0,nM,
CHEMBL1352185,EC50,28087.0,nM,
CHEMBL1548987,EC50,2926.0,nM,
CHEMBL1548948,EC50,9789.0,nM,
CHEMBL1713682,EC50,7745.0,nM,
CHEMBL517986,EC50,9569.0,nM,
CHEMBL1587837,EC50,92498.0,nM,
CHEMBL1332208,EC50,14.06,nM,
CHEMBL1902708,EC50,1899.0,nM,
CHEMBL1344909,EC50,15588.0,nM,
CHEMBL1198307,EC50,14181.0,nM,
CHEMBL1714015,EC50,6626.0,nM,
CHEMBL1407554,EC50,4974.0,nM,
