molecule_chembl_id,activity_type,standard_value,standard_units,confidence_score
CHEMBL3350133,IC50,22.0,nM,
CHEMBL3350128,IC50,25.1,nM,
CHEMBL3350135,IC50,19.2,nM,
CHEMBL3350134,IC50,15.7,nM,
CHEMBL607319,IC50,66.8,nM,
CHEMBL3350127,IC50,30.2,nM,
CHEMBL3350139,IC50,45.9,nM,
CHEMBL3350136,IC50,6.3,nM,
CHEMBL3350132,IC50,3.9,nM,
CHEMBL3350140,IC50,12.6,nM,
CHEMBL80,IC50,9.0,nM,
CHEMBL80,IC50,127.0,nM,
CHEMBL322796,IC50,170.0,nM,
CHEMBL322796,IC50,628.0,nM,
CHEMBL1254682,IC50,0.67,nM,
CHEMBL1254682,IC50,2.6,nM,
CHEMBL19019,IC50,2.6,nM,
CHEMBL19019,IC50,12.0,nM,
CHEMBL441765,IC50,5.0,nM,
CHEMBL441765,IC50,3100.0,nM,
